
[00:00:00.000 --> 00:00:02.400]  請我們再次同心,我們同禱告
[00:00:02.400 --> 00:00:06.200]  天父,我們再次多謝祢
[00:00:06.200 --> 00:00:09.440]  給祢寶貴的話語作為我們生命的指引
[00:00:09.440 --> 00:00:11.680]  求祢藉著這句話語去提醒
[00:00:11.680 --> 00:00:14.820]  勸勉、教導、安慰
[00:00:14.820 --> 00:00:15.920]  改變我們
[00:00:15.920 --> 00:00:18.900]  祈禱奉耶穌基督名求,阿門
[00:00:18.900 --> 00:00:25.840]  在1983年
[00:00:25.840 --> 00:00:28.280]  日本有個很出名的導演
[00:00:28.280 --> 00:00:30.360]  叫做金昌平
[00:00:30.360 --> 00:00:33.020]  拍了一套非常震撼性的電影
[00:00:33.020 --> 00:00:34.700]  叫做《尤山哲巧》
[00:00:34.700 --> 00:00:39.080]  在法國的康城電影節裡面
[00:00:39.080 --> 00:00:41.640]  獲得最佳電影的金女獎
[00:00:41.640 --> 00:00:43.560]  揚名國際
[00:00:43.560 --> 00:00:48.360]  《尤山哲巧》是根據日本的一個很出名的文學家
[00:00:48.360 --> 00:00:50.320]  叫做森澤七郎
[00:00:50.320 --> 00:00:52.680]  所寫成的一本小說改編
[00:00:52.680 --> 00:00:55.960]  描述在日本順川山區
[00:00:55.960 --> 00:00:58.840]  某一個非常窮困的山莊裡面
[00:00:58.840 --> 00:01:06.800]  所發生一個動人、荒謬、矛盾、殘酷的故事
[00:01:06.800 --> 00:01:11.160]  故事記載在一個偏僻窮鄉的辟陽
[00:01:11.160 --> 00:01:12.800]  一個高山的村落
[00:01:12.800 --> 00:01:16.920]  男女老幼為了飽食一餐
[00:01:16.920 --> 00:01:18.880]  敬敬業業
[00:01:18.880 --> 00:01:21.320]  糧食的不足
[00:01:21.320 --> 00:01:25.080]  壁屎村裡面有一個不成文的規矩
[00:01:25.400 --> 00:01:27.080]  這個規矩就是
[00:01:27.080 --> 00:01:29.480]  當一個人到七十歲的時候
[00:01:29.480 --> 00:01:33.640]  就由一個大兒子揹著這個老人家上山
[00:01:33.640 --> 00:01:37.760]  與其說是美名歸於山神
[00:01:37.760 --> 00:01:40.640]  其實是將他送死
[00:01:40.640 --> 00:01:44.120]  餓死、凍死
[00:01:44.120 --> 00:01:48.640]  在一個很苛刻的生存環境裡面
[00:01:48.640 --> 00:01:51.440]  似乎這個是他們所得到的共識
[00:01:51.440 --> 00:01:54.080]  故事講到一個家庭
[00:01:54.600 --> 00:01:56.760]  媽媽是六十九歲
[00:01:56.760 --> 00:01:58.800]  她有兩個兒子
[00:01:58.800 --> 00:02:01.040]  大兒子早年喪妻
[00:02:01.040 --> 00:02:06.200]  二兒子因為體臭
[00:02:06.200 --> 00:02:07.720]  沒有女兒喜歡他
[00:02:07.720 --> 00:02:09.440]  所以一直都沒有結婚
[00:02:09.440 --> 00:02:13.680]  媽媽六十九歲仍然是老當益壯
[00:02:13.680 --> 00:02:16.880]  但她決定在七十歲的年
[00:02:16.880 --> 00:02:19.280]  要大兒子揹她上山
[00:02:19.280 --> 00:02:21.800]  為什麼她有這麼大的決心呢
[00:02:21.800 --> 00:02:23.800]  原來背後有一個故事
[00:02:24.080 --> 00:02:27.600]  就是她丈夫在她老爺七十歲的時候
[00:02:27.600 --> 00:02:29.240]  突然之間失蹤
[00:02:29.240 --> 00:02:32.240]  當然失蹤的原因很明顯
[00:02:32.240 --> 00:02:37.360]  因為她不忍心揹著她自己的爸爸去送死
[00:02:37.360 --> 00:02:41.280]  去到高山裡面去餓死凍死
[00:02:41.280 --> 00:02:43.760]  於是她就走人
[00:02:43.760 --> 00:02:45.960]  就因為她的走人
[00:02:45.960 --> 00:02:50.480]  就帶給這個家庭成為整條村的人的恥辱
[00:02:51.000 --> 00:02:54.080]  她媽媽不想重蹈覆轍
[00:02:54.080 --> 00:02:55.640]  歷史重演
[00:02:55.640 --> 00:02:57.320]  所以就很決心
[00:02:57.320 --> 00:03:02.200]  是要她的大兒子揹她上山
[00:03:02.200 --> 00:03:07.080]  她仍然是老當益壯
[00:03:07.080 --> 00:03:11.800]  為了要人家覺得她老
[00:03:11.800 --> 00:03:15.040]  她特意將很堅固的盤門瓦
[00:03:15.040 --> 00:03:16.680]  弄爛了
[00:03:16.680 --> 00:03:20.440]  又替她的大兒子續完
[00:03:21.000 --> 00:03:23.360]  教她的家屬自家之道
[00:03:23.360 --> 00:03:28.440]  故事一開始的時候
[00:03:28.440 --> 00:03:31.720]  電影的開始是從一個嚴寒的冬天開始
[00:03:31.720 --> 00:03:36.320]  鏡頭打出來是一片白濛濛的積雪
[00:03:36.320 --> 00:03:38.800]  經過了春天
[00:03:38.800 --> 00:03:41.200]  夏天
[00:03:41.200 --> 00:03:42.960]  秋天
[00:03:42.960 --> 00:03:44.880]  又回到冬天
[00:03:44.880 --> 00:03:48.400]  就是這位老人家七十歲那一年
[00:03:49.720 --> 00:03:52.920]  導演有意是用鳥瞰式的遠景
[00:03:52.920 --> 00:03:56.000]  叫我們看見白雪的山頭
[00:03:56.000 --> 00:04:00.600]  最後描繪那個大兒子揹著媽媽上山
[00:04:00.600 --> 00:04:03.000]  感人的一幕
[00:04:03.000 --> 00:04:07.680]  當兒子揹著媽媽上山的時候
[00:04:07.680 --> 00:04:10.520]  兩人默然無語
[00:04:10.520 --> 00:04:12.160]  一片靜靜
[00:04:12.160 --> 00:04:16.560]  及時走到半路的時候
[00:04:17.800 --> 00:04:19.960]  那個大兒子扭傷了腳
[00:04:19.960 --> 00:04:24.240]  突然之間那個情景全部變了
[00:04:24.240 --> 00:04:29.240]  本來是冷酷無情的媽媽的臉孔
[00:04:29.240 --> 00:04:33.160]  突然間顯出天生的母愛和溫情
[00:04:33.160 --> 00:04:39.680]  她拿著毛巾包紮兒子的傷口
[00:04:39.680 --> 00:04:44.120]  然後就拿出飯糰叫兒子去吃
[00:04:44.120 --> 00:04:46.680]  兒子說媽媽你去吃
[00:04:47.840 --> 00:04:50.560]  突然間在冰冷的環境裏面
[00:04:50.560 --> 00:04:54.360]  呈現了一套非常溫暖的溫情
[00:04:54.360 --> 00:04:57.880]  但當媽媽抵達高山的時候
[00:04:57.880 --> 00:05:01.960]  周圍都是白骨和屍首
[00:05:01.960 --> 00:05:06.840]  還有天上一直盤旋飛著的烏鴉
[00:05:06.840 --> 00:05:09.080]  兒子忍不住
[00:05:09.080 --> 00:05:11.840]  但媽媽弄目而視
[00:05:11.840 --> 00:05:13.800]  將兒子趕下山
[00:05:16.080 --> 00:05:18.800]  當他下山的時候天開始下雪
[00:05:18.800 --> 00:05:21.840]  見到一個上山的父子
[00:05:21.840 --> 00:05:23.800]  那個爸爸不想死
[00:05:23.800 --> 00:05:29.120]  在恐懼驚恐喊叫當中
[00:05:29.120 --> 00:05:34.840]  在掙扎脫離兒子的抱著
[00:05:34.840 --> 00:05:39.040]  兒子最後將爸爸推下山崖
[00:05:39.040 --> 00:05:40.960]  慘叫一聲
[00:05:43.560 --> 00:05:46.080]  當這個兒子見到這樣的情景
[00:05:46.080 --> 00:05:47.840]  他忍受不住
[00:05:47.840 --> 00:05:50.280]  大哭起來
[00:05:50.280 --> 00:05:55.800]  冒著大雪趕上山頂看媽媽
[00:05:55.800 --> 00:05:59.560]  當他上到山頂見到媽媽
[00:05:59.560 --> 00:06:02.360]  靜坐在雪山上
[00:06:02.360 --> 00:06:04.280]  雙手十合
[00:06:04.280 --> 00:06:07.760]  見到兒子上來的時候弄目而視
[00:06:07.760 --> 00:06:09.240]  趕他走
[00:06:09.240 --> 00:06:12.640]  兒子就在極痛苦無奈之下
