
[00:00:00.000 --> 00:00:03.600]  我們的天父我們實在感謝你
[00:00:03.600 --> 00:00:06.080]  讓我們有這樣的時間空間
[00:00:06.080 --> 00:00:10.320]  去思想一些平時人極少思想
[00:00:10.320 --> 00:00:15.520]  甚至很多基督徒都極少思想的事情
[00:00:15.520 --> 00:00:18.580]  我們真的需要你的話語
[00:00:18.580 --> 00:00:21.320]  我們真的要擁抱你的話語
[00:00:21.320 --> 00:00:26.320]  我們要進入你話語的世界
[00:00:26.320 --> 00:00:35.360]  主利夫叫我們在這個地上做俠侶
[00:00:35.360 --> 00:00:41.040]  不是跟死人說的 是跟活人說的
[00:00:41.040 --> 00:00:47.080]  這個世界不是我們的家
[00:00:47.080 --> 00:00:50.120]  我們真正的家鄉
[00:00:50.120 --> 00:00:53.840]  是耶穌基督為我們贏取回來的
[00:00:53.840 --> 00:00:59.240]  最美的地方
[00:00:59.240 --> 00:01:00.960]  主耶穌幫助我們思想
[00:01:00.960 --> 00:01:06.360]  一切的認許都是基督裡面
[00:01:06.360 --> 00:01:09.560]  今天我們有認許不是因為
[00:01:09.560 --> 00:01:11.440]  阿伯拉罕離開不易
[00:01:11.440 --> 00:01:14.560]  而是因為主耶穌基督離開天上
[00:01:14.560 --> 00:01:16.960]  祂一切的榮華富貴
[00:01:16.960 --> 00:01:21.000]  不是因為阿伯拉罕帶著認許進入迦南地
[00:01:21.000 --> 00:01:24.520]  而是因為主耶穌基督為著認許的緣故
[00:01:24.520 --> 00:01:26.960]  賞各國他
[00:01:26.960 --> 00:01:31.880]  不是因為阿伯拉罕奉上祂的愛子
[00:01:31.880 --> 00:01:37.560]  而是因為上帝為我們的緣故
[00:01:37.560 --> 00:01:47.000]  奉上祂至愛最完美最聖潔的耶穌
[00:01:47.000 --> 00:01:54.600]  將我們所有的一切從祢而來
[00:01:54.600 --> 00:02:01.200]  我們所擁有的一切要為祢所用
[00:02:01.200 --> 00:02:04.680]  主幫助我們去思想
[00:02:04.680 --> 00:02:10.480]  這個人生是幾短暫的一件事情
[00:02:10.480 --> 00:02:17.080]  一眨眼這一生人都要過去
