
[00:00:00.000 --> 00:00:05.900]  今日我們繼續講這個《馬太十三章》
[00:00:05.900 --> 00:00:09.580]  八個比喻 天國的比喻
[00:00:09.580 --> 00:00:14.040]  其實和我們基督徒息息相關的這些比喻
[00:00:14.040 --> 00:00:16.040]  因為所講的這些比喻
[00:00:16.040 --> 00:00:20.840]  是講到現在我們這個教會的時期
[00:00:20.840 --> 00:00:22.540]  這個教會的時期
[00:00:22.540 --> 00:00:25.280]  就是耶穌基督第一次來臨
[00:00:25.280 --> 00:00:29.260]  當祂死了 然後復活 然後升天
[00:00:29.260 --> 00:00:33.660]  之後到祂第二次來臨 迎接教會
[00:00:33.660 --> 00:00:35.760]  在中間的這段時間
[00:00:35.760 --> 00:00:38.360]  就是所謂的教會時期
[00:00:38.360 --> 00:00:42.440]  保羅稱這段時期為奧庇時期
[00:00:42.440 --> 00:00:45.340]  在《耳福所書》三章五至六節
[00:00:45.340 --> 00:00:49.980]  說:「這奧庇以前的世代沒有教人知道
[00:00:49.980 --> 00:00:55.780]  像如今藉著聖靈啟示他的聖使徒和先知一樣
[00:00:55.780 --> 00:00:59.460]  這奧庇就是外邦人在基督耶穌裡
[00:00:59.460 --> 00:01:02.520]  藉著福音得以同為後製
[00:01:02.520 --> 00:01:05.860]  同為一體 同蒙應許」
[00:01:05.860 --> 00:01:10.320]  我們看到這個奧庇就是我們這些外邦人
[00:01:10.320 --> 00:01:13.400]  我們這些基督徒在教會裡
[00:01:13.400 --> 00:01:18.500]  能夠和猶太人一樣成為後製
[00:01:18.500 --> 00:01:23.140]  成為一體 能夠同蒙應許
[00:01:23.140 --> 00:01:26.880]  這一段時間我們也說過
[00:01:26.880 --> 00:01:29.580]  是舊約看不到的 舊約的先知
[00:01:29.580 --> 00:01:32.020]  舊約的先知一點都看不到
[00:01:32.020 --> 00:01:36.120]  好像彼得前書一章十至十一節說
[00:01:36.120 --> 00:01:38.660]  「論道者舊恩
[00:01:38.660 --> 00:01:43.820]  那如先說你們要得恩典的眾先知
[00:01:43.820 --> 00:01:47.060]  早已詳細地尋求考察
[00:01:47.060 --> 00:01:50.460]  就是考察在他們心裡的基督的靈
[00:01:50.460 --> 00:01:55.480]  如先證明基督受苦難」
[00:01:55.480 --> 00:01:59.480]  基督受苦難就是基督耶穌基督第一次來臨
[00:01:59.480 --> 00:02:01.740]  「然後後來得榮耀」
[00:02:01.740 --> 00:02:04.620]  後來得榮耀就是耶穌基督再次來臨
[00:02:04.620 --> 00:02:06.220]  建立他的千年國度
[00:02:06.220 --> 00:02:09.060]  他會得到榮耀
[00:02:09.060 --> 00:02:11.520]  舊約的先知看得到這些事
[00:02:11.520 --> 00:02:14.060]  但是看不到中間那段時間
[00:02:14.060 --> 00:02:16.360]  他們看耶穌基督第一次來臨
[00:02:16.360 --> 00:02:19.960]  就好像近他們一座山的山峰一樣
[00:02:19.960 --> 00:02:22.300]  看到第二次耶穌基督的來臨
[00:02:22.300 --> 00:02:24.800]  就好像第二座山的山峰一樣
[00:02:24.800 --> 00:02:26.300]  但是在他們看來
[00:02:26.300 --> 00:02:27.700]  因為很遠
[00:02:27.700 --> 00:02:30.340]  兩個山峰好像是重疊
[00:02:30.340 --> 00:02:31.840]  疊在一起一樣
[00:02:31.840 --> 00:02:34.180]  他們看過去以為是一座山
[00:02:34.180 --> 00:02:37.820]  不知道原來兩座山的中間有個山谷
[00:02:37.820 --> 00:02:40.680]  就是我們現在教會的時期
[00:02:40.680 --> 00:02:44.780]  保羅叫這段時期是奧庇的時期
[00:02:44.780 --> 00:02:48.220]  沒有人知道這段時期會有多長
[00:02:48.220 --> 00:02:51.360]  羅馬書裡面說要等到
[00:02:51.360 --> 00:02:55.900]  要等到外邦人的人數天滿了
[00:02:55.900 --> 00:02:58.200]  猶太人全家都會得救
[00:02:58.200 --> 00:03:03.640]  接著耶穌基督就會回來建立他的千年國度
[00:03:03.640 --> 00:03:07.100]  究竟人數有多少才能夠天滿
[00:03:07.100 --> 00:03:08.080]  沒有人知道
[00:03:08.080 --> 00:03:10.820]  只有神知道
[00:03:10.820 --> 00:03:15.220]  我們也不妨看看這個國的預言
[00:03:15.220 --> 00:03:18.120]  我們知道耶穌基督第一次來臨之前
[00:03:18.120 --> 00:03:21.060]  全部都是人的國
[00:03:21.060 --> 00:03:25.200]  在耶穌基督第一次來臨是羅馬帝國的時候
[00:03:25.200 --> 00:03:27.860]  羅馬帝國之前有希臘
[00:03:27.860 --> 00:03:29.400]  又有波斯
[00:03:29.400 --> 00:03:31.100]  又有巴比倫
[00:03:31.100 --> 00:03:33.540]  這一切都是人的國度
[00:03:33.540 --> 00:03:36.600]  這一切都是外邦人的國度
[00:03:36.600 --> 00:03:42.440]  在聖經舊約裡面有很多關於外邦人的國度的預言
[00:03:42.440 --> 00:03:44.640]  例如在大仙之書裡面
