
[00:00:00.000 --> 00:00:06.000]  我想問下大家,你知唔知聖經裏面有幾多卷的書信?
[00:00:06.000 --> 00:00:16.000]  《新約聖經》裏面有21卷的書信
[00:00:16.000 --> 00:00:20.000]  其中有13卷是屬於保羅的書信
[00:00:20.000 --> 00:00:22.000]  我在這裏考考大家
[00:00:22.000 --> 00:00:25.000]  你知不知在這十多卷書信裏面
[00:00:25.000 --> 00:00:31.000]  有哪一卷是有書信中的皇后之稱的?
[00:00:31.000 --> 00:00:35.000]  生果的皇后你可能知道
[00:00:35.000 --> 00:00:40.000]  書信中的皇后你又知不知是哪一卷呢?
[00:00:40.000 --> 00:00:45.000]  你從今天整個的環境你猜不猜得到?
[00:00:45.000 --> 00:00:48.000]  我聽到,大聲一點
[00:00:48.000 --> 00:00:51.000]  爾忽所,對了,你中了
[00:00:51.000 --> 00:00:54.000]  是爾忽所書
[00:00:54.000 --> 00:01:00.000]  很多人主張爾忽所書是新約思想的最高峰
[00:01:00.000 --> 00:01:02.000]  甚至有人曾經說
[00:01:02.000 --> 00:01:06.000]  爾忽所書是人類最神聖的作品
[00:01:06.000 --> 00:01:09.000]  我猜他的原因可能是
[00:01:09.000 --> 00:01:13.000]  因為爾忽所書展述了基督的奧秘
[00:01:13.000 --> 00:01:16.000]  基督的奧秘就是指導教會
[00:01:16.000 --> 00:01:19.000]  我講一點點爾忽所書的寫作背景
[00:01:19.000 --> 00:01:24.000]  據說當時在小亞細亞省各地的教會
[00:01:24.000 --> 00:01:30.000]  當時很多非猶太人的基督徒出現了,越來越多
[00:01:30.000 --> 00:01:35.000]  使徒保羅可能有鑒於他們是來自異教的世界
[00:01:35.000 --> 00:01:39.000]  對於神,既然揀選了以色列人做神的選民
[00:01:39.000 --> 00:01:42.000]  為何現在又將福音傳給外邦人呢?
[00:01:42.000 --> 00:01:44.000]  他們覺得很奇怪
[00:01:44.000 --> 00:01:46.000]  神的目的究竟是甚麼呢?
[00:01:46.000 --> 00:01:49.000]  所以保羅心裏有一個負擔
[00:01:49.000 --> 00:01:53.000]  很想將他從神所領受的啟示
[00:01:53.000 --> 00:01:55.000]  關於教會的奧秘
[00:01:55.000 --> 00:01:58.000]  藉著書信去講解明白
[00:01:58.000 --> 00:02:04.000]  使這些外邦的信徒都能夠認識神對教會的計劃和目的
[00:02:04.000 --> 00:02:07.000]  當大家細心看爾忽所書的時候
[00:02:07.000 --> 00:02:09.000]  你會發現第一章其實就講到
[00:02:09.000 --> 00:02:15.000]  神在基督裏定義賜給我們很多很多屬靈的福氣
[00:02:15.000 --> 00:02:18.000]  第二章講到我們因信耶穌基督
[00:02:18.000 --> 00:02:20.000]  可以成為一個新造的人
[00:02:20.000 --> 00:02:23.000]  與神的選民,即以色列人
[00:02:23.000 --> 00:02:25.000]  成為神家裏面的人
[00:02:25.000 --> 00:02:27.000]  本來是分開的
[00:02:27.000 --> 00:02:29.000]  現在合併成為神家裏面的人
[00:02:29.000 --> 00:02:31.000]  就是神的教會
[00:02:31.000 --> 00:02:33.000]  到第三章的時候
[00:02:33.000 --> 00:02:36.000]  我們會看到神將基督的奧秘
[00:02:36.000 --> 00:02:39.000]  啟示給使徒保羅
[00:02:39.000 --> 00:02:42.000]  藉著保羅將福音傳給外邦人
[00:02:42.000 --> 00:02:48.000]  使外邦人都成為神的後裔
[00:02:48.000 --> 00:02:50.000]  到第四章開頭的時候
[00:02:50.000 --> 00:02:53.000]  保羅就用了「因此」這兩個字
[00:02:53.000 --> 00:02:55.000]  來連接上文
[00:02:55.000 --> 00:02:58.000]  在描述完神在基督裏面
[00:02:58.000 --> 00:03:01.000]  為人類的福祉所成就的工作之後
[00:03:01.000 --> 00:03:04.000]  就帶出道德勸勉的段落
[00:03:04.000 --> 00:03:08.000]  他就在神學的默想和反思之後
[00:03:08.000 --> 00:03:12.000]  就用「行事為人」這個關鍵詞
[00:03:12.000 --> 00:03:14.000]  開始下一段的段落
[00:03:14.000 --> 00:03:18.000]  他就將前後兩段緊密地連接起來
[00:03:18.000 --> 00:03:20.000]  就好像我們基督徒
