
[00:00:00.000 --> 00:00:10.000]  主持人:早晨,主持人朋友,今天我們會繼續從提摩太前書第三章開始,繼續看神的話語
[00:00:10.000 --> 00:00:23.000]  過去那兩個主日,我們都分享了提摩太前書的主題訊息,教導我們如何做一個僕人的榜樣
[00:00:23.000 --> 00:00:29.000]  剛才大家讀的經文當中,都提到有個身體操練,即是提醒我們要做運動
[00:00:29.000 --> 00:00:35.000]  現在到了半年了,通常每年一開始一月,大家都立志去做運動
[00:00:35.000 --> 00:00:40.000]  現在到了六月中,六月尾,大家運動的情況是怎樣呢?
[00:00:40.000 --> 00:00:51.000]  看到原來泳池仍然有很多人,我兒子每天都游過半小時,一個星期游六天
[00:00:51.000 --> 00:00:55.000]  希望大家在身體上的操練都繼續下去
[00:00:55.000 --> 00:01:06.000]  我們很多都是家長,家長都會鼓勵小朋友做運動,有時去打球
[00:01:06.000 --> 00:01:16.000]  每個季度都有不同各樣的運動,分季節,籃球也有下季度,打棒球也有它的季度
[00:01:16.000 --> 00:01:23.000]  就算我們做成人的,我們都會操練自己去運動室,去健身室做也好
[00:01:23.000 --> 00:01:32.000]  但好像我以前在軍營做工,軍營裏面都有很多士兵不停操練
[00:01:32.000 --> 00:01:40.000]  不停操練自己的身體,預備他們需要的,有個強壯的身體去擔當他們需要的工作
[00:01:40.000 --> 00:01:46.000]  我們看到身體操練的時候,我們都想起剛才大家所說的經文當中
[00:01:46.000 --> 00:01:52.000]  是否身體的操練就足夠呢?究竟我們競拳的操練是甚麼一回事呢?
[00:01:52.000 --> 00:01:59.000]  我們今天就會繼續從提摩太前書繼續看,為甚麼我們需要一個競拳的操練
[00:01:59.000 --> 00:02:05.000]  在提摩太前書一開始的時候就說,第一章最後提醒我們
[00:02:05.000 --> 00:02:09.000]  我要打一個美好的仗,這個美好的仗是一個淑靈的真戰
[00:02:09.000 --> 00:02:14.000]  接著上一個主日我們提到,這個淑靈真戰是靠著禱告去做
[00:02:14.000 --> 00:02:21.000]  所以我們要行切禱告,設立我們教會的領導團,繼續在福音的時光去努力
[00:02:21.000 --> 00:02:26.000]  今天去到第三章的時候,大家所讀的經文就說
[00:02:26.000 --> 00:02:32.000]  我們要操練我們的競拳,究竟我們為甚麼要操練競拳呢?
[00:02:32.000 --> 00:02:37.000]  我們做基督徒怎樣去過一個得蒙神喜悅的生活
[00:02:37.000 --> 00:02:41.000]  是否怎樣透過操練來成就這件事呢?
[00:02:41.000 --> 00:02:46.000]  我們一同低頭祈禱繼續,我們的主耶穌基督我們感謝你
[00:02:46.000 --> 00:02:52.000]  我們感謝你降生在我們當中,使我們能夠去認識神
[00:02:52.000 --> 00:02:58.000]  藉著神的話語,主耶穌基督的話語,我們能夠明白到神的心意
[00:02:58.000 --> 00:03:01.000]  求神去幫助我們,求聖靈去激勵我們
[00:03:01.000 --> 00:03:09.000]  在我們一會兒這個階段所聽到的話語當中,使我們能夠明白
[00:03:09.000 --> 00:03:14.000]  求神憐憫我們當中未信主的朋友,好使他們能夠聽得明白
[00:03:14.000 --> 00:03:18.000]  我們以上的禱告是奉主耶穌得聖的名字祈禱,阿們
[00:03:18.000 --> 00:03:24.000]  好,我們在操練的時候,我們想到提摩太前書繼續下去的時候
[00:03:24.000 --> 00:03:27.000]  上次我們停在十三節,三章十三節
[00:03:27.000 --> 00:03:31.000]  我們今天由十四節開始看,十四節那裡提到說
[00:03:31.000 --> 00:03:36.000]  我保羅寫封信的時候,我雖然未來到你之前
[00:03:36.000 --> 00:03:41.000]  我盼望你就會在這件事,當我這個信息當中
[00:03:41.000 --> 00:03:48.000]  能夠知道神的家,教會當中我們怎樣去在教會裡面生活
[00:03:48.000 --> 00:03:54.000]  因為主耶穌基督就是教會的鑄石、根基
[00:03:54.000 --> 00:04:00.000]  保羅繼續講,他就有個詩句出來
[00:04:00.000 --> 00:04:06.000]  就說:大哉!驚乾的奧秘,無人不以為然
[00:04:06.000 --> 00:04:13.000]  因為這是主耶穌基督,大家看到主耶穌有學基督論
[00:04:13.000 --> 00:04:18.000]  這裡提到主耶穌基督,神的愛子
[00:04:18.000 --> 00:04:23.000]  神導誠了肉身,顯現給我們看
[00:04:23.000 --> 00:04:27.000]  然後聖靈被聖靈稱為義,使天使能夠看見
[00:04:27.000 --> 00:04:34.000]  存於外邦,被世人信服,並接在榮耀裡
[00:04:34.000 --> 00:04:39.000]  我們看到主耶穌基督是神的兒子
[00:04:39.000 --> 00:04:44.000]  聖經說他導誠肉身住在我們中間,使我們能夠認識神
[00:04:44.000 --> 00:04:47.000]  這裡提醒我們,這就是主耶穌基督
[00:04:47.000 --> 00:04:50.000]  我們敬虔的對象就是主耶穌基督
[00:04:50.000 --> 00:04:55.000]  不是我們身邊其他的偶像、其他的學說
[00:04:55.000 --> 00:05:02.000]  我們很困難的,現在世間上都有很多不同的學說
[00:05:02.000 --> 00:05:07.000]  例如大家都可能聽過一些例子
[00:05:07.000 --> 00:05:12.000]  我快速給大家看看圖片
[00:05:12.000 --> 00:05:15.000]  我們的對象原來就是主耶穌基督
[00:05:15.000 --> 00:05:21.000]  有很多所謂的網紅,有很多人追蹤他們
[00:05:21.000 --> 00:05:24.000]  我們的社交媒體也有很多人追蹤
[00:05:24.000 --> 00:05:31.000]  追蹤到一個地步是有十大分類的
[00:05:31.000 --> 00:05:34.000]  怎樣去個人財務又分類,另一個是財務
[00:05:34.000 --> 00:05:37.000]  現在有排名榜出來
[00:05:37.000 --> 00:05:40.000]  我們剛才所提到的經文當中
[00:05:40.000 --> 00:05:46.000]  我們的對象就是主耶穌基督
[00:05:46.000 --> 00:05:49.000]  我們所敬虔的對象是主耶穌基督
[00:05:49.000 --> 00:05:55.000]  不要弄錯,因為坊間裡除了生活上的提醒之外
[00:05:55.000 --> 00:05:59.000]  這些資訊之外,還有所謂的新紀元活動
[00:05:59.000 --> 00:06:02.000]  聽過New Age,有些所謂的師傅
[00:06:02.000 --> 00:06:05.000]  很多師傅,很多所謂的大師級的人物
[00:06:05.000 --> 00:06:08.000]  教導我們怎樣去靈修和做社會服務
[00:06:08.000 --> 00:06:12.000]  但是所信的是一種凡神論
[00:06:12.000 --> 00:06:14.000]  很多時候,一切都是神
[00:06:14.000 --> 00:06:18.000]  又有輪迴,盡量去最重要愛自己
[00:06:18.000 --> 00:06:22.000]  如果人先愛自己,就先可以愛人
[00:06:22.000 --> 00:06:26.000]  繼續去成功、自負,用各種輕鬆的方法
[00:06:26.000 --> 00:06:29.000]  我們一起做一些健康運動,輕鬆一下
[00:06:29.000 --> 00:06:33.000]  將我們的心靈,將我們無限的潛能發揮出來
[00:06:33.000 --> 00:06:37.000]  這些就是所謂的新紀元運動
[00:06:37.000 --> 00:06:41.000]  所以我們弄清楚,我們所敬拜、所歸向的
[00:06:41.000 --> 00:06:43.000]  是獨一的主耶穌基督
[00:06:43.000 --> 00:06:45.000]  我們再看經文的時候
[00:06:45.000 --> 00:06:48.000]  再看剛才那裡就說
[00:06:48.000 --> 00:06:52.000]  因為主耶穌基督是我們顯現出來
[00:06:52.000 --> 00:06:56.000]  道成肉身顯現出來,這個主角是主耶穌基督
[00:06:56.000 --> 00:06:58.000]  聖靈他都在神面前
[00:06:58.000 --> 00:07:01.000]  因為主耶穌基督說,他怎樣?
[00:07:01.000 --> 00:07:05.000]  在神是稱為義,被稱為義
[00:07:05.000 --> 00:07:07.000]  我們當信靠主耶穌基督的時候
[00:07:07.000 --> 00:07:10.000]  我們都能夠稱義,在神面前稱義
[00:07:10.000 --> 00:07:16.000]  不再是一個我們以前所犯的罪
