
[00:00:00.000 --> 00:00:03.400]  這個月,三月份剛開始
[00:00:03.400 --> 00:00:07.800]  這個月一開始就很多風很多雨
[00:00:07.800 --> 00:00:12.900]  你也不知道在這個月底的時候會發生什麼事情
[00:00:12.900 --> 00:00:15.800]  因為我們人生很多風風雨雨
[00:00:15.800 --> 00:00:17.900]  我們都不知道如何如何
[00:00:17.900 --> 00:00:21.400]  所以這個月我們特別講到一個題目
[00:00:21.400 --> 00:00:24.800]  在敬拜裡頭我們講到遇見了耶穌
[00:00:24.800 --> 00:00:26.500]  遇見了耶穌
[00:00:26.500 --> 00:00:28.500]  Encountering Jesus
[00:00:28.800 --> 00:00:31.800]  這一月開始我們一起遇見耶穌
[00:00:31.800 --> 00:00:33.300]  我們希望也遇見耶穌
[00:00:33.300 --> 00:00:35.900]  直到復活節的那一天
[00:00:35.900 --> 00:00:38.100]  三月底是復活節
[00:00:38.100 --> 00:00:42.100]  就在那一天我們能遇見耶穌的復活
[00:00:42.100 --> 00:00:46.100]  我們的生命也因其而復活
[00:00:46.100 --> 00:00:50.100]  當耶穌在耶路撒冷的時候
[00:00:50.100 --> 00:00:54.600]  為我們的罪走向十字架的路上
[00:00:54.600 --> 00:00:57.300]  聖經說這條路叫苦路
[00:00:57.300 --> 00:00:59.600]  We are Dolorosa
[00:00:59.600 --> 00:01:01.600]  有一首歌很好聽的
[00:01:01.600 --> 00:01:04.100]  叫We are Dolorosa
[00:01:04.100 --> 00:01:05.600]  叫苦路
[00:01:05.600 --> 00:01:08.100]  但這條路一點都不好看
[00:01:08.100 --> 00:01:10.600]  耶穌的樣子也不太好看
[00:01:10.600 --> 00:01:13.400]  還有另一條路
[00:01:13.400 --> 00:01:15.400]  另外一條路聖經也記載著
[00:01:15.400 --> 00:01:20.900]  就是耶穌從祂的故鄉
[00:01:20.900 --> 00:01:26.100]  拿撒勒、紮柏隆、以色列的北邊
[00:01:26.100 --> 00:01:29.600]  走到以色列的南邊耶路撒冷
[00:01:29.600 --> 00:01:32.600]  這條路,這段路
[00:01:32.600 --> 00:01:35.100]  聖經學者也給它一個名字
[00:01:35.100 --> 00:01:37.600]  叫面上耶路撒冷之路
[00:01:37.600 --> 00:01:39.600]  Facing Jerusalem
[00:01:39.600 --> 00:01:42.600]  在儒家福音用了十張的經文
[00:01:42.600 --> 00:01:45.100]  特別記載耶穌和祂的門徒
[00:01:45.100 --> 00:01:48.600]  在這條路上所見所聞
[00:01:48.600 --> 00:01:51.100]  其他福音書沒有記載
[00:01:51.100 --> 00:01:54.100]  特別儒家福音用了十張
[00:01:54.100 --> 00:01:56.100]  十張聖經來記載
[00:01:56.100 --> 00:01:58.100]  可見這段路
[00:01:58.100 --> 00:02:01.100]  對耶穌來說是何等的重要
[00:02:01.100 --> 00:02:04.100]  所以今天我們從這段路裡頭
[00:02:04.100 --> 00:02:07.100]  我們看看耶穌遇見了什麼不同的人
[00:02:07.100 --> 00:02:09.100]  以後的日子
[00:02:09.100 --> 00:02:12.100]  我們都是看耶穌遇見不同的人
[00:02:12.100 --> 00:02:14.100]  不同的人遇見耶穌
[00:02:14.100 --> 00:02:16.100]  也有不同的反應和經驗
[00:02:16.100 --> 00:02:18.100]  每一個人遇見耶穌
[00:02:18.100 --> 00:02:20.100]  尋求祂的人
[00:02:20.100 --> 00:02:22.100]  我們相信他的生命
[00:02:22.100 --> 00:02:24.100]  會有巨大的改變
