
[00:00:00.000 --> 00:00:02.880]  各位朋友 各位弟兄姊妹 平安
[00:00:02.880 --> 00:00:05.860]  很高興今天在你們當中來分享
[00:00:05.860 --> 00:00:09.120]  剛才有人問我 你的普通話怎麼樣
[00:00:09.120 --> 00:00:12.400]  我跟你說我的普通話 香港人聽得懂
[00:00:12.400 --> 00:00:16.080]  我的廣東話呢 可能北京的人聽得懂
[00:00:16.080 --> 00:00:19.760]  所以我覺得你們應該聽得懂我的普通話
[00:00:19.760 --> 00:00:22.520]  我是在19
[00:00:22.520 --> 00:00:25.640]  我是1956年在香港出生
[00:00:25.640 --> 00:00:29.360]  1973年我就移民到加拿大
[00:00:30.920 --> 00:00:32.180]  什麼
[00:00:32.180 --> 00:00:35.820]  我是很年輕啊 今年才60億
[00:00:35.820 --> 00:00:39.060]  還是很年輕 然後我移民過去以後呢
[00:00:39.060 --> 00:00:42.040]  我是在加拿大姓卒的 1975年我姓卒
[00:00:42.040 --> 00:00:45.140]  這也是我人生一個很大的改變
[00:00:45.140 --> 00:00:48.000]  我每一年回來 其實我以前不來香港
[00:00:48.000 --> 00:00:50.540]  我直接到中國
[00:00:50.540 --> 00:00:53.400]  後來吳牧師因為他在加拿大認識我
[00:00:53.400 --> 00:00:56.180]  他說既然你來了中國 能不能
[00:00:56.180 --> 00:00:58.420]  就是再到南邊一點點
[00:00:58.420 --> 00:01:01.420]  來香港停一停 我一停了
[00:01:01.420 --> 00:01:02.420]  就來了19年了
[00:01:02.420 --> 00:01:05.880]  在港府堂我來這裡講到講了19年
[00:01:05.880 --> 00:01:08.800]  每一次來都會停一停
[00:01:08.800 --> 00:01:11.840]  其實停一停挺累的 你知道嗎 我前天才到
[00:01:11.840 --> 00:01:13.240]  這一堂是第六堂
[00:01:13.240 --> 00:01:17.320]  剛才有人問我有沒有時差 我說
[00:01:17.320 --> 00:01:20.200]  正常的人都應當有的 最主要是你看不出來
[00:01:20.200 --> 00:01:21.200]  就行了
[00:01:21.200 --> 00:01:24.660]  我今天下午就要跑到去中國 有幾十位同工
[00:01:24.660 --> 00:01:27.280]  教務同工在等
[00:01:27.520 --> 00:01:30.400]  我跟他們分享 預計到禮拜五 然後禮拜五下午回來
[00:01:30.400 --> 00:01:32.800]  就在這裡國語團體在分享
[00:01:32.800 --> 00:01:36.400]  然後我很快就會在禮拜
[00:01:36.400 --> 00:01:39.060]  總而言之還有很多要講
[00:01:39.060 --> 00:01:42.460]  然後講完就回去 然後在加拿大有很多很多
[00:01:42.460 --> 00:01:45.300]  從國內來的朋友 剛才我坐在那裡
[00:01:45.300 --> 00:01:48.160]  我在想 因為昨天我體會了一件事情
[00:01:48.160 --> 00:01:51.100]  就是我有時候以前想法是錯的
[00:01:51.100 --> 00:01:53.340]  昨天我跟幾位弟兄姊妹吃飯的時候
[00:01:53.340 --> 00:01:56.300]  他提醒我了 我常說我到什麼地方
[00:01:56.300 --> 00:01:57.500]  都能睡
[00:01:57.500 --> 00:01:59.640]  一分鐘我就能睡了
[00:01:59.640 --> 00:02:02.560]  他說這個不是睡 這個是孕過去了
[00:02:02.560 --> 00:02:07.600]  他說太累了嘛 所以我講到完
[00:02:07.600 --> 00:02:09.140]  一坐下來我就能睡
[00:02:09.140 --> 00:02:12.920]  他說這個沒什麼話可說的 只不過你太累了
[00:02:12.920 --> 00:02:16.620]  有時候剛才我坐在那裡我就想 幹嘛要那麼累
[00:02:16.620 --> 00:02:20.320]  今天早上講了兩堂 我可以跟林牧師講
[00:02:20.320 --> 00:02:23.320]  我講一堂就算了 可是我覺得如果我既然
[00:02:23.320 --> 00:02:24.320]  來了
[00:02:24.580 --> 00:02:27.320]  如果教會給我的 我就講 所以當
[00:02:27.320 --> 00:02:29.720]  林全道問我 你能來國語堂講嗎
[00:02:29.720 --> 00:02:32.320]  我說行 只要你們給 我就來
[00:02:32.320 --> 00:02:34.700]  他說禮拜五你出來 能來國語團體講嗎
[00:02:34.700 --> 00:02:37.960]  我說有個你們要 我就來 他說禮拜四你剛到的時候
[00:02:37.960 --> 00:02:40.840]  你能講嗎 我說你們給 我就講
[00:02:40.840 --> 00:02:44.360]  有一年我在黑龍江
[00:02:44.360 --> 00:02:47.280]  冷死了 12月
[00:02:47.280 --> 00:02:48.900]  我咳嗽
[00:02:48.900 --> 00:02:52.280]  病了 我就問弟兄姊妹 還要講嗎
[00:02:52.320 --> 00:02:55.160]  你要他的回應很簡單 他說 徐弟兄
[00:02:55.160 --> 00:02:56.160]  你還沒死
[00:02:56.160 --> 00:03:00.920]  死了不用講 沒死 還要講
[00:03:00.920 --> 00:03:04.480]  我講了五天 每一天八個小時
[00:03:04.480 --> 00:03:06.820]  感謝神還沒死
[00:03:06.820 --> 00:03:10.700]  今天還在 所以我真的很高興
[00:03:10.700 --> 00:03:13.880]  今天跟你們分享 我所信的神 我所信的耶穌
[00:03:13.880 --> 00:03:16.620]  我記得 我真的覺得過去那麼多年
[00:03:16.620 --> 00:03:19.520]  1975年 神救了我 我跟你說
[00:03:19.520 --> 00:03:22.540]  當時我爸爸跟我媽媽講 他說他沒有這個兒子
[00:03:22.540 --> 00:03:26.980]  我是個非常非常不好 很不乖的一個孩子
[00:03:26.980 --> 00:03:29.380]  我去了加拿大以後
[00:03:29.380 --> 00:03:32.600]  因為我在加拿大 爸媽在香港 他沒我辦法
[00:03:32.600 --> 00:03:36.140]  我喜歡怎麼樣就怎麼樣 他管得了嗎
[00:03:36.140 --> 00:03:38.060]  當時才17歲
[00:03:38.060 --> 00:03:41.000]  我說挺開心的 我自由了
[00:03:41.000 --> 00:03:44.480]  我覺得 其實那個不是自由 那個叫放縱
[00:03:44.480 --> 00:03:47.680]  我放縱了 我挺享受
[00:03:48.020 --> 00:03:50.800]  我覺得再不用回去跟爸媽講什麼
[00:03:50.800 --> 00:03:53.540]  我喜歡什麼時候回家 什麼時候回家
[00:03:53.540 --> 00:03:55.580]  有一年時間 我爸媽找不到我
[00:03:55.580 --> 00:03:59.420]  後來有弟兄姊妹 帶我去教會
[00:03:59.420 --> 00:04:01.920]  我在那裡聽 其實我不信 想信耶穌
[00:04:01.920 --> 00:04:04.820]  我覺得弟兄姊妹挺可愛的
[00:04:04.820 --> 00:04:09.260]  也挺單純的 很容易受騙的
[00:04:09.260 --> 00:04:11.740]  我說我孤單 他就來陪我
[00:04:11.740 --> 00:04:14.760]  我說我今天沒飯吃 他就請我
[00:04:14.760 --> 00:04:17.580]  我說太好了 這樣的地方都不去 你去什麼地方
[00:04:18.020 --> 00:04:21.020]  我就是這樣的人 可是我給他們的愛
[00:04:21.020 --> 00:04:23.760]  也給神的愛感動了 1975年1月2號我慶祝
[00:04:23.760 --> 00:04:26.920]  慶祝以後 我一直到現在 到了1983年的時候
[00:04:26.920 --> 00:04:30.060]  我在美國工作 神給我有感動
[00:04:30.060 --> 00:04:33.080]  我就回來讀神學 我記得我媽問了一個問題
[00:04:33.080 --> 00:04:35.820]  她說 孩子為什麼那麼看不開
[00:04:35.820 --> 00:04:37.360]  要去讀神學
[00:04:37.360 --> 00:04:41.680]  我說不是看不開去讀神學
[00:04:41.680 --> 00:04:44.560]  我是看通了我去讀神學的
[00:04:44.560 --> 00:04:47.580]  因為我看見沒有什麼事情 比把一個人帶到神的面前更重要
[00:04:47.580 --> 00:04:50.800]  所以我放棄了我的工程
[00:04:50.800 --> 00:04:53.940]  工程師的工作 我回到多倫多讀神學
[00:04:53.940 --> 00:04:57.020]  然後再到美國去讀神學 我就很喜歡到處去講
[00:04:57.020 --> 00:04:58.560]  有關神的事情
[00:04:58.560 --> 00:05:01.460]  我再記起來 也有一些弟兄姊妹跟我講
