
[00:00:00.000 --> 00:00:03.000]  早晨 各位弟兄姊妹平安
[00:00:03.000 --> 00:00:05.660]  剛才一開始我們讀聖經
[00:00:05.660 --> 00:00:08.400]  讀到詩篇四十二篇提到
[00:00:08.400 --> 00:00:11.340]  很想問何時可以見到上帝的面
[00:00:11.340 --> 00:00:14.200]  你渴不渴慕每個禮拜回來教會?
[00:00:14.200 --> 00:00:15.600]  渴不渴慕?
[00:00:15.600 --> 00:00:18.800]  你渴不渴慕可以去聽到上帝的話?
[00:00:18.800 --> 00:00:20.840]  今天我們帶著渴慕的心
[00:00:20.840 --> 00:00:23.600]  好像鹿渴慕溪水一樣
[00:00:23.600 --> 00:00:25.140]  一開始Samuel跟我們談
[00:00:25.140 --> 00:00:26.960]  很好 如鹿渴慕溪水一樣
[00:00:26.960 --> 00:00:29.100]  你記得我們要去主人面前渴慕
[00:00:29.100 --> 00:00:31.300]  讓我們先低頭祈禱
[00:00:31.300 --> 00:00:33.400]  天父上帝 我們多謝你
[00:00:33.400 --> 00:00:35.100]  你有一個美好的清晨
[00:00:35.100 --> 00:00:38.300]  儘管有時下雨 有時很曬
[00:00:38.300 --> 00:00:41.000]  儘管走到這裡有點遠 有點累
[00:00:41.000 --> 00:00:42.400]  但我們仍然帶著渴慕
[00:00:42.400 --> 00:00:44.200]  你的心去到你面前
[00:00:44.200 --> 00:00:46.200]  渴想你跟我們同在
[00:00:46.200 --> 00:00:48.000]  好像鹿渴慕溪水一樣
[00:00:48.000 --> 00:00:50.100]  求你臨在我們當中 向我們說話
[00:00:50.100 --> 00:00:51.500]  讓我們尋見你
[00:00:51.500 --> 00:00:53.200]  開我們耳朵 讓我們細心聆聽
[00:00:53.200 --> 00:00:56.100]  開我們眼睛 讓我們看到你的榮美
[00:00:56.100 --> 00:00:57.100]  有願無人口中的言語
[00:00:57.100 --> 00:01:00.400]  電影節目主持人的心思意念 蒙聖靈的啟迪蒙主的月立
[00:01:00.400 --> 00:01:02.600]  禱告奉耶穌基督的命靠
[00:01:02.600 --> 00:01:04.100]  阿們
[00:01:04.100 --> 00:01:05.300]  電影節目今天很興奮
[00:01:05.300 --> 00:01:08.700]  因為福音書提到一段我很喜歡的聖經
[00:01:08.700 --> 00:01:10.200]  不知道你喜不喜歡這段聖經
[00:01:10.200 --> 00:01:11.900]  剛才聽得清不清楚
[00:01:11.900 --> 00:01:15.100]  福音書六一第八章講到這一段叫做什麼
[00:01:15.100 --> 00:01:18.000]  叫做鬼入豬群的聖經
[00:01:18.000 --> 00:01:19.800]  耶穌去到迦拉森
[00:01:19.800 --> 00:01:22.200]  將鬼趕走入豬群
[00:01:22.200 --> 00:01:23.800]  豬就跌落山崖
[00:01:23.800 --> 00:01:25.400]  去到湖裡死光
[00:01:25.400 --> 00:01:28.100]  有沒有人從來沒聽過這個故事
[00:01:28.100 --> 00:01:31.000]  有沒有電影節目完全沒聽過這個故事
[00:01:31.000 --> 00:01:31.800]  大部分聽過了
[00:01:31.800 --> 00:01:33.600]  小朋友可能少聽一點
[00:01:33.600 --> 00:01:36.600]  有沒有人不明白裡面說什麼
[00:01:36.600 --> 00:01:37.400]  都明白了吧
[00:01:37.400 --> 00:01:38.800]  那說完了
[00:01:38.800 --> 00:01:40.100]  每次都是這樣
[00:01:40.100 --> 00:01:41.900]  當明白了又知道就說完了
[00:01:41.900 --> 00:01:43.500]  又是一段很熟悉的聖經
[00:01:43.500 --> 00:01:44.200]  我很興奮
[00:01:44.200 --> 00:01:45.400]  因為我很喜歡這段聖經
[00:01:45.400 --> 00:01:47.000]  我不知道你喜不喜歡這段聖經
[00:01:47.000 --> 00:01:47.900]  這段聖經第一就是
[00:01:47.900 --> 00:01:48.900]  我很喜歡因為
[00:01:48.900 --> 00:01:50.900]  好像很精彩
