
[00:00:00.000 --> 00:00:01.240]  去低頭祈禱
[00:00:01.240 --> 00:00:02.840]  再一次求您幫助我們
[00:00:02.840 --> 00:00:07.440]  讓我們能夠光光過了我們中國人的過年
[00:00:07.440 --> 00:00:09.600]  讓我們看到您有恩典
[00:00:09.600 --> 00:00:11.840]  讓我們能夠在年宵裡
[00:00:11.840 --> 00:00:14.320]  看到很多人經過我們的攤位
[00:00:14.320 --> 00:00:16.720]  我們的貨品不單止賣完
[00:00:16.720 --> 00:00:22.600]  也能夠有很多人進到我們的攤位裡
[00:00:22.600 --> 00:00:25.360]  去接受上帝給他們的祝福
[00:00:25.360 --> 00:00:27.560]  也有三百多人信耶穌
[00:00:27.560 --> 00:00:28.880]  我們向您感恩
[00:00:28.880 --> 00:00:30.440]  求您繼續帶領著我們
[00:00:30.440 --> 00:00:32.280]  當我們去到新的一年
[00:00:32.280 --> 00:00:34.520]  縱然我們未來一年裡
[00:00:34.520 --> 00:00:38.240]  或許也有很多未知的事情
[00:00:38.240 --> 00:00:39.880]  會有什麼發生什麼事
[00:00:39.880 --> 00:00:42.600]  但是我們天父上帝求您就藉著
[00:00:42.600 --> 00:00:47.000]  今天這個尼西米這八字的聖經
[00:00:47.000 --> 00:00:48.680]  讓我們看看這個人物
[00:00:48.680 --> 00:00:52.800]  他怎樣在不同的困境當中
[00:00:52.800 --> 00:00:57.720]  他看得到上帝的手仍然在當中帶領著他
[00:00:57.720 --> 00:01:01.280]  也會知道他怎樣去回應上帝的恩典
[00:01:01.280 --> 00:01:02.680]  求您繼續恩待
[00:01:02.680 --> 00:01:05.240]  保守我們以下這段時間
[00:01:05.240 --> 00:01:08.760]  讓上帝的話語藏在我們的心裡
[00:01:08.760 --> 00:01:11.160]  聽我們祈禱奉主明求
[00:01:11.160 --> 00:01:12.200]  Amen
[00:01:12.200 --> 00:01:13.800]  今天我選擇這段聖經的原因是
[00:01:13.800 --> 00:01:17.040]  因為我們很深信我們對於舊約
[00:01:17.040 --> 00:01:19.760]  我們未必每個人都很熟悉
[00:01:19.760 --> 00:01:20.520]  不過不要緊
[00:01:20.520 --> 00:01:22.000]  我們熟不熟悉舊約也好
[00:01:22.000 --> 00:01:23.720]  我希望今天這篇道
[00:01:23.720 --> 00:01:26.720]  讓大家能夠看看一個舊約的人物
[00:01:26.720 --> 00:01:28.400]  這個人物叫做尼西米
[00:01:28.400 --> 00:01:31.480]  他的背景我會和大家分析
[00:01:31.480 --> 00:01:33.280]  看回這件事裡
[00:01:33.280 --> 00:01:37.480]  為什麼我說這個尼西米很有智慧
[00:01:37.480 --> 00:01:39.560]  我們嘗試從他的智慧裡面
[00:01:39.560 --> 00:01:41.480]  去面對我們今天
[00:01:41.480 --> 00:01:43.280]  我們面對不同的事的時候
[00:01:43.280 --> 00:01:44.920]  我們怎樣去回應
[00:01:44.920 --> 00:01:46.640]  當然在舊約聖經裡
[00:01:46.640 --> 00:01:49.040]  我們也知道有幾個階段
[00:01:49.040 --> 00:01:50.800]  當然由創世紀開始
[00:01:50.800 --> 00:01:52.000]  神創造天地
[00:01:52.000 --> 00:01:53.880]  然後神選擇阿伯拉罕
[00:01:53.880 --> 00:01:58.880]  接著猶太人喜歡有王
