
[00:00:00.000 --> 00:00:08.000]  菩薩師妹,讓我們在聆聽主導以前,我們一起同心低頭禱告,仰望你的主願,我地神。
[00:00:08.000 --> 00:00:29.000]  菩薩,多謝你,你讓我們有生命在你的面前,繼續去認識你,更加是直接認識主你的啟示,明白你在這個世界裏面的拯救,所帶來的種種的挑戰和當中的你的掙扎。
[00:00:29.000 --> 00:00:38.000]  讓我們明白,我們如何與主你同父一騙,這個重要的關係。
[00:00:38.000 --> 00:00:53.000]  也感謝你,你讓我們有生命再次可以去看得明白當中你所有的教訓,因為你的聖靈能夠幫助我們。
[00:00:53.000 --> 00:01:08.000]  更重要的是,讓我們能夠更體驗到你獨生兒子耶穌基督所帶來的拯救和那份的重生的盼望,我也為此獻上感謝。
[00:01:08.000 --> 00:01:27.000]  因此,求你幫助我們每一個,無論是在線上線下的每一個弟兄姊妹,都能夠在主你的當中,一同在這段聆聽主導的過程裏面,有一個活潑的靈,領受當中的教訓。
[00:01:27.000 --> 00:01:34.000]  我們同心的禱告,奉靠主耶穌基督德性的名字,阿們。
[00:01:34.000 --> 00:01:40.000]  今天做基督徒最大的挑戰是什麼呢?
[00:01:40.000 --> 00:01:53.000]  我相信其中一個在聖經裏面講得很明白的就是,如何在一個滿有罪惡的世界當中,我們的靈性仍然是保持清醒的狀態。
[00:01:53.000 --> 00:02:14.000]  因為在這個時代裏面有不少立心不良的假教徒,或者是有私心的牧者,在不同的層面裏面,特別更廣泛的,在教會裏面,去迷惑信徒。
[00:02:14.000 --> 00:02:38.000]  他們會利用一些很漂亮的建築,或者一些使人很興奮的事工,甚至可能是用一些你很喜歡聽的吸引人的說話,來使你漸漸去跟隨這些人,而離開了真正救恩的主。
[00:02:38.000 --> 00:02:56.000]  所以很多時候他們即使是談論到有關於神的真理,或者所謂的福音,其實都只是針對於閱人眼目,或者是讓人喜悅的事。
[00:02:56.000 --> 00:03:13.000]  但是在過去的主人節裏面,其實大家都聽我透過聖經的分享,會知道聖經裏面的啟示其實是一些很隱疑的信息,甚至是逆人意的一些信息。
[00:03:13.000 --> 00:03:32.000]  因為天國的福音是針對人的罪性去講的宗言,正所謂宗言就是易耳,不是每個人都會去接受宗言的,只有有些人有誤信的人才會去接受宗言。
[00:03:32.000 --> 00:03:44.000]  而能夠接受拯救的信息,更加是需要有聖靈內在裏面的人才會這樣去接受。
[00:03:44.000 --> 00:04:03.000]  但是無奈我們生活在現在這個世界當中,的而且確很多教會的領袖都只是用各種迷人而且洪偉的建築來吸引人回教會。
[00:04:03.000 --> 00:04:16.000]  或者是說一些很煽情、虛無縹緲的說話,來帶來一種假的、虛擬的屬靈需要給我們。
[00:04:16.000 --> 00:04:25.000]  而在這種方法裏面,我作為一個真正的信徒,我們又應該怎樣去面對和掙扎呢?
[00:04:25.000 --> 00:04:40.000]  怎樣去釋透他們有這種做法呢?耶穌在今天我們一起所看的這段經文裏面,就進一步去介紹給每一個人知道。
[00:04:40.000 --> 00:04:57.000]  而在這個介紹當中有一個主題,這個主題也在大家今天講道的程序裏面,我寫了這個講道的題目叫做「一直持守不會被騙的屬靈」的指紋。
[00:04:57.000 --> 00:05:10.000]  因為在活世的時間裏面,我們會一起面對很多方式的欺騙存在當中。
[00:05:10.000 --> 00:05:29.000]  我們一起再次去讀這段聖經,因為不太長,24章第3至14節,馬太福音第24章第3至14節,我們會一起去看這段聖經。這段聖經很多時候都用作講活世的景象。
[00:05:29.000 --> 00:05:47.000]  我們看看這段聖經是不是真的只是講活世的景象。我們一起讀,我們打開馬太福音第24章第3至14節,我們一起讀。
[00:05:47.000 --> 00:06:03.000]  耶穌在橄欖山上坐著,門童暗暗地來說,請告訴我們,什麽時候有這些事,你的淫和世界的沒了有什麽預兆呢?
[00:06:03.000 --> 00:06:18.000]  耶穌回答說,你們要謹慎,免得有人迷惑你們。因為將來有好些人冒我的名來說,我是基督,並且要迷惑許多人。
[00:06:18.000 --> 00:06:41.000]  你們也要聽見打仗和打仗的風聲,總不要驚慌,因為這些事是必須有的,只是沒期還沒到,民要攻打民,國要攻打國,多處必有饑荒地震,這都是災難的起頭。
[00:06:41.000 --> 00:07:10.000]  那時,人要把你們陷在患難裏,也要殺害你們,你們又要為我的名被萬民恨戶,那時必有許多人跌倒,也要彼此陷害,彼此恨戶,且有好些假先知起來,迷惑多人,只因不化的事增多,許多人的愛心才漸漸冷淡。
[00:07:10.000 --> 00:07:25.000]  唯有忍耐到底,必然得救,這天國的福音要傳遍天下,對萬民作見證,然後沒期才來到。
[00:07:25.000 --> 00:07:51.000]  在上文我們說過什麼呢?其實我們說過,罪人本身有一個性情就是古古惑惑,即使信了耶穌的人,其實仍然有這些古古惑惑的基因殘留在我們裏面,經常地呼喚我們,而這種呼喚也很容易使他們倒退。
[00:07:51.000 --> 00:08:14.000]  而作為一個真正的信徒,我們如何在這個成聖的過程當中去依靠聖靈,認真面對,並且抗拒這種試探,以及抗拒去試探神,我們就需要去希望聖靈常常的幫助和矯正。
