
[00:00:00.000 --> 00:00:02.000]  在這時我們要預備我們的心
[00:00:02.000 --> 00:00:04.000]  我們一起聽神的話語
[00:00:04.000 --> 00:00:06.000]  我們先低頭祈禱
[00:00:06.000 --> 00:00:09.000]  天父我們感謝讚美你
[00:00:09.000 --> 00:00:13.000]  在這個充滿著暴風的人生裏面
[00:00:13.000 --> 00:00:16.000]  祢保守我們度過每一天
[00:00:16.000 --> 00:00:21.000]  讓我們不要把焦點放在人生的風浪
[00:00:21.000 --> 00:00:24.000]  那是看到彩虹的應許
[00:00:24.000 --> 00:00:28.000]  把焦點放在我們主耶穌基督的身上
[00:00:28.000 --> 00:00:31.000]  在今天早上願意祢的靈與我們同在
[00:00:31.000 --> 00:00:34.000]  叫祢的真理刻在我們的心裏面
[00:00:34.000 --> 00:00:37.000]  幫助我們更加信靠祢
[00:00:37.000 --> 00:00:41.000]  活出祢在主裏面更生的生命
[00:00:41.000 --> 00:00:43.000]  得著從祢以來的福氣
[00:00:43.000 --> 00:00:46.000]  聽我們禱告奉主耶穌基督聖名
[00:00:46.000 --> 00:00:48.000]  阿們
[00:00:48.000 --> 00:00:53.000]  在人生世上我們都會遇到苦難
[00:00:53.000 --> 00:00:59.000]  單單在過去幾年來所發生在世界各地
[00:00:59.000 --> 00:01:01.000]  包括美國
[00:01:01.000 --> 00:01:06.000]  已經是所謂苦難重重災害頻發
[00:01:06.000 --> 00:01:09.000]  譬如病毒COVID-19
[00:01:09.000 --> 00:01:11.000]  在五年前
[00:01:11.000 --> 00:01:14.000]  就是在2020年3月的時候
[00:01:14.000 --> 00:01:18.000]  世界衛生組織就正式宣佈新冠病毒
[00:01:18.000 --> 00:01:22.000]  這個疫情成為大流行病
[00:01:22.000 --> 00:01:28.000]  雖然世界衛生組織在兩年前宣佈疫情結束了
[00:01:28.000 --> 00:01:31.000]  但是新冠病毒仍然在繼續的
[00:01:31.000 --> 00:01:33.000]  雖然不是那麼
[00:01:33.000 --> 00:01:35.000]  仍然在傳播
[00:01:35.000 --> 00:01:37.000]  到目前為止
[00:01:37.000 --> 00:01:40.000]  全球新冠病毒死亡者的人數
[00:01:40.000 --> 00:01:43.000]  已經超過七百萬
[00:01:43.000 --> 00:01:45.000]  那另外一些
[00:01:45.000 --> 00:01:47.000]  What about 戰爭
[00:01:47.000 --> 00:01:48.000]  戰爭
[00:01:48.000 --> 00:01:50.000]  在新冠病毒的疫情
[00:01:50.000 --> 00:01:53.000]  還未宣佈結束的時候
[00:01:53.000 --> 00:01:57.000]  俄羅斯在2020年2月24日
[00:01:57.000 --> 00:01:59.000]  就入侵烏克蘭
[00:01:59.000 --> 00:02:03.000]  開始了已經超過三年的戰爭
[00:02:03.000 --> 00:02:07.000]  令到雙方傷亡慘重
[00:02:07.000 --> 00:02:09.000]  不單止是軍人軍隊
[00:02:09.000 --> 00:02:13.000]  也包括烏克蘭裡面的普通百姓
[00:02:13.000 --> 00:02:15.000]  另外也有耳巴衝突
[00:02:15.000 --> 00:02:18.000]  也有葉門的內戰
[00:02:18.000 --> 00:02:20.000]  也有蘇丹的內戰
[00:02:20.000 --> 00:02:24.000]  也有緬甸的內戰等等
[00:02:24.000 --> 00:02:28.000]  另外在人生我們遇到的苦難
[00:02:28.000 --> 00:02:30.000]  也包括槍擊
[00:02:30.000 --> 00:02:34.000]  在美國其實每年多處都發生
[00:02:34.000 --> 00:02:38.000]  嚴重的大規模的槍擊事件
[00:02:38.000 --> 00:02:40.000]  就在去年2024年
[00:02:40.000 --> 00:02:44.000]  美國已經發生超過五百個
[00:02:44.000 --> 00:02:47.000]  大規模的槍擊事件
[00:02:47.000 --> 00:02:50.000]  然後今年截至上個月為止
