
[00:00:00.000 --> 00:00:02.500]  很快就踏進了七月
[00:00:02.500 --> 00:00:05.720]  我們進入了這個年度的第三季
[00:00:05.720 --> 00:00:09.040]  所以這個季題就叫做「土主喜悅」
[00:00:09.040 --> 00:00:13.180]  經文其實是記載在羅馬書的十四章
[00:00:13.180 --> 00:00:15.380]  十七到十八節
[00:00:15.380 --> 00:00:18.480]  但是又記得梁家倫博士
[00:00:18.480 --> 00:00:20.700]  剛好在六月底也說了
[00:00:20.700 --> 00:00:24.040]  說到已經很詳細的將這一段
[00:00:24.040 --> 00:00:26.860]  我們的主題經文去釋經來講
[00:00:26.860 --> 00:00:30.740]  相信你們姐妹都應該記得清楚
[00:00:30.740 --> 00:00:33.160]  怎樣能夠是上帝喜歡的東西呢?
[00:00:33.160 --> 00:00:37.000]  其實我們能夠真的常常活在公義和平
[00:00:37.000 --> 00:00:39.000]  並聖靈當中的喜樂
[00:00:39.000 --> 00:00:42.280]  這些的服侍就已經是神所喜悅了
[00:00:42.280 --> 00:00:45.280]  因此我盼望在這一季我們真的努力學習
[00:00:45.280 --> 00:00:48.320]  當我們聚會 當我們相見的時間
[00:00:48.320 --> 00:00:49.760]  我們在一起的時間
[00:00:49.760 --> 00:00:52.520]  大家彼此勉勵去追求和睦的事
[00:00:52.520 --> 00:00:55.880]  和彼此去建立得恆的事
[00:00:55.880 --> 00:00:59.740]  好讓我們過上帝喜歡的生活
[00:00:59.740 --> 00:01:02.480]  所以今天我就調了另一個態度
[00:01:02.480 --> 00:01:04.480]  來看看這個主題
[00:01:04.480 --> 00:01:09.520]  因為昨天突然有機會在青崇實體講道
[00:01:09.520 --> 00:01:11.240]  因為同青年人他們發覺
[00:01:11.240 --> 00:01:13.440]  這些古老的字眼
[00:01:13.440 --> 00:01:16.800]  「土主喜悅」、「土人喜歡」
[00:01:16.800 --> 00:01:20.160]  這一類跟我們上一代的理解不是很相似
[00:01:20.160 --> 00:01:21.240]  我們很casual
[00:01:21.240 --> 00:01:24.240]  「做些事聽媽媽開心」
[00:01:24.240 --> 00:01:25.320]  「老闆喜歡」
[00:01:25.320 --> 00:01:27.160]  我們就好過一點
[00:01:27.160 --> 00:01:28.400]  我們就沒有什麼
[00:01:28.400 --> 00:01:31.280]  但是現在這一代對於這些
[00:01:31.280 --> 00:01:34.200]  好像有一點委屈自己
[00:01:34.200 --> 00:01:36.120]  來哄別人開心
[00:01:36.120 --> 00:01:37.360]  他們是很難的
[00:01:37.360 --> 00:01:40.960]  所以你看到他們畫的東西是很清楚的
[00:01:40.960 --> 00:01:43.040]  「土人喜歡」
[00:01:43.040 --> 00:01:45.440]  這些是撒旦的手段
