
[00:00:00.000 --> 00:00:01.760]  各位頂姐妹 早晨
[00:00:01.760 --> 00:00:05.400]  來到加拿大一段時間
[00:00:05.400 --> 00:00:09.080]  都很體會 尤其是多倫多
[00:00:09.080 --> 00:00:11.680]  生活每個人都很忙
[00:00:11.680 --> 00:00:14.760]  又要工作 又要接家庭
[00:00:14.760 --> 00:00:17.400]  接送 又要做查柯夫司機
[00:00:17.400 --> 00:00:19.760]  載小朋友去這裡 去那裡
[00:00:19.760 --> 00:00:21.520]  很多的事情
[00:00:21.520 --> 00:00:22.800]  有時候我都在想
[00:00:22.800 --> 00:00:27.000]  不知不覺教會每個星期我們回來的時候
[00:00:27.000 --> 00:00:31.040]  其實都成為了一個很重要的加油站
[00:00:31.040 --> 00:00:32.360]  什麼意思呢
[00:00:32.360 --> 00:00:33.360]  就是說在星期日回來
[00:00:33.360 --> 00:00:36.880]  我們就像開車一樣進去油站一樣
[00:00:36.880 --> 00:00:38.640]  當然是想加滿油
[00:00:38.640 --> 00:00:40.880]  我們期盼就像剛才那樣
[00:00:40.880 --> 00:00:42.600]  有美好的詩歌
[00:00:42.600 --> 00:00:45.200]  一篇神的話語
[00:00:45.200 --> 00:00:47.720]  都成為了我們的力量
[00:00:47.720 --> 00:00:49.760]  在接下來的星期前行
[00:00:49.760 --> 00:00:51.360]  亦都可能臨走的時候
[00:00:51.360 --> 00:00:56.160]  我們都會跟身邊的頂姐妹打招呼
[00:00:56.160 --> 00:00:58.520]  談談最近近況
[00:00:58.520 --> 00:01:02.880]  然後我們的油缸就滿了
[00:01:02.880 --> 00:01:06.480]  繼續一個星期忙碌的生活
[00:01:06.480 --> 00:01:09.560]  其實沒有什麼錯與對
[00:01:09.560 --> 00:01:12.360]  我們每個人都是需要補給的
[00:01:12.360 --> 00:01:14.840]  尤其是屬靈的補給
[00:01:14.840 --> 00:01:18.800]  不過如果教會只是一個加油站
[00:01:18.800 --> 00:01:21.080]  其實遠遠是不足夠的
[00:01:21.080 --> 00:01:23.280]  因為神設立教會
[00:01:23.280 --> 00:01:28.280]  不是我們自己搞定 自己顧自己
[00:01:28.280 --> 00:01:30.960]  相聚完之後就各自上路
[00:01:30.960 --> 00:01:36.360]  神很期盼教會能夠成為一個屬靈的家
[00:01:36.360 --> 00:01:39.720]  你想想家裡給你一個什麼感覺
[00:01:39.720 --> 00:01:42.440]  你都期盼你的家人會關心你
[00:01:42.440 --> 00:01:45.200]  問候你 你最近怎樣
[00:01:45.200 --> 00:01:49.360]  工作怎樣 有什麼事情發生
[00:01:49.360 --> 00:01:53.680]  我們不需要裝作一切都很好
[00:01:53.680 --> 00:01:58.440]  在家裡你的真我就會很流露
[00:01:58.440 --> 00:01:59.960]  我不知道你回來的時候
[00:01:59.960 --> 00:02:02.760]  你的真我能不能露出來
[00:02:02.760 --> 00:02:09.240]  因為你都可能會有一個既定的標準的樣子
[00:02:09.240 --> 00:02:11.320]  標準的答案
[00:02:11.320 --> 00:02:15.440]  你都期盼有人可以在你人生的路上
[00:02:15.440 --> 00:02:19.960]  有人陪你走過此刻所面對的事情
[00:02:19.960 --> 00:02:22.640]  無論是開心還是不開心
[00:02:22.640 --> 00:02:26.160]  所以今天在這段時間
[00:02:26.160 --> 00:02:29.240]  我們說建立一個健康的使命教會
[00:02:29.240 --> 00:02:30.400]  第二個G
[00:02:30.400 --> 00:02:34.320]  就是我們怎樣去建立一個有質素的商家
[00:02:34.320 --> 00:02:35.320]  這個group
[00:02:35.320 --> 00:02:38.760]  完結之前我們必須要問一個問題
[00:02:38.760 --> 00:02:42.600]  就是究竟今天我們在教會裡面的生活
[00:02:42.600 --> 00:02:44.440]  在我們的小組裡面
[00:02:44.440 --> 00:02:47.600]  怎樣去活出來呢
[00:02:47.600 --> 00:02:52.240]  剛才那段經文提醒了我們一個很重要的原則
[00:02:52.240 --> 00:02:54.720]  就是有質素的商家
[00:02:54.720 --> 00:02:58.080]  我們才要回到耶穌基督裡面
[00:02:58.080 --> 00:03:01.360]  剛才那段經文是記載在《約翰福音》第十七章
[00:03:01.360 --> 00:03:06.280]  很多時候都會被稱為大祭司的祈禱
[00:03:06.280 --> 00:03:11.400]  其實是在耶穌臨升天的時候的一段很重要的禱告
[00:03:11.400 --> 00:03:12.920]  在這個禱告裡面
[00:03:12.920 --> 00:03:16.600]  耶穌不單止為了當時的門徒來祈禱
[00:03:16.600 --> 00:03:20.240]  也為了所有相信祂的人
[00:03:20.240 --> 00:03:23.080]  所有讀祂的話語的人
[00:03:23.080 --> 00:03:24.960]  來發出一個祈求
[00:03:24.960 --> 00:03:29.680]  也為了今天你和我來禱告
[00:03:29.680 --> 00:03:32.280]  當我們來到細閱這段禱文的時候
[00:03:32.280 --> 00:03:35.600]  我們會發現這個禱告有一個很核心的主題
[00:03:35.600 --> 00:03:39.520]  剛才不斷重複的字眼就是「合一」
[00:03:39.520 --> 00:03:40.440]  「合而為一」
[00:03:40.440 --> 00:03:43.680]  耶穌說要使他們都合而為一
[00:03:43.680 --> 00:03:45.960]  但是耶穌沒有停在這裡
[00:03:45.960 --> 00:03:48.520]  接下來祂再說一句話
[00:03:48.520 --> 00:03:51.440]  「正如父,你在我裡面」
[00:03:51.440 --> 00:03:56.560]  「我在你裡面,使他們也在我們裡面」
[00:03:56.560 --> 00:03:59.720]  其實這一句話是很重要的
[00:03:59.720 --> 00:04:06.680]  耶穌不是隨便用一個例子來形容教會的關係
[00:04:06.680 --> 00:04:10.640]  祂沒有說教會的關係就像朋友一樣
[00:04:10.640 --> 00:04:13.120]  也不是像同事一樣
[00:04:13.120 --> 00:04:16.720]  甚至也沒有說教會是一個社團
[00:04:16.720 --> 00:04:18.520]  或者是一個組織
[00:04:18.520 --> 00:04:22.480]  耶穌用什麼來形容教會的關係呢?
[00:04:22.480 --> 00:04:27.280]  就是透過三位一體神祂自己的關係
[00:04:27.280 --> 00:04:28.560]  父在子裡面
[00:04:28.560 --> 00:04:29.680]  子在父的裡面
[00:04:29.680 --> 00:04:37.600]  這是一種完全相屬、完全相愛、完全合一的關係
[00:04:37.600 --> 00:04:39.840]  神學家很多時候都會說
[00:04:39.840 --> 00:04:46.280]  三位一體的神本來就是一個愛的團契
[00:04:46.280 --> 00:04:48.720]  有父、子、聖靈
[00:04:48.720 --> 00:04:50.480]  在這三位一體裡面
[00:04:50.480 --> 00:04:52.520]  我們看到父、愛、子
[00:04:52.520 --> 00:04:54.360]  子又純復父
[00:04:54.360 --> 00:04:56.680]  聖靈又榮耀子
[00:04:56.680 --> 00:05:00.680]  三個位格之間不存在競爭的關係
[00:05:00.680 --> 00:05:02.920]  也沒有利益交換的關係
[00:05:02.920 --> 00:05:08.600]  而是一種彼此榮耀、彼此相愛的關係
