
[00:00:00.000 --> 00:00:04.200]  題目叫做Emotion No Problem
[00:00:04.200 --> 00:00:06.020]  我講得很清楚
[00:00:06.020 --> 00:00:08.780]  是Emotion But No Problem
[00:00:08.780 --> 00:00:10.180]  我想強調第一件事
[00:00:10.180 --> 00:00:12.440]  就是情緒本身不是一個問題
[00:00:12.440 --> 00:00:16.520]  情緒本身不是一個問題
[00:00:16.520 --> 00:00:21.380]  情緒是人與生俱來的本能
[00:00:21.380 --> 00:00:24.560]  或者我相信喜怒哀樂
[00:00:24.560 --> 00:00:26.560]  任何一個情緒
[00:00:26.560 --> 00:00:29.440]  都是上帝做人的時候給予人的
[00:00:29.440 --> 00:00:32.540]  如果你看聖經會發覺上帝也有情緒
[00:00:32.540 --> 00:00:34.540]  上帝有時候會生氣
[00:00:34.540 --> 00:00:36.080]  會悲哀
[00:00:36.080 --> 00:00:38.080]  祂會有快樂
[00:00:38.080 --> 00:00:40.080]  上帝會不會恐懼呢?
[00:00:40.080 --> 00:00:45.760]  我唯一想到上帝讓我感覺到祂恐懼
[00:00:45.760 --> 00:00:47.760]  我不知道這樣解釋對不對
[00:00:47.760 --> 00:00:49.600]  就是赫西瑪利元
[00:00:49.600 --> 00:00:52.240]  耶穌在當中除了悲傷
[00:00:52.240 --> 00:00:54.240]  其實祂是有恐懼的
[00:00:54.240 --> 00:00:56.520]  這是我自己想起
[00:00:56.520 --> 00:00:59.680]  上帝的憤怒我們經常看到
[00:00:59.680 --> 00:01:01.060]  悲傷經常看到
[00:01:01.060 --> 00:01:02.320]  愛經常看到
[00:01:02.320 --> 00:01:05.920]  但是恐懼好像不太察覺
[00:01:05.920 --> 00:01:07.420]  祂恐懼什麼呢?
[00:01:07.420 --> 00:01:08.960]  我們可能會想這件事
[00:01:08.960 --> 00:01:09.640]  但無論如何
[00:01:09.640 --> 00:01:11.040]  我想你第一件事明白
[00:01:11.040 --> 00:01:14.320]  情緒是上帝給我們的一份禮物
[00:01:14.320 --> 00:01:15.040]  第二
[00:01:15.040 --> 00:01:17.040]  情緒是正常的
[00:01:17.040 --> 00:01:19.040]  是自然的反應
[00:01:19.040 --> 00:01:21.380]  正如面對危機
[00:01:21.380 --> 00:01:23.040]  人是會自然害怕的
[00:01:23.040 --> 00:01:24.140]  如果你不懂得害怕
[00:01:24.140 --> 00:01:25.640]  你很快就死掉了
[00:01:25.640 --> 00:01:27.120]  就是因為我們害怕
[00:01:27.120 --> 00:01:28.800]  讓我們安全一點
[00:01:28.800 --> 00:01:31.440]  面對你失去一些很重要的東西
[00:01:31.440 --> 00:01:33.040]  人會覺得悲傷
[00:01:33.040 --> 00:01:36.440]  這些是一些自然的反應
[00:01:36.440 --> 00:01:38.440]  當我預備今天講道的時候
[00:01:38.440 --> 00:01:42.040]  我曾經想過其實情緒
[00:01:42.040 --> 00:01:44.640]  是不是一些反射作用呢?
[00:01:44.640 --> 00:01:45.840]  英文叫reflex
[00:01:45.840 --> 00:01:47.240]  你明白什麼叫reflex嗎?
[00:01:47.240 --> 00:01:49.240]  就是按摩你的膝蓋
[00:01:49.240 --> 00:01:51.840]  按摩膝蓋會彈起來的叫reflex
[00:01:51.840 --> 00:01:53.640]  我就上網找
[00:01:53.640 --> 00:01:57.040]  他說了原來情緒不是reflex
[00:01:57.040 --> 00:01:59.440]  兩個都是自然的反應
[00:01:59.440 --> 00:02:00.640]  分別是什麼?
[00:02:00.640 --> 00:02:04.440]  原來反射作用reflex
[00:02:04.440 --> 00:02:06.440]  是 bypass(超越)了腦部的
[00:02:06.440 --> 00:02:07.840]  就是逾越了腦部
[00:02:07.840 --> 00:02:09.240]  剛才那首歌是逾越了腦部
[00:02:09.240 --> 00:02:10.840]  是沒有經過腦部
[00:02:10.840 --> 00:02:14.840]  但是情緒是經過我們的腦部而有的反應
[00:02:14.840 --> 00:02:19.040]  既然講了這麼久說情緒是自然的反應
[00:02:19.040 --> 00:02:22.440]  為什麼我們今天或者我們接下來這三個星期
[00:02:22.440 --> 00:02:24.640]  要講情緒呢?
[00:02:24.640 --> 00:02:29.440]  情緒什麼時候會成為一個 emotional problem(情緒問題)呢?
[00:02:29.440 --> 00:02:32.840]  就是當情緒做了你的主人的時候
[00:02:32.840 --> 00:02:34.440]  它 hijack(褫奪)了你
[00:02:34.440 --> 00:02:36.240]  它騎劫了你整個人的生命
[00:02:36.240 --> 00:02:37.840]  你每一個的決定
[00:02:37.840 --> 00:02:41.240]  都是由你的情緒主導的時候
[00:02:41.240 --> 00:02:43.440]  你就有問題了
[00:02:43.440 --> 00:02:45.240]  正如這幅圖一樣
[00:02:45.240 --> 00:02:48.240]  我想大家都有印象看過這一套叫做
[00:02:48.240 --> 00:02:51.440]  《反轉老朋友 Inside Out》的戲
[00:02:51.440 --> 00:02:53.840]  你想想當它爆炸的時候
[00:02:53.840 --> 00:02:55.640]  其實另外那些都會害怕的
[00:02:55.640 --> 00:02:58.040]  如果情緒氾濫
[00:02:58.040 --> 00:03:02.640]  甚至情緒到了一個爆炸的情況之下
[00:03:02.640 --> 00:03:04.640]  其實不僅影響你
[00:03:04.640 --> 00:03:05.840]  影響你的睡眠
[00:03:05.840 --> 00:03:07.240]  影響你的生活
[00:03:07.240 --> 00:03:08.640]  影響你的健康
[00:03:08.640 --> 00:03:10.440]  也影響你身邊的人
[00:03:10.440 --> 00:03:14.840]  所以接下來這三堂我們要講的是情緒管理
[00:03:14.840 --> 00:03:16.440]  情緒是好的
[00:03:16.440 --> 00:03:18.240]  不過我們要管理
[00:03:18.240 --> 00:03:20.240]  我們要擁抱情緒
[00:03:20.240 --> 00:03:23.240]  同時不可以被情緒騎劫
[00:03:23.240 --> 00:03:26.440]  好,接著有一幅圖畫給你看看
[00:03:26.440 --> 00:03:29.840]  這幅圖畫有六個公仔
[00:03:29.840 --> 00:03:30.840]  有不同顏色
[00:03:30.840 --> 00:03:35.640]  原來在說人在不同的情緒之下
[00:03:35.640 --> 00:03:37.840]  身體不同的區域
[00:03:37.840 --> 00:03:41.040]  是會有體溫的變化的
[00:03:41.040 --> 00:03:43.840]  你看到中間藍色框住的那個 neutral(中立)
[00:03:43.840 --> 00:03:45.040]  就是一個 control(控制)
[00:03:45.040 --> 00:03:48.440]  就是暫時你當他是沒什麼情緒的人
[00:03:48.440 --> 00:03:50.440]  他全身大概是黑色
[00:03:50.440 --> 00:03:54.240]  就是中間沒什麼起伏的溫度
[00:03:54.240 --> 00:03:57.440]  如果那些地方你看到黃色
[00:03:57.440 --> 00:03:59.440]  就是代表橙黃色的那些
[00:03:59.440 --> 00:04:00.640]  代表他會熱的
[00:04:00.640 --> 00:04:01.640]  很生氣的
[00:04:01.640 --> 00:04:03.440]  如果你看到藍色
[00:04:03.440 --> 00:04:05.040]  甚至乎淺藍色
[00:04:05.040 --> 00:04:06.640]  好像冰藍色那些
[00:04:06.640 --> 00:04:08.440]  代表那些地方很冷的
[00:04:08.440 --> 00:04:10.440]  好,下面有五個情緒
[00:04:10.440 --> 00:04:12.040]  有 fear 就是恐懼
[00:04:12.040 --> 00:04:14.640]  depression 就是抑鬱
[00:04:14.640 --> 00:04:16.640]  有 anger 就是憤怒
[00:04:16.640 --> 00:04:18.640]  開心和悲傷
[00:04:18.640 --> 00:04:19.640]  這五個情緒
[00:04:19.640 --> 00:04:21.440]  我想你猜一下
[00:04:21.440 --> 00:04:24.640]  anger 是哪一個公仔呢?
[00:04:24.640 --> 00:04:30.640]  給你十秒
[00:04:30.640 --> 00:04:34.440]  你可以和你旁邊左右討論一下
[00:04:34.440 --> 00:04:36.240]  如果你家裡有人的時候
[00:04:36.240 --> 00:04:40.040]  開猜
[00:04:40.040 --> 00:04:45.240]  我不知道你猜不猜得中
[00:04:45.240 --> 00:04:46.840]  原來最熱的那個
[00:04:46.840 --> 00:04:48.440]  最左手邊那個
[00:04:48.440 --> 00:04:49.440]  最生氣的那個
[00:04:49.440 --> 00:04:50.840]  其實是 happiness
[00:04:50.840 --> 00:04:52.640]  當你很開心的時候
[00:04:52.640 --> 00:04:55.040]  原來你是全身在做 exercise(運動)的
[00:04:55.040 --> 00:04:57.240]  就是你的臉笑到紅了
[00:04:57.240 --> 00:04:58.440]  所以你看一下頭
[00:04:58.440 --> 00:05:01.040]  就是整個頭都是黃色的
[00:05:01.040 --> 00:05:01.840]  橙黃色
[00:05:01.840 --> 00:05:03.640]  就是代表他很生氣
[00:05:03.640 --> 00:05:06.240]  那你又看不看到 sadness(悲傷)在哪裡呢?
[00:05:06.240 --> 00:05:10.840]  sadness 是右手邊數過來第二個
[00:05:10.840 --> 00:05:13.240]  當他一個悲傷的時候
[00:05:13.240 --> 00:05:15.240]  可能他心裡在顫抖
[00:05:15.240 --> 00:05:16.440]  會滾
[00:05:16.440 --> 00:05:18.240]  但是手腳冰冷
[00:05:18.240 --> 00:05:20.840]  覺得好像沒有力氣
[00:05:20.840 --> 00:05:23.440]  而你看到最右手邊
[00:05:23.440 --> 00:05:25.040]  好像一個冰人的那個
[00:05:25.040 --> 00:05:26.840]  其實是 depression(抑鬱)
