
[00:00:00.000 --> 00:00:05.000]  那今天我們會聊一個也特別的題目 叫做「夠數靈」
[00:00:05.000 --> 00:00:12.000]  因為很多人覺得雖然我跟神是認識 可是我應該不可能成為一個門徒
[00:00:12.000 --> 00:00:17.000]  可是大家知道聖經其實沒有信徒這個觀念 聖經只有門徒的觀念
[00:00:17.000 --> 00:00:20.000]  所有被神呼召的都應該成為門徒
[00:00:20.000 --> 00:00:25.000]  那麼今天我們來看一段的聖經 來看看到底耶穌怎麼說
[00:00:25.000 --> 00:00:29.000]  祂是呼召什麼樣的人成為一個門徒
[00:00:29.000 --> 00:00:33.000]  那麼今天我們讀的聖經會在馬太福音的九章
[00:00:33.000 --> 00:00:37.000]  其實我們會一直從第一節讀到第十三節
[00:00:37.000 --> 00:00:40.000]  不過在還沒有看這段聖經的時候
[00:00:40.000 --> 00:00:44.000]  我想稍微對馬太福音有個簡單的介紹
[00:00:44.000 --> 00:00:47.000]  其實兩個禮拜前我跟大家分享過
[00:00:47.000 --> 00:00:50.000]  記得兩個禮拜前不是說約翰有個疑惑嗎?
[00:00:50.000 --> 00:00:56.000]  就是明明是他介紹基督出來的 他自己疑惑說你真的是那位嗎?
[00:00:56.000 --> 00:00:59.000]  那我想跟大家解釋一下馬太福音他的寫作
[00:00:59.000 --> 00:01:02.000]  馬太福音的寫作 因為馬太福音是寫給猶太人的
[00:01:02.000 --> 00:01:08.000]  所以他在寫作的時候 他的編排是特別按照當初
[00:01:08.000 --> 00:01:14.000]  特別是按照當初摩西帶領以色列人出埃及的歷史事件
[00:01:14.000 --> 00:01:17.000]  來跟主耶穌做一個對照
[00:01:17.000 --> 00:01:21.000]  比方說舉個例子 當年摩西帶領他們過紅海
[00:01:21.000 --> 00:01:25.000]  那在馬太福音第三章就寫到主耶穌基督的受禁
[00:01:25.000 --> 00:01:29.000]  他禁完了就等於當初的以色列人過紅海
[00:01:29.000 --> 00:01:33.000]  那耶穌基督他們過完紅海就去到曠野對不對
[00:01:33.000 --> 00:01:38.000]  那麼耶穌受禁完了也是去到曠野受試探
[00:01:38.000 --> 00:01:41.000]  這分別只是當初的人在試探當中失敗了
[00:01:41.000 --> 00:01:45.000]  主耶穌就代替他們成功抵擋了在曠野的試探
[00:01:45.000 --> 00:01:49.000]  40天受撒旦的試探 他成功了
[00:01:49.000 --> 00:01:54.000]  那結果到了第四章曠野過後 到了第五到第七章
[00:01:54.000 --> 00:01:56.000]  主耶穌就開始登山保訓
[00:01:56.000 --> 00:02:01.000]  就像說當時的以色列人在曠野完了之後就到那裡
[00:02:01.000 --> 00:02:06.000]  就去了希臘山 就開始神接著摩西搬石界搬他的教導
[00:02:06.000 --> 00:02:12.000]  所以登山保訓是特別主耶穌再一次重新講述神的律法
[00:02:12.000 --> 00:02:18.000]  告訴你神的律法 天國的子民的律法的精義到底在哪裡
[00:02:18.000 --> 00:02:19.000]  所以這很清楚了
[00:02:19.000 --> 00:02:23.000]  那麼到了第五到第七章登山保訓完了
[00:02:23.000 --> 00:02:26.000]  接下來到第八第九章呢
[00:02:26.000 --> 00:02:28.000]  你說大概會記載什麼
[00:02:28.000 --> 00:02:32.000]  對 他就是記載主耶穌的power miracle
[00:02:32.000 --> 00:02:34.000]  他的神蹟騎士
[00:02:34.000 --> 00:02:41.000]  這個神蹟騎士是特別對照摩西當初帶領以色列人出埃及之前
[00:02:41.000 --> 00:02:44.000]  神的能力在他身上 他就做了實齋對不對
[00:02:44.000 --> 00:02:47.000]  透過實齋法老才肯放人
[00:02:47.000 --> 00:02:51.000]  所以馬太在記載八到九章的時候
[00:02:51.000 --> 00:02:54.000]  記載主耶穌的神蹟騎士的時候
[00:02:54.000 --> 00:02:57.000]  特別列舉了九個神蹟騎士
[00:02:57.000 --> 00:03:01.000]  但是如果你對照你發現那個主題就很清楚
[00:03:01.000 --> 00:03:08.000]  比方說摩西的神蹟騎士都是毀滅性的
[00:03:08.000 --> 00:03:14.000]  就是每一個神蹟出來都會弄得人的生活變得很糟糕
[00:03:14.000 --> 00:03:17.000]  如果你回去看初埃及基督教
[00:03:17.000 --> 00:03:21.000]  他的說明是實齋嘛 所以每一個神蹟都是一個災難
[00:03:21.000 --> 00:03:25.000]  都是一個大災難 每一個神蹟都是毀滅性的destructive
[00:03:25.000 --> 00:03:28.000]  可是你看到主耶穌在八到九章裡面
[00:03:28.000 --> 00:03:33.000]  約翰記載他的十個神蹟都是constructive的
[00:03:33.000 --> 00:03:36.000]  都是有建設性的 都是一致的
[00:03:36.000 --> 00:03:38.000]  所以這是明顯兩個不同的
[00:03:38.000 --> 00:03:40.000]  所以為什麼約翰福音會說
[00:03:40.000 --> 00:03:45.000]  律法是藉著摩西來的 因為律法是帶有審判
[00:03:45.000 --> 00:03:48.000]  所以在摩西身上你看到神的能力降在他身上的時候
[00:03:48.000 --> 00:03:52.000]  他是試行審判的 審判來了就很恐怖 實齋
[00:03:52.000 --> 00:03:57.000]  但耶穌來是什麼 恩典跟真理是藉著他來的
[00:03:57.000 --> 00:03:59.000]  所以他跟摩西做個對照
[00:03:59.000 --> 00:04:04.000]  他們知道說 以前的人他們以為說將來末後要來的
[00:04:04.000 --> 00:04:10.000]  Messiah就像摩西這麼厲害 他是在試行審判的
[00:04:10.000 --> 00:04:15.000]  所以他的能力應該是把實哉降在當初的羅馬帝國的身上
[00:04:15.000 --> 00:04:17.000]  把他們毀了 我們就又自由了
[00:04:17.000 --> 00:04:18.000]  他以為是這樣
[00:04:18.000 --> 00:04:22.000]  所以為什麼當耶穌所做的這些神蹟其實他們一看
[00:04:22.000 --> 00:04:24.000]  怎麼確實是很有能力
[00:04:24.000 --> 00:04:26.000]  可是那個能力跟我想像不一樣
[00:04:26.000 --> 00:04:28.000]  我以為是什麼天崩地裂
[00:04:28.000 --> 00:04:32.000]  什麼突然間就是整個羅馬皇宮這樣裂開
[00:04:32.000 --> 00:04:35.000]  然後就把那個吸血什麼吞下去
[00:04:35.000 --> 00:04:36.000]  然後羅馬帝國就毀了
[00:04:36.000 --> 00:04:38.000]  他們期待是這種
[00:04:38.000 --> 00:04:43.000]  可是偏偏耶穌的神蹟其實全部都是醫治的
[00:04:43.000 --> 00:04:46.000]  是建立人的 是建設性的
[00:04:46.000 --> 00:04:48.000]  把糟糕的變好的
[00:04:48.000 --> 00:04:51.000]  他們期待是把好的變成毀滅性
[00:04:51.000 --> 00:04:54.000]  所以為什麼他們會有這種疑惑
[00:04:54.000 --> 00:04:56.000]  為什麼耶穌你真的是基督嗎
[00:04:56.000 --> 00:04:58.000]  你真的是那位要來的嗎
[00:04:58.000 --> 00:04:59.000]  就是這個意思
[00:04:59.000 --> 00:05:01.000]  那麼接下來你要問一個問題
[00:05:01.000 --> 00:05:03.000]  你要問一個問題就是
[00:05:03.000 --> 00:05:05.000]  因為我在讀經的時候有問這個問題
[00:05:05.000 --> 00:05:10.000]  如果馬太寫這段聖經是真的要對照耶穌跟摩西的話
[00:05:10.000 --> 00:05:12.000]  那應該就是
[00:05:12.000 --> 00:05:14.000]  有時候你讀經就像強迫症一樣
[00:05:14.000 --> 00:05:16.000]  應該是工整一點對不對
[00:05:16.000 --> 00:05:18.000]  就十齋對十個神蹟對不對
[00:05:18.000 --> 00:05:22.000]  為什麼會八到九章應該是對十齋的話
[00:05:22.000 --> 00:05:24.000]  寫民主耶穌基督有神的能力
[00:05:24.000 --> 00:05:26.000]  應該是十
[00:05:26.000 --> 00:05:28.000]  應該是記載十個神蹟其實
[00:05:28.000 --> 00:05:30.000]  為什麼只有九個
[00:05:30.000 --> 00:05:31.000]  為什麼差一個
[00:05:31.000 --> 00:05:33.000]  有時候就很八的
[00:05:33.000 --> 00:05:35.000]  讀經的時候你就要問神
[00:05:35.000 --> 00:05:38.000]  為什麼差了一個
[00:05:38.000 --> 00:05:41.000]  差了一個有點不對路
[00:05:41.000 --> 00:05:43.000]  那有一天我讀經的時候
[00:05:43.000 --> 00:05:45.000]  我讀經我也讀不懂
[00:05:45.000 --> 00:05:47.000]  所以我就翻了所有的Commentary
[00:05:47.000 --> 00:05:48.000]  釋經書
[00:05:48.000 --> 00:05:49.000]  釋經書也沒說
[00:05:49.000 --> 00:05:50.000]  他們就跳過
[00:05:50.000 --> 00:05:52.000]  跳過我就很不死心
[00:05:52.000 --> 00:05:53.000]  我就問神
