
[00:00:00.000 --> 00:00:04.320]  讓我們再一次的祈禱
[00:00:04.320 --> 00:00:06.880]  上天造地的神
[00:00:06.880 --> 00:00:11.120]  今天晚上我們再一次來到祢的面前禱求
[00:00:11.120 --> 00:00:16.200]  求正令將我們的心之意念帶回到神的面前
[00:00:16.200 --> 00:00:18.400]  不要讓過去一個禮拜
[00:00:18.400 --> 00:00:20.920]  無論我們在人際生活
[00:00:20.920 --> 00:00:25.120]  或在我們生活的事情上打擾我們
[00:00:25.120 --> 00:00:29.400]  讓我們在這一刻間能夠靜心細聽神的話
[00:00:29.400 --> 00:00:32.160]  點點滴滴的進入我們的心坎
[00:00:32.160 --> 00:00:34.400]  願以神的話引導我們
[00:00:34.400 --> 00:00:37.200]  能夠看到耶穌基督在世界上
[00:00:37.200 --> 00:00:39.680]  來到這個世界的真實意義
[00:00:39.680 --> 00:00:42.240]  以及對我們的幫助
[00:00:42.240 --> 00:00:44.000]  尤其是當在十二月
[00:00:44.000 --> 00:00:46.920]  紀念救主降臨的日子
[00:00:46.920 --> 00:00:51.360]  幫助我們活出門徒應該有的生命樣式
[00:00:51.360 --> 00:00:52.920]  我們這樣的祈禱
[00:00:52.920 --> 00:00:56.120]  是奉群陽大牧者耶穌基督的名求
[00:00:56.120 --> 00:00:56.960]  阿們
[00:00:59.080 --> 00:01:00.600]  你準備好了嗎?
[00:01:00.600 --> 00:01:04.360]  或者講題叫「你預備好了嗎?」
[00:01:04.360 --> 00:01:08.240]  我相信大家都會很明白
[00:01:08.240 --> 00:01:09.800]  過聖誕不知道對你來說
[00:01:09.800 --> 00:01:15.800]  今天會不會有一種淡而無味的感受
[00:01:15.800 --> 00:01:17.600]  但是我想如常的
[00:01:17.600 --> 00:01:20.320]  我們在海旁仍然會看到
[00:01:20.320 --> 00:01:22.520]  從十一月開始
[00:01:22.520 --> 00:01:24.000]  燈飾就來了
[00:01:24.000 --> 00:01:26.840]  有你沒你都排著來了
[00:01:26.840 --> 00:01:29.200]  所以我記得很早年
[00:01:29.200 --> 00:01:34.680]  我還會帶著太太和兒子去看燈飾
[00:01:34.680 --> 00:01:36.800]  趁著十一月沒有那麼多人
[00:01:36.800 --> 00:01:39.640]  但是近幾年好像越來越少
[00:01:39.640 --> 00:01:42.760]  好像覺得來來去去都是那些東西
[00:01:42.760 --> 00:01:45.000]  沒錯,這些燈飾為繁忙的生活
[00:01:45.000 --> 00:01:47.520]  增添了一些節日氣氛
[00:01:47.520 --> 00:01:49.320]  又或者我們會知道
[00:01:49.320 --> 00:01:52.200]  在這個季節裡面或者十月裡面
[00:01:52.200 --> 00:01:55.880]  我們會看到很多聖誕禮品推陳出新
[00:01:55.880 --> 00:01:59.320]  在網購又或者在商店裡面
[00:01:59.320 --> 00:02:02.960]  你都會看到很多促銷、減價
[00:02:02.960 --> 00:02:05.160]  又或者你會看到這段日子
[00:02:05.160 --> 00:02:09.160]  你正在相約弟兄姊妹或者朋友家人
[00:02:09.160 --> 00:02:13.080]  去吃個聖誕大餐
[00:02:13.080 --> 00:02:15.960]  我一揭開現在越來越貴
[00:02:15.960 --> 00:02:19.120]  四百多、五百多、六百多都有
[00:02:19.120 --> 00:02:20.800]  所以你會發覺
[00:02:20.800 --> 00:02:24.520]  大家都會進入一個節日的氣氛裡面
[00:02:24.520 --> 00:02:28.320]  無論購物的消費熱潮
[00:02:28.320 --> 00:02:31.400]  又或者可能你正在盤算
[00:02:31.400 --> 00:02:34.280]  我已經預約了某個旅行團
[00:02:34.280 --> 00:02:38.160]  甚至乎要在那幾天假期出發
[00:02:38.160 --> 00:02:40.960]  等等其實都為了幫助我們
[00:02:40.960 --> 00:02:45.520]  能夠過一個比較不滿意和開心的
[00:02:45.520 --> 00:02:48.520]  你知道一年到晚那麼多壓力
[00:02:48.520 --> 00:02:49.920]  那麼多事情
[00:02:49.920 --> 00:02:52.280]  難得有幾天的假期
[00:02:52.280 --> 00:02:54.560]  多大就多大
[00:02:54.560 --> 00:02:56.720]  是不是這樣過聖誕呢?
[00:02:56.720 --> 00:02:58.120]  對於某些弟兄姊妹來說
[00:02:58.120 --> 00:02:59.080]  他說不會的
[00:02:59.080 --> 00:03:01.920]  我們一定會參與很多
[00:03:01.920 --> 00:03:03.640]  這個十月份裡面
[00:03:03.640 --> 00:03:06.080]  無論去報佳音、去醫院
[00:03:06.080 --> 00:03:08.000]  或者有報道會
[00:03:08.000 --> 00:03:11.440]  很多很多的事情
[00:03:11.440 --> 00:03:14.240]  今日經文提醒我們
[00:03:14.240 --> 00:03:18.680]  應該怎樣預備去過聖誕
[00:03:18.680 --> 00:03:22.360]  在教會年曆裡面總共有六個節期
[00:03:22.360 --> 00:03:25.280]  而其中降臨節
[00:03:25.280 --> 00:03:29.240]  或者叫做禦陽節
[00:03:29.240 --> 00:03:31.520]  都讓我們看到
[00:03:31.520 --> 00:03:37.360]  將臨節是代表了紀念耶穌基督的降生
[00:03:37.360 --> 00:03:39.480]  原來我們要準備的
[00:03:39.480 --> 00:03:40.680]  他更加告訴我們
[00:03:40.680 --> 00:03:43.360]  這個將臨節是投射到
[00:03:43.360 --> 00:03:47.280]  讓我們看到我們要警醒等候的
[00:03:47.280 --> 00:03:49.840]  因為耶穌第一次回來
[00:03:49.840 --> 00:03:52.440]  第一次來是在馬祖
[00:03:52.440 --> 00:03:56.680]  第二次來他是駕著雲彩回來的
[00:03:56.680 --> 00:04:00.040]  所以我們就要來警醒
[00:04:00.040 --> 00:04:01.960]  在一些教會裡面
[00:04:01.960 --> 00:04:07.080]  他們用了十一月三十號最近的主日
[00:04:07.080 --> 00:04:10.360]  成為了將臨節的開始
[00:04:10.360 --> 00:04:12.840]  所以今年如果按這樣說
[00:04:12.840 --> 00:04:14.680]  上個禮拜日
