
[00:00:00.000 --> 00:00:29.000]  如果大家還記得,上次我們談到尼西米是一個有附招的人生,尼西米的特點的地方就是
[00:00:29.000 --> 00:00:42.000]  我們都是比較親切,因爲他不是牧師,他也不是傳道人,他也不是什麼宣教士,這意義就是說他不是那種全時間服侍神的人
[00:00:42.000 --> 00:00:58.000]  那些人我們相信當然是神撫教他們,所以他們特別有神特別的保守看顧使用的人,尼西米就是跟你跟我一樣,他都是個專業人士
[00:00:58.000 --> 00:01:16.000]  我們還記得嗎,尼西米他是一個工程師,他要重建耶路撒冷的城牆,尼西米也是一個官,所以他安排不同的人手幹不同的事情,基本上他是個地方官,他也是一個工程師
[00:01:16.000 --> 00:01:27.000]  所以他是個專業的人士,就跟你跟我一樣,工作好像跟教會,跟宗教的信仰沒有特別集結的一種關係
[00:01:27.000 --> 00:01:41.000]  但是我們看到,在尼西米的生命當中,他同樣的,神的手,神的恩典,神的同在,同樣在他的生命當中,一樣的出現
[00:01:41.000 --> 00:01:59.000]  我們的意思就是說,只要你行在神對你的撫教,神希望你在你人生當中要幹什麼,你就去幹的話,神看你跟所有的人信徒一樣的專貴,一樣的謀殺的恩典
[00:01:59.000 --> 00:02:12.000]  所以大家不要說,不是傳召人,所以我跟其他傳召人牧師是差一段的,不是的,在神的眼中同樣的專貴,同樣的按照他的意思生活
[00:02:12.000 --> 00:02:24.000]  這個是尼西米,所以上一次我們說尼西米的人生就是這樣開始,他過了很有意義的人生,有意義的人生,有撫教的人生的最大的特色在哪裏
[00:02:24.000 --> 00:02:36.000]  他知道他自己要幹什麼,當一個人知道自己在神面前,神要求他幹什麼的時候,他去做肯定有困難,但是困難沒辦法把他打倒
[00:02:36.000 --> 00:02:45.000]  因爲他知道要幹什麼,他有個方向,他不是美國一天一天的,大家還記得我們說了,他不是個應付式的人生
[00:02:45.000 --> 00:02:57.000]  不是周圍發生什麼事情,什麼困難他就去應付,應付完了一個又應付另外一個,不是的,尼西米的人生就是說他要面對的時候,他要見耶路撒冷的神場
[00:02:57.000 --> 00:03:12.000]  他這個工作看起來好像很工程,但是對他來說,能夠爲同胞找一個安樂的地方,可以安安全全的,可以好好的生活,是非常高貴,也是同樣神聖的工作
[00:03:12.000 --> 00:03:22.000]  所以尼西米就知道這樣的工作,就一直向着這個困難,要繼續走下去,這個是我們上一次我們看到他的人生的開始點
[00:03:22.000 --> 00:03:32.000]  現在我們再跳到第六章,第六章就是他面對他的工程,就是重建耶路撒冷的城牆快要完成的時候
[00:03:32.000 --> 00:03:42.000]  就是最後了,成功已經在望的時候,那個時候面對的困難跟斗爭是最難的
[00:03:42.000 --> 00:03:50.000]  我們今天就看看尼西米怎樣面對這樣大的困難,四面受敵
[00:03:50.000 --> 00:04:05.000]  等一下我們就,因爲剛纔我們唸了聖經,可能大家還沒有特別留意到裏面的意思,等一下我跟大家慢慢談,裏面就看到尼西米麪對一個種的攻擊,敵人對他的種的攻擊
[00:04:05.000 --> 00:04:12.000]  我們說爲什麼要攻擊他,因爲當時候已經有外族的人已經住在耶路撒冷的地方
[00:04:12.000 --> 00:04:27.000]  那麼猶太人重新回到耶路撒冷的時候,當然已經本來住在那裏,已經幾百年的人,當然已經不能夠接受他們重新再住在那裏
[00:04:27.000 --> 00:04:32.000]  所以對他很多的攻擊,要他們重建城牆對他們威脅特別大
[00:04:32.000 --> 00:04:40.000]  你重建了城牆就表示他們可以保護自己了,不能夠任意給你來攻擊,來搶奪他們的東西
[00:04:40.000 --> 00:04:49.000]  所以外族的人對他們的重建城牆特別不安心,特別要攻擊,特別要破壞
[00:04:49.000 --> 00:04:54.000]  現在我們看到這個破壞的力量已經到達一個最高峯
[00:04:54.000 --> 00:05:10.000]  那麼爲什麼我們今天要特別留意研究尼西米呢?因爲我們在這個時機裏面,尼西米的反應特別值得我們留意跟研究跟學習
[00:05:10.000 --> 00:05:15.000]  尼西米是一個相信神的人,有信仰的人
[00:05:15.000 --> 00:05:23.000]  我們發覺甚至我們基督徒有信仰的人,有時候我們就跑了兩個極端,都是不太合一的極端
[00:05:23.000 --> 00:05:32.000]  因爲第一個極端就是有些基督徒說我相信神了,所以我就坐在那裏等了,等上帝來救我
[00:05:32.000 --> 00:05:42.000]  所以我就寧願坐以待斃,我不怕死,但是上帝不一定要你死啊,要你去幹啊
[00:05:42.000 --> 00:05:49.000]  這個是第一種很消極的,因爲他有信心,但是他很消極,尼西米就是這種人
[00:05:49.000 --> 00:05:55.000]  另外一種極端當然就是好像沒有信仰的人一樣,人家怎麼對我我就怎麼應付
[00:05:55.000 --> 00:06:06.000]  甚至反擊,把他打垮,用人的方法來對付來面對,這個也不是應該一個有信仰的人應該是這樣的做法
[00:06:06.000 --> 00:06:12.000]  所以我們看尼西米今天,我們來研究他,我們看看他怎樣去面對這樣的
[00:06:12.000 --> 00:06:21.000]  我們剛纔說的是當成功已經在望的時候,因爲到了第六江那個城牆,慢慢慢慢快要幹完了
[00:06:21.000 --> 00:06:29.000]  做完了,成功了,但是那個時候才面對最大的敵人的種的攻擊
[00:06:29.000 --> 00:06:34.000]  爲什麼?事實上我們人生總是這樣的嘛
[00:06:34.000 --> 00:06:44.000]  爲什麼我們總是有時候我們覺得我們就是成功已經在望的時候,反而是最危險的時候,敵人最重攻擊的時候呢
[00:06:44.000 --> 00:06:52.000]  這個理由很簡單,因爲反對你的人,不喜歡你的人,攻擊你的人,要破壞你的人
[00:06:52.000 --> 00:06:58.000]  當你開始的時候,他當然來破壞,但是發覺你也不能夠那麼容易打垮了
[00:06:58.000 --> 00:07:06.000]  可能他的興趣就移到其他的地方,他也看你做不成什麼東西
[00:07:06.000 --> 00:07:14.000]  看你的樣子,讓你幹下去吧,反正我不用花時間,花什麼時間,你等一下做一半你就做不成了
[00:07:14.000 --> 00:07:23.000]  但事實上好像尼西米,敵人看到尼西米真的幹起來,那個城牆本來爛得不得了,破爛得不得了的
[00:07:23.000 --> 00:07:29.000]  現在一步一步的真的建起來了,慢慢成功了
[00:07:29.000 --> 00:07:37.000]  當他快要成功的時候,敵人覺得不行了,如果再不攻擊的話,再不攻擊的話呢,沒機會了
[00:07:37.000 --> 00:07:44.000]  所以那個時候更加是最瘋狂的最後的一擊,把他打垮
[00:07:44.000 --> 00:07:51.000]  所以大家也知道我們人生總是這樣的,你以爲已經成功在望的時候,是最危險的時候
[00:07:51.000 --> 00:07:56.000]  你明白意思嗎?因爲你的敵人一定要對付你的
[00:07:56.000 --> 00:08:05.000]  如果屬靈的意義來說,撒旦更加,你以爲自己是最安全的時候,就是你最放鬆的時候
[00:08:05.000 --> 00:08:15.000]  現在兒女大了,工作也差不多了,現在生活已經經過了很多的困難,現在可以平平順順放鬆一下,享受一下了
[00:08:15.000 --> 00:08:25.000]  孩子也去外面唸書了,沒事了,當你以爲沒事的時候,敵人就是撒旦魔鬼攻擊你最厲害的時候,你小心
[00:08:25.000 --> 00:08:31.000]  從來都是這樣的,敵人不放過你,你可以放鬆,但是敵人不放鬆
[00:08:31.000 --> 00:08:35.000]  那尼西米所面對的都是同樣的情況
[00:08:35.000 --> 00:08:43.000]  當大家見到城牆一個一個建起來了,本來爛得不得了,現在一個一個越來越好看了
[00:08:43.000 --> 00:08:48.000]  快要完成的時候,就是敵人去總攻擊的時候
[00:08:48.000 --> 00:08:58.000]  那麼敵人是怎麼做總攻擊呢?剛纔我們所看的聖經,如果大家有機會再看剛纔我們所念的一節到十九節
[00:08:58.000 --> 00:09:06.000]  就是尼西米記內那段聖經的時候,我跟大家做一個簡單的分析一下
[00:09:06.000 --> 00:09:16.000]  你看到那裏也出現了一些我們上一次講過的那些一開始就要破壞的那些外族的一些領袖
[00:09:16.000 --> 00:09:22.000]  包括了什麼聖巴拉,多比亞,季善這些人
[00:09:22.000 --> 00:09:38.000]  人民一直出現的,因爲那些代表了阿門人,阿拉巴人,那些人不喜歡猶太人尤其是尼西米所領導的羣衆來重建耶路撒冷號
[00:09:38.000 --> 00:09:42.000]  那些人現在發動什麼樣的攻擊呢?
[00:09:42.000 --> 00:09:47.000]  我們說如果從剛纔我們所念的那段聖經裏面我們就看到了
