
[00:00:00.000 --> 00:00:04.000]  有什麼比AI會更強更勁呢?
[00:00:04.000 --> 00:00:05.400]  一聽這個題目
[00:00:05.400 --> 00:00:07.200]  你可能心裏就會想
[00:00:07.200 --> 00:00:10.200]  還有什麼東西會比AI更勁呢?
[00:00:10.200 --> 00:00:12.000]  在這個世代裏面
[00:00:12.000 --> 00:00:15.400]  近年來我們都知道手機由AI
[00:00:15.400 --> 00:00:19.400]  連WhatsApp都可以用AI幫你回覆
[00:00:19.400 --> 00:00:21.400]  甚至它可以幫你寫Email
[00:00:21.400 --> 00:00:22.600]  寫CV
[00:00:22.600 --> 00:00:23.800]  找食譜
[00:00:23.800 --> 00:00:25.400]  寫教材
[00:00:25.400 --> 00:00:26.800]  你要它做什麼
[00:00:26.800 --> 00:00:30.400]  基本上都可以為你做到什麼
[00:00:30.400 --> 00:00:33.000]  甚至講章都可以幫你寫
[00:00:33.000 --> 00:00:36.200]  你不要問我有沒有找AI
[00:00:36.200 --> 00:00:39.400]  聽說博士論文
[00:00:39.400 --> 00:00:43.600]  幾秒鐘之內就可以幫你拿拿聲搞出來
[00:00:43.600 --> 00:00:46.400]  AI畫畫又快又靚
[00:00:46.400 --> 00:00:48.600]  下棋還可以贏世界冠軍
[00:00:48.600 --> 00:00:50.000]  又會作曲
[00:00:50.000 --> 00:00:51.600]  連唱歌都行
[00:00:51.600 --> 00:00:55.200]  大家有沒有聽過蘊光的時候
[00:00:55.200 --> 00:00:58.600]  連甚至Beyond死了的歌手
[00:00:58.600 --> 00:01:01.800]  你都會發現AI可以幫他唱歌
[00:01:01.800 --> 00:01:03.800]  死了的人都可以翻生他的聲音
[00:01:03.800 --> 00:01:05.200]  唱另一些歌
[00:01:05.200 --> 00:01:07.200]  你說AI真的什麼都懂
[00:01:07.200 --> 00:01:10.400]  什麼都做得到
[00:01:10.400 --> 00:01:13.200]  AI會不會超越人類的智慧呢?
[00:01:13.200 --> 00:01:18.000]  聽起來AI已經在地球上是最勁最聰明
[00:01:18.000 --> 00:01:21.200]  基本上可以說是沒有人
[00:01:21.200 --> 00:01:26.200]  你手機裏面是不會裝AI的
[00:01:26.200 --> 00:01:29.800]  我的手機就有四個這東西
[00:01:29.800 --> 00:01:30.400]  有四款
[00:01:30.400 --> 00:01:32.200]  我聽聞
[00:01:32.200 --> 00:01:35.400]  有些人做功課就用幾個不同的東西
[00:01:35.400 --> 00:01:37.000]  做完這個又做那個
[00:01:37.000 --> 00:01:38.200]  然後又做這個
[00:01:38.200 --> 00:01:39.600]  幾個加起來之後
[00:01:39.600 --> 00:01:42.200]  又走到一堆做一個總結
[00:01:42.200 --> 00:01:43.800]  所以你會發現
[00:01:43.800 --> 00:01:48.200]  AI真的在這個時代是不少得的東西
[00:01:48.200 --> 00:01:51.800]  但是AI真的這麼厲害嗎?
[00:01:51.800 --> 00:01:53.800]  是不是什麼都做得到呢?
[00:01:53.800 --> 00:01:54.400]  沒錯
[00:01:54.400 --> 00:01:56.800]  AI在知識上的範圍
[00:01:56.800 --> 00:01:59.200]  他真的很廣博的知識
[00:01:59.200 --> 00:02:03.200]  但是他知不知道什麼是真正的智慧呢?
[00:02:03.200 --> 00:02:06.000]  AI可以學習到演算法
[00:02:06.000 --> 00:02:07.200]  但是他學不學到
[00:02:07.200 --> 00:02:10.200]  或者他理不理會到什麼是敬畏呢?
[00:02:10.200 --> 00:02:13.200]  AI可以回答你很多無數的問題
[00:02:13.200 --> 00:02:15.800]  但是他不能夠自己問一個問題
[00:02:15.800 --> 00:02:19.400]  就是神啊,你可不可以叫我認識你更多呢?
[00:02:19.400 --> 00:02:22.200]  AI可以甚至預測股市的走勢
[00:02:22.200 --> 00:02:26.600]  但是他預測不到人的心的走勢
[00:02:26.600 --> 00:02:30.200]  AI甚至可以說幾百萬種的語言都可以
[00:02:30.200 --> 00:02:32.600]  但是他自己是永遠都不會說一句
[00:02:32.600 --> 00:02:35.400]  主啊,我敬畏你
[00:02:35.400 --> 00:02:37.800]  AI沒有靈魂
[00:02:37.800 --> 00:02:39.600]  他也不懂得感恩
[00:02:39.600 --> 00:02:42.000]  或者他也不懂得謙虛也說不定
[00:02:42.000 --> 00:02:46.200]  大家有沒有試過用AI祈禱啊?
[00:02:46.200 --> 00:02:48.000]  我以前的時代
[00:02:48.000 --> 00:02:50.000]  十幾二十年前
[00:02:50.000 --> 00:02:53.400]  美國有些機構有一些熱線電話的
[00:02:53.400 --> 00:02:55.200]  是給你來為
[00:02:55.200 --> 00:02:57.200]  有些事情無論你是病
[00:02:57.200 --> 00:02:58.200]  有些特別的需要
[00:02:58.200 --> 00:02:59.600]  他可以為你祈禱的
[00:02:59.600 --> 00:03:01.200]  你只要打個電話熱線
[00:03:01.200 --> 00:03:03.200]  然後一號按一下
[00:03:03.200 --> 00:03:04.200]  按一就是英文
[00:03:04.200 --> 00:03:05.200]  按二是廣東話
[00:03:05.200 --> 00:03:06.400]  三是泰文
[00:03:06.400 --> 00:03:07.200]  四是日文
[00:03:07.200 --> 00:03:08.600]  之類的
[00:03:08.600 --> 00:03:10.000]  進去之後可能問你
[00:03:10.000 --> 00:03:11.200]  A是感情問題
[00:03:11.200 --> 00:03:12.600]  二是一個感情的問題
[00:03:12.600 --> 00:03:14.000]  二就是經濟問題
[00:03:14.000 --> 00:03:15.200]  三有什麼什麼問題
[00:03:15.200 --> 00:03:17.800]  然後最後他可能祈個靚土幫你
[00:03:17.800 --> 00:03:20.200]  你只需要說阿門
[00:03:20.200 --> 00:03:22.200]  這樣就可以了
[00:03:22.200 --> 00:03:23.400]  我們今時今日的祈禱
[00:03:23.400 --> 00:03:25.200]  可能再不需要這樣了
[00:03:25.200 --> 00:03:27.400]  可能你今時今日的祈禱會裡面
[00:03:27.400 --> 00:03:28.600]  可能需要一些什麼
