
[00:00:00.000 --> 00:00:04.640]  美國哥倫迪大學的東亞研究所
[00:00:04.640 --> 00:00:08.060]  是世界知名的研究漢學
[00:00:08.060 --> 00:00:11.200]  和當代中國文學的中心
[00:00:11.200 --> 00:00:14.580]  無數的知名學者都在那裡讀過書
[00:00:14.580 --> 00:00:16.940]  這個研究所的前身
[00:00:16.940 --> 00:00:20.780]  就叫做「丁龍漢學講座」
[00:00:20.780 --> 00:00:23.160]  那麼這個丁龍是一個什麼人呢?
[00:00:23.160 --> 00:00:24.320]  可能大家在想
[00:00:24.320 --> 00:00:25.740]  當然是大有錢人了
[00:00:25.740 --> 00:00:27.700]  捐了很多錢給大學
[00:00:27.700 --> 00:00:33.180]  又或者是大學文家對學術和社會很有貢獻的
[00:00:33.180 --> 00:00:34.600]  但是全部都不是
[00:00:34.600 --> 00:00:37.600]  丁龍其實是一個不識字的人
[00:00:37.600 --> 00:00:38.800]  那就奇怪了
[00:00:38.800 --> 00:00:40.920]  一個不識字的人
[00:00:40.920 --> 00:00:45.920]  竟然是世界著名大學的漢學系的創辦人?
[00:00:45.920 --> 00:00:47.480]  為什麼會這樣呢?
[00:00:47.480 --> 00:00:50.160]  原來在十九世紀末期
[00:00:50.160 --> 00:00:53.880]  丁龍就是其中一個被大家聽過賣豬仔
[00:00:53.880 --> 00:00:59.560]  是中國那裡被賣豬仔去到美國做苦工的中國人之一
[00:00:59.560 --> 00:01:04.540]  後來丁龍輾轉去到當時一個很出名的大亨
[00:01:04.540 --> 00:01:09.620]  卡本蒂埃的家裡做工人
[00:01:09.620 --> 00:01:13.060]  卡本蒂埃是一個非常脾氣暴躁的人
[00:01:13.060 --> 00:01:17.500]  所以經常很多僕人都被他罵
[00:01:17.500 --> 00:01:19.920]  有一次卡本蒂埃喝醉酒
[00:01:19.920 --> 00:01:21.840]  太發脾氣
[00:01:21.840 --> 00:01:25.160]  罵了所有工人罰了所有的僕人
[00:01:25.160 --> 00:01:28.100]  把他們全部趕出門口
[00:01:28.100 --> 00:01:31.160]  第二天早上卡本蒂埃就醒了
[00:01:31.160 --> 00:01:35.680]  他發現之前那幫工人受了他這麼久的脾氣
[00:01:35.680 --> 00:01:36.960]  早已經對他不滿
[00:01:36.960 --> 00:01:39.520]  這一刻就全部走了
[00:01:39.520 --> 00:01:42.320]  一個人他又沒有結婚
[00:01:42.320 --> 00:01:43.420]  一個人面對這麼大
[00:01:43.420 --> 00:01:45.280]  有錢人這麼大的房子
[00:01:45.280 --> 00:01:46.560]  孤零零的
[00:01:46.560 --> 00:01:49.580]  他一時間覺得自己很淒涼
