
[00:00:00.000 --> 00:00:05.000]  今天的主題其實是聖誕 聖誕節
[00:00:05.000 --> 00:00:10.000]  很多朋友約你回來 我也約了一些親友回來
[00:00:10.000 --> 00:00:17.000]  今天呢 剛才你聽郭先生說他人生二十歲 二十一歲
[00:00:17.000 --> 00:00:22.000]  就開始部署 要偷渡
[00:00:22.000 --> 00:00:26.000]  什麼叫蓋倉呢 我也不明白 是不是蓋著那塊
[00:00:27.000 --> 00:00:30.000]  那個甲板就蓋在下面
[00:00:30.000 --> 00:00:36.000]  就是躲在倉底 躲在倉底 我以為那些股票蓋了倉
[00:00:36.000 --> 00:00:44.000]  我很有興趣知道更多 但是我也想回應
[00:00:44.000 --> 00:00:47.000]  其實我不知道你人生有什麼交叉點
[00:00:47.000 --> 00:00:53.000]  我人生也有幾個交叉點 或者我稱為轉捩點
[00:00:54.000 --> 00:00:57.000]  簡單來說 我人生有三件大事
[00:00:57.000 --> 00:01:01.000]  不算結婚 結婚也是人生的一個大事
[00:01:01.000 --> 00:01:04.000]  但是人生主要有三件大事 第一就是
[00:01:04.000 --> 00:01:09.000]  我十五歲的時候被機器夾到右手 失去了四隻手指
[00:01:09.000 --> 00:01:12.000]  很可惜的就是 因為我勤力
[00:01:12.000 --> 00:01:20.000]  早兩天師傅就調我去操作一部用不到安全罩的啤酒機
[00:01:21.000 --> 00:01:24.000]  你知道啤酒機嗎 很厲害的 啪啪聲的
[00:01:24.000 --> 00:01:29.000]  因為勤力就調了我 做了兩天半
[00:01:29.000 --> 00:01:33.000]  就調了我去操作一個用不到安全罩的很複雜的機器
[00:01:33.000 --> 00:01:37.000]  我只有十五歲 我也不知道原來很危險的
[00:01:37.000 --> 00:01:39.000]  做了第四天我就受傷了
[00:01:39.000 --> 00:01:41.000]  這個就是人生第一件大事
[00:01:41.000 --> 00:01:44.000]  對我和我父母都是很大打擊
[00:01:44.000 --> 00:01:48.000]  父母沒有想過 突然收到電話
[00:01:49.000 --> 00:01:56.000]  說自己受傷 他們趕來工廠大廈
[00:01:56.000 --> 00:02:00.000]  我就包了一條毛巾下去 等十字車來
[00:02:00.000 --> 00:02:04.000]  聽到我媽媽哭了 我爸爸就去醫院跟醫生說
[00:02:04.000 --> 00:02:07.000]  希望做手術剩下多少就多少
[00:02:07.000 --> 00:02:10.000]  到日後醒來只剩下一隻手指尾是完整的
[00:02:10.000 --> 00:02:17.000]  人生就是 第一個就是失去右手 四隻手指
[00:02:18.000 --> 00:02:22.000]  勞工署計算我的傷亡率是百分之三十八
[00:02:22.000 --> 00:02:25.000]  就是我只剩下百分之六十二
[00:02:25.000 --> 00:02:31.000]  我就想 不知道怎麼計算的 三十八
[00:02:31.000 --> 00:02:35.000]  我看勞工署那些是逐字計算的
[00:02:35.000 --> 00:02:41.000]  我父母很內疚 我自己又很迷茫
[00:02:41.000 --> 00:02:44.000]  人生第二件大事就是我中學五年級的時候
[00:02:45.000 --> 00:02:49.000]  就去信耶穌 其實我的人生都不同了
[00:02:49.000 --> 00:02:52.000]  我發覺人生沒有什麼值得我把握的
[00:02:52.000 --> 00:02:56.000]  最值得我把握的是身邊那些愛的關係
[00:02:56.000 --> 00:02:59.000]  那些人與人的那份真誠的愛
[00:02:59.000 --> 00:03:02.000]  以前對基督教信仰 我只有一個感覺
[00:03:02.000 --> 00:03:05.000]  挺中聽 但就發覺不太實際
[00:03:05.000 --> 00:03:07.000]  因為我七歲就做小販
[00:03:07.000 --> 00:03:10.000]  不是 我媽媽做小販 我做小販助理
[00:03:11.000 --> 00:03:16.000]  自小就發覺這個世界都是這樣 自己搞定自己
[00:03:16.000 --> 00:03:21.000]  但我發覺原來有些人很無私地去關心人
[00:03:21.000 --> 00:03:24.000]  我很欣賞這些朋友很真誠 很有愛
[00:03:24.000 --> 00:03:29.000]  後來我發覺原來他們所信的信仰叫基督教
[00:03:29.000 --> 00:03:33.000]  他信神就是愛 我覺得挺好的
[00:03:33.000 --> 00:03:35.000]  我信耶穌就是我人生第二件大事
[00:03:35.000 --> 00:03:37.000]  但我人生第三件大事
[00:03:37.000 --> 00:03:40.000]  就是我後來發現有遺傳病
[00:03:41.000 --> 00:03:44.000]  最近我以前的主診醫生就出名了
[00:03:44.000 --> 00:03:46.000]  全世界都認識他
[00:03:46.000 --> 00:03:49.000]  就是在美國被拘留的何志平
[00:03:49.000 --> 00:03:54.000]  聽說他明年四月判刑 可能要判65年
[00:03:54.000 --> 00:03:58.000]  我覺得他做眼科醫生是比較好的
[00:03:58.000 --> 00:04:02.000]  後來他從商做政界
[00:04:02.000 --> 00:04:05.000]  但無論如何對我來說
[00:04:05.000 --> 00:04:09.000]  我二十歲就知道我會有遺傳病
[00:04:10.000 --> 00:04:12.000]  我二十歲就開始視力脆化
[00:04:12.000 --> 00:04:15.000]  到我二十二、三歲醫生就告訴我
[00:04:15.000 --> 00:04:17.000]  我將會成為一個盲人
[00:04:17.000 --> 00:04:20.000]  當時我還聽到有個歌手叫張偉文
[00:04:20.000 --> 00:04:23.000]  他的發音就叫張偉盲
[00:04:23.000 --> 00:04:26.000]  我心想糟糕了 我就是他
[00:04:26.000 --> 00:04:29.000]  所以在這三個過程中
[00:04:29.000 --> 00:04:35.000]  由我右手受傷到我信耶穌
[00:04:35.000 --> 00:04:38.000]  我人生觀有很大的轉變
[00:04:39.000 --> 00:04:41.000]  我對他的信仰開始有認識
[00:04:41.000 --> 00:04:43.000]  到我失明
[00:04:43.000 --> 00:04:45.000]  其實這麼多年來
[00:04:45.000 --> 00:04:48.000]  從別人看我人生是一路走下坡
[00:04:48.000 --> 00:04:50.000]  我三個人生的轉捩點
[00:04:50.000 --> 00:04:53.000]  都幫我學懂人生有很多東西很寶貴
[00:04:53.000 --> 00:04:55.000]  正因為我失去過
[00:04:55.000 --> 00:04:57.000]  人生失去過
[00:04:57.000 --> 00:05:01.000]  我感受到人生有幾樣東西是很重要
