
[00:00:00.000 --> 00:00:03.000]  那麼今天我要跟大家分享的一個題目
[00:00:03.000 --> 00:00:06.000]  就是是一個禮物不是賺來的
[00:00:06.000 --> 00:00:10.000]  其實我想了很久到底是要不要擺禮物
[00:00:10.000 --> 00:00:13.000]  那麼可能禮物對我們來講是比較了解
[00:00:13.000 --> 00:00:18.000]  就是說不是我賺來的
[00:00:18.000 --> 00:00:21.000]  那麼乃是人家要送給我的
[00:00:21.000 --> 00:00:24.000]  但是我覺得從神的恩典來看
[00:00:24.000 --> 00:00:28.000]  我覺得祂比禮物更多更多
[00:00:28.000 --> 00:00:33.000]  那麼我還是取了這個
[00:00:33.000 --> 00:00:37.000]  我們在暑假的時候我們講到
[00:00:37.000 --> 00:00:41.000]  這個認識聖靈和祂的工作對不對
[00:00:41.000 --> 00:00:45.000]  然後我們在其中也提到與基督聯合
[00:00:45.000 --> 00:00:48.000]  那就像我們剛才背的一副手書第一章裡面
[00:00:48.000 --> 00:00:51.000]  它一個重複出現的句子呢
[00:00:51.000 --> 00:00:53.000]  就是在基督裡在基督裡
[00:00:53.000 --> 00:00:56.000]  那麼在基督裡其實就等於呢
[00:00:56.000 --> 00:00:59.000]  與基督聯合
[00:00:59.000 --> 00:01:03.000]  那麼是藉著聖靈的工作使我們與基督聯合
[00:01:03.000 --> 00:01:06.000]  那我自己在準備這些東西的時候
[00:01:06.000 --> 00:01:10.000]  我一直很久一直在讀這個與基督聯合
[00:01:10.000 --> 00:01:17.000]  那麼我覺得與基督聯合是我們整個救恩的開始
[00:01:17.000 --> 00:01:19.000]  當主耶穌祂還在地上的時候
[00:01:19.000 --> 00:01:22.000]  祂藉著聖靈
[00:01:22.000 --> 00:01:24.000]  這是我們從聖經上面看到的
[00:01:24.000 --> 00:01:26.000]  行了一切的神蹟
[00:01:26.000 --> 00:01:28.000]  在這個神蹟之中有一個呢
[00:01:28.000 --> 00:01:32.000]  就是祂用五個餅兩條魚餵飽了
[00:01:32.000 --> 00:01:34.000]  最起碼有五千個男子
[00:01:34.000 --> 00:01:37.000]  還不算婦人跟小孩子
[00:01:37.000 --> 00:01:40.000]  那麼祂餵飽了他們之後呢
[00:01:40.000 --> 00:01:44.000]  就有許多人就繼續的跟著祂
[00:01:44.000 --> 00:01:46.000]  然後我們從聖經上面看見
[00:01:46.000 --> 00:01:48.000]  在約翰福音第六章裡面
[00:01:48.000 --> 00:01:54.000]  祂就說你們跟著我來是因為吃餅得飽
[00:01:54.000 --> 00:01:56.000]  主耶穌藉著祂行的這個神蹟呢
[00:01:56.000 --> 00:01:58.000]  我自己慢慢在看的時候
[00:01:58.000 --> 00:02:00.000]  我覺得祂就是要告訴他們
[00:02:00.000 --> 00:02:05.000]  祂告訴他們不要餵著地上的這些食物去求
[00:02:05.000 --> 00:02:10.000]  祂說要餵著那存到永生的食物勞力
[00:02:10.000 --> 00:02:12.000]  然後祂告訴他們
[00:02:12.000 --> 00:02:16.000]  祂說世界上的食物吃了之後還是會死掉的
[00:02:16.000 --> 00:02:18.000]  不管你是怎麼樣的食物
[00:02:18.000 --> 00:02:20.000]  再營養的也好
[00:02:20.000 --> 00:02:22.000]  或是再補的也好
[00:02:22.000 --> 00:02:23.000]  也不管你吃多久
[00:02:23.000 --> 00:02:28.000]  到最後你總有一天你仍然要離開
[00:02:28.000 --> 00:02:31.000]  祂沒有辦法讓你永遠存活
[00:02:31.000 --> 00:02:33.000]  在我們中國歷史上面
[00:02:33.000 --> 00:02:36.000]  有一個皇帝就想要做這件事情對不對
