
[00:00:00.000 --> 00:00:02.380]  柏林其中一個被摧毀的城市
[00:00:02.380 --> 00:00:08.720]  你看到一群流離失所的居民
[00:00:08.720 --> 00:00:12.200]  其中你會看到一個媽媽扶老攜幼
[00:00:12.200 --> 00:00:17.900]  在一個戰爭的廢墟當中走過一輛坦克車
[00:00:17.900 --> 00:00:21.100]  在美國將來沒有什麼熱戰
[00:00:21.100 --> 00:00:25.160]  不過在美國到處很多時候都會有示威的行動
[00:00:25.160 --> 00:00:28.320]  這個在哪裡呢 這個在華盛頓特區
[00:00:28.320 --> 00:00:32.120]  就像大陸那樣
[00:00:32.120 --> 00:00:37.940]  是解放華盛頓特區有這樣的示威行動
[00:00:37.940 --> 00:00:42.520]  沒有熱戰 但是到處在美國很容易會看到一些示威遊行
[00:00:42.520 --> 00:00:44.720]  示威遊行的時候 這個不是熱戰
[00:00:44.720 --> 00:00:49.140]  但是其實我們身為一個地球上面來講
[00:00:49.140 --> 00:00:53.020]  氣候的變化是很重要的
[00:00:53.020 --> 00:00:56.320]  氣候變遷 環境的危機
[00:00:56.320 --> 00:00:59.760]  現在已經影響到我們每個人的生活
[00:00:59.760 --> 00:01:03.800]  再近身一點 大家上班工作很多
[00:01:03.800 --> 00:01:06.600]  有很多所謂的office politics
[00:01:06.600 --> 00:01:09.240]  就是公司裡面的政治
[00:01:09.240 --> 00:01:12.640]  然後再加上科技 互聯網上面
[00:01:12.640 --> 00:01:15.000]  那些道德操守的問題
[00:01:15.000 --> 00:01:17.840]  現在是越來越嚴重
[00:01:17.840 --> 00:01:20.320]  現在最流行的是什麼
[00:01:20.320 --> 00:01:24.000]  人工智能
[00:01:24.000 --> 00:01:28.540]  深度身份 偽造身份
[00:01:28.540 --> 00:01:30.380]  就是那些危機
[00:01:30.380 --> 00:01:33.980]  到了一個地步 我們發覺都不知道怎麼去監管
[00:01:33.980 --> 00:01:36.120]  因為太快 太厲害了
[00:01:36.120 --> 00:01:40.520]  政府要立法去管理這些東西 都來不及的
[00:01:40.520 --> 00:01:44.500]  當我們看到大堆這樣的東西在我們周圍外面發生的時候
[00:01:44.500 --> 00:01:45.920]  有時候覺得教會是很safe的
[00:01:45.920 --> 00:01:47.680]  回到來不用想這些東西了
[00:01:47.680 --> 00:01:49.720]  一上班去到外面的時候
[00:01:49.720 --> 00:01:53.880]  每天都要面對這麼多這樣的問題
[00:01:53.880 --> 00:01:57.160]  不知道大家覺得我們今天生活在這個世界上
[00:01:57.160 --> 00:02:01.400]  會不會覺得很辛苦 很艱難 有沒有這樣的感覺
[00:02:01.400 --> 00:02:04.320]  大家有沒有害怕過你的身份被盜用
[00:02:04.320 --> 00:02:07.560]  每天都在心裡討厭什麼 電話諸如此類
[00:02:07.560 --> 00:02:09.480]  怕不怕不夠錢生活
[00:02:09.480 --> 00:02:11.560]  怕不怕不夠錢退休
[00:02:11.560 --> 00:02:13.640]  有沒有擔心會生病
[00:02:13.640 --> 00:02:15.720]  醫藥費很貴的
[00:02:15.720 --> 00:02:19.280]  會不會覺得自己的子女怕他們學壞
[00:02:19.280 --> 00:02:22.520]  或者跟了壞人
[00:02:22.520 --> 00:02:25.160]  有些真的很實際的
[00:02:25.160 --> 00:02:27.520]  上個星期 因為我太忙了
[00:02:27.520 --> 00:02:30.280]  我都沒有機會去跟我的媳婦慶祝她生日
[00:02:30.280 --> 00:02:33.640]  上個星期去補足生日
[00:02:33.640 --> 00:02:34.960]  一家七口出去吃飯
