
[00:00:00.000 --> 00:00:05.060]  在基督教界裡面,香港發生了一件大事
[00:00:05.060 --> 00:00:08.940]  大家有沒有留意,也不是新聞
[00:00:08.940 --> 00:00:11.260]  新聞也有少少報道
[00:00:11.260 --> 00:00:16.120]  但是在一些教會那裡傳流
[00:00:16.120 --> 00:00:21.140]  有個姓陳的人洗了禮
[00:00:21.140 --> 00:00:23.400]  全港都知道
[00:00:23.400 --> 00:00:26.120]  是不是,有沒有留意
[00:00:30.160 --> 00:00:31.740]  Peter仔,是不是
[00:00:31.740 --> 00:00:35.720]  有人說他從風水到活水
[00:00:35.720 --> 00:00:37.560]  也挺好的
[00:00:37.560 --> 00:00:40.100]  從風水轉向活水
[00:00:40.100 --> 00:00:44.520]  我昨天早上在茶餐廳吃飯
[00:00:44.520 --> 00:00:48.880]  隔壁桌有兩個男人,都五六十歲
[00:00:48.880 --> 00:00:50.840]  應該是在學校工作的
[00:00:50.840 --> 00:00:53.220]  談起陳振聰
[00:00:53.220 --> 00:00:56.260]  從他們的言談中,我知道他們是未信耶穌的
[00:00:56.260 --> 00:00:57.480]  我猜的
[00:00:57.720 --> 00:01:01.960]  也就是說,在茶餐廳未信耶穌的範圍里
[00:01:01.960 --> 00:01:03.540]  都知道這件事
[00:01:03.540 --> 00:01:04.720]  大家知不知道
[00:01:04.720 --> 00:01:07.300]  九成九都知道
[00:01:07.300 --> 00:01:11.100]  其中一句就是說,這個陳振聰
[00:01:11.100 --> 00:01:15.180]  想減刑而已,信耶穌
[00:01:15.180 --> 00:01:19.520]  他一定坐牢的,偽造文件,看他坐了多少
[00:01:19.520 --> 00:01:24.200]  原來有人不信的,不信他
[00:01:24.200 --> 00:01:26.340]  這也是難怪的
[00:01:26.340 --> 00:01:28.660]  我們從小到大都教導小孩
[00:01:28.660 --> 00:01:31.580]  大眼識人,不要輕易信人
[00:01:31.580 --> 00:01:32.960]  這也是
[00:01:32.960 --> 00:01:34.660]  另外一個男士就說
[00:01:34.660 --> 00:01:37.220]  你不要理人太多了,總而言之
[00:01:37.220 --> 00:01:41.000]  轉變也是好的
[00:01:41.000 --> 00:01:44.560]  當然我心裡也看了他的見證
[00:01:44.560 --> 00:01:47.380]  不是心裡看,是真的看了他的見證
[00:01:47.380 --> 00:01:50.060]  用心來看,應該這麼說
[00:01:50.060 --> 00:01:53.780]  十六分鐘的見證,也是很感動的
[00:01:53.780 --> 00:01:59.180]  還有他的文章,也相信他的悔改
[00:01:59.180 --> 00:02:03.820]  大家知不知道他是怎樣信耶穌的
[00:02:03.820 --> 00:02:06.840]  當然有段故事
[00:02:06.840 --> 00:02:09.620]  其實他是02年
[00:02:09.620 --> 00:02:14.240]  02年3月的時候,是最低沈的時間
[00:02:14.240 --> 00:02:19.120]  因為上訴期間,他也知道一定會輸,不過上訴
[00:02:19.120 --> 00:02:23.760]  12年10月就宣佈他應該敗訴了
[00:02:23.760 --> 00:02:27.720]  但是跟隨著上訴,在過程當中
[00:02:27.720 --> 00:02:31.700]  他的形容也是很屈膝的,很不滿的
[00:02:31.700 --> 00:02:33.500]  好像過街老鼠一樣
[00:02:33.500 --> 00:02:36.880]  下街吃飯也要找個東西扣著頭
[00:02:36.880 --> 00:02:38.880]  差不多,他的形容
[00:02:38.880 --> 00:02:41.160]  其實他已經沒有朋友了
[00:02:41.160 --> 00:02:44.300]  當然我們覺得這個人之前很貪心
[00:02:44.300 --> 00:02:46.060]  我們也不喜歡,是吧
[00:02:46.060 --> 00:02:50.560]  不過在他的角度來說,他自己其實也很痛苦的
[00:02:50.560 --> 00:02:53.440]  所有東西都沒有了,等等等等
[00:02:53.440 --> 00:02:58.200]  原來,在02年3月
[00:02:58.200 --> 00:03:01.840]  他有個...12年,是12年
[00:03:01.840 --> 00:03:06.040]  12年3月,他有個司機要辭職
[00:03:06.040 --> 00:03:10.480]  司機已經做了很久了,二十多年了
[00:03:10.480 --> 00:03:13.560]  原來這個司機是個基督徒
[00:03:13.560 --> 00:03:18.380]  這麼多年都沒有向陳振聰講福音
[00:03:18.380 --> 00:03:21.280]  可能不夠他講,或者害怕
[00:03:21.280 --> 00:03:23.700]  而他辭職之前
[00:03:23.700 --> 00:03:27.280]  就送了一樣東西給陳振聰
[00:03:27.280 --> 00:03:29.400]  就是送了一本聖經給他
[00:03:29.400 --> 00:03:32.720]  就是他自己十幾年的聖經
[00:03:32.720 --> 00:03:35.760]  這個的情是很深的
[00:03:35.760 --> 00:03:39.040]  我真的很不捨得送這本聖經給別人的,如果要我送
[00:03:39.040 --> 00:03:40.760]  基本上都不會送的
[00:03:40.760 --> 00:03:42.640]  買兩本,十本都可以
[00:03:42.640 --> 00:03:46.660]  但是這本,我神學院畢業老師送,截到現在
[00:03:46.660 --> 00:03:49.220]  怎麼可以送給別人呢
[00:03:49.220 --> 00:03:54.420]  你可以看到司機有一份裡面的情
[00:03:54.420 --> 00:03:56.220]  然後就送給他
[00:03:56.220 --> 00:04:00.540]  奇妙事就在那個接觸發生
[00:04:00.540 --> 00:04:03.440]  陳振聰說,文章都這麼寫
[00:04:03.440 --> 00:04:05.640]  當他一接本聖經
[00:04:05.640 --> 00:04:08.420]  他整個手是麻痹了
[00:04:08.420 --> 00:04:15.220]  整個人好像要中風,不能動
[00:04:15.220 --> 00:04:19.260]  這樣神奇的經歷
[00:04:19.260 --> 00:04:23.480]  然後他就很困難地走回屋裡
[00:04:23.480 --> 00:04:26.060]  就坐在凳子上
[00:04:26.060 --> 00:04:29.180]  其實不是很能動的,很艱難
[00:04:29.180 --> 00:04:30.940]  就看聖經
[00:04:30.940 --> 00:04:32.580]  看了一個半小時
[00:04:32.580 --> 00:04:35.100]  就揭到《出埃及記》
[00:04:35.100 --> 00:04:38.200]  就看《出埃及記》那十載
[00:04:38.200 --> 00:04:43.700]  看完之後,他就起來找那個快要走的司機
[00:04:43.700 --> 00:04:48.580]  就跟他說,我想單獨見牧師
[00:04:48.580 --> 00:04:51.920]  司機就安排了去見那些牧師
[00:04:51.920 --> 00:04:54.780]  輾轉他就信主
[00:04:54.780 --> 00:04:57.700]  參加這個啓發課程
