
[00:00:00.000 --> 00:00:05.000]  今天一起要來分享的信息題目是《政治的人》
[00:00:05.000 --> 00:00:09.000]  經文是在《始作新傳》二十四章
[00:00:09.000 --> 00:00:16.000]  我們選其中一些經文我們一起來讀
[00:00:16.000 --> 00:00:20.000]  《始作新傳》二十四章
[00:00:20.000 --> 00:00:24.000]  我們一起來讀第二節到第六節
[00:00:30.000 --> 00:00:38.000]  《始作新傳》第二十四章
[00:00:38.000 --> 00:00:42.000]  我們先讀第二節到第六節
[00:00:42.000 --> 00:00:46.000]  翻到以後請我們一起來讀
[00:00:46.000 --> 00:00:50.000]  保羅被雞咬開
[00:00:50.000 --> 00:00:53.000]  鐵骨龍就告訴他說
[00:00:53.000 --> 00:00:55.000]  貝利斯爾大人
[00:00:55.000 --> 00:00:58.000]  我們因此得以大小開庭
[00:00:58.000 --> 00:01:01.000]  並且這一國的帝帝
[00:01:01.000 --> 00:01:04.000]  因着你的先見得以更正了
[00:01:04.000 --> 00:01:08.000]  我們隨時隨地滿心感謝恩兵
[00:01:08.000 --> 00:01:10.000]  貝利斯爾大人說
[00:01:10.000 --> 00:01:12.000]  以天皇的旨意
[00:01:12.000 --> 00:01:14.000]  是求以大小開庭
[00:01:14.000 --> 00:01:16.000]  貝利斯爾大人說道一句話
[00:01:16.000 --> 00:01:18.000]  我們看這個人
[00:01:18.000 --> 00:01:20.000]  不通不義蠻藩
[00:01:20.000 --> 00:01:22.000]  事不動天下
[00:01:22.000 --> 00:01:24.000]  重大人事亂亂的
[00:01:24.000 --> 00:01:28.000]  又是大小教堂的一個動物
[00:01:28.000 --> 00:01:31.000]  連聖殿他也要崩潰
[00:01:31.000 --> 00:01:33.000]  我們把他折腫了
[00:01:33.000 --> 00:01:36.000]  我們再讀下面
[00:01:36.000 --> 00:01:42.000]  十三節到十六節
[00:01:42.000 --> 00:01:47.000]  剛纔是那個變式鐵骨龍的話
[00:01:47.000 --> 00:01:52.000]  下面是講到保羅他的話
[00:01:52.000 --> 00:01:54.000]  十三節開始
[00:01:54.000 --> 00:01:55.000]  我們一起讀
[00:01:55.000 --> 00:01:58.000]  讀到十六節
[00:01:58.000 --> 00:02:01.000]  他們現在所告諾的事
[00:02:01.000 --> 00:02:04.000]  並不能對你證實了
[00:02:04.000 --> 00:02:05.000]  若有一件事
[00:02:05.000 --> 00:02:07.000]  我所想與你認識
[00:02:07.000 --> 00:02:10.000]  就是他們所稱謂的一般的道
[00:02:10.000 --> 00:02:12.000]  我正看着那道
[00:02:12.000 --> 00:02:14.000]  是多麼多種的神
[00:02:14.000 --> 00:02:16.000]  用性和功率化地
[00:02:16.000 --> 00:02:18.000]  編出了千秦書上
[00:02:18.000 --> 00:02:20.000]  一切的組織性的
[00:02:20.000 --> 00:02:22.000]  並且靠着神
[00:02:22.000 --> 00:02:26.000]  盼望使人無論善惡都要復活
[00:02:26.000 --> 00:02:30.000]  就是他們自己也有這個盼望
[00:02:30.000 --> 00:02:32.000]  我因此致請免棄
[00:02:32.000 --> 00:02:34.000]  對神爲對人
[00:02:34.000 --> 00:02:37.000]  長存無悔的良心
[00:02:37.000 --> 00:02:38.000]  最後這一節
[00:02:38.000 --> 00:02:40.000]  十六節我們一同來讀
[00:02:40.000 --> 00:02:43.000]  我因此致請免棄
[00:02:43.000 --> 00:02:45.000]  對神爲對人
[00:02:45.000 --> 00:02:47.000]  長存無悔的良心
[00:02:47.000 --> 00:02:49.000]  聖經我們就讀到這裏
[00:02:49.000 --> 00:02:54.000]  在二十五章就講到
[00:02:54.000 --> 00:02:57.000]  保羅跟他同宮
[00:02:57.000 --> 00:02:58.000]  在五行節以前
[00:02:58.000 --> 00:03:02.000]  他們就回到耶路撒冷來過節
[00:03:02.000 --> 00:03:06.000]  他們不是單單來到耶路撒冷過節
[00:03:06.000 --> 00:03:11.000]  他們還帶着亞細亞外邦的教會
[00:03:11.000 --> 00:03:16.000]  給這個猶太人貧窮的信徒的捐款
[00:03:16.000 --> 00:03:19.000]  所以他們來到耶路撒冷以後
[00:03:19.000 --> 00:03:24.000]  就見到教會的這個長老
[00:03:24.000 --> 00:03:26.000]  見到雅各
[00:03:26.000 --> 00:03:28.000]  那麼他就跟他們交通到
[00:03:28.000 --> 00:03:31.000]  他們在雅細亞這一帶
[00:03:31.000 --> 00:03:33.000]  繁複英的羣體
[00:03:33.000 --> 00:03:35.000]  大家看見有很多人
[00:03:35.000 --> 00:03:36.000]  外邦的信徒
[00:03:36.000 --> 00:03:39.000]  他們也就很歡喜快樂
[00:03:39.000 --> 00:03:42.000]  把榮耀歸給神
[00:03:42.000 --> 00:03:46.000]  接下來這些長老就說
[00:03:46.000 --> 00:03:50.000]  外面有傳說保羅教導人
[00:03:50.000 --> 00:03:52.000]  有人在傳說說
[00:03:52.000 --> 00:03:56.000]  保羅沒有按照摩西的律法來教導人
[00:03:56.000 --> 00:03:58.000]  要不想要隔離
[00:03:58.000 --> 00:04:00.000]  還有很多的變着
[00:04:00.000 --> 00:04:03.000]  他說爲了要避免這些誤會
[00:04:03.000 --> 00:04:09.000]  他就建議保羅帶着幾個還願的人
[00:04:09.000 --> 00:04:14.000]  還願的猶太人到聖殿去還願
[00:04:14.000 --> 00:04:17.000]  請誡盡全力
[00:04:17.000 --> 00:04:19.000]  結果呢
[00:04:19.000 --> 00:04:23.000]  因爲保羅到聖殿去
[00:04:23.000 --> 00:04:26.000]  就給別人看見了
[00:04:26.000 --> 00:04:30.000]  有一些從雅細亞外地回來的猶太人
[00:04:30.000 --> 00:04:34.000]  他也在外地聽過保羅的講道
[00:04:34.000 --> 00:04:37.000]  也聽見保羅講道以後
[00:04:37.000 --> 00:04:39.000]  他跟其他的猶太人一樣
