
[00:00:00.000 --> 00:00:02.240]  與神同行,接着做什麼?
[00:00:02.240 --> 00:00:05.300]  進入人羣,如果你沒有與神同行
[00:00:05.300 --> 00:00:08.780]  能不能進入?能進入,不過是不能進入人的心
[00:00:08.780 --> 00:00:11.560]  我們今年有兩句話,看到嗎?
[00:00:11.560 --> 00:00:12.760]  這個說什麼?
[00:00:12.760 --> 00:00:16.040]  進入社區,回出福音
[00:00:16.040 --> 00:00:18.420]  我經常說社區我們已經進入了
[00:00:18.420 --> 00:00:23.000]  你活在社區了,不過問題是進入社區的意思就是進入人的心裏面
[00:00:23.000 --> 00:00:26.140]  我不知道你有多瞭解修基灣,修安河
[00:00:26.140 --> 00:00:28.680]  我是新來這一區的,其實我都開始瞭解了
[00:00:28.680 --> 00:00:31.940]  因爲我整天都在這個修安河站走來走去的
[00:00:31.940 --> 00:00:34.860]  你知不知道這段路最多是什麼店鋪?
[00:00:34.860 --> 00:00:36.720]  下一位是你
[00:00:36.720 --> 00:00:41.340]  對啦,食肆啦,香港人最喜歡喫的,什麼是食肆呢?
[00:00:41.340 --> 00:00:43.340]  你不要這麼空泛,具體一點
[00:00:43.340 --> 00:00:47.640]  我知道的,因爲我走得習慣了
[00:00:47.640 --> 00:00:49.320]  賣什麼?
[00:00:49.320 --> 00:00:51.260]  不是茶几
[00:00:51.260 --> 00:00:55.940]  精品?不是,哪有這麼行前日誌的,修安河人很實際的嘛
[00:00:55.940 --> 00:01:01.260]  賣什麼啊?賣那些中頭飯啊,點心啊,糯米雞啊
[00:01:01.260 --> 00:01:06.480]  那裏電車路一間,電車路兩間,一邊一間,我免得說名字,免得宣傳
[00:01:06.480 --> 00:01:09.940]  另外城安市街市有一間,是嗎?我三間都光顧過了
[00:01:09.940 --> 00:01:12.480]  你想要一些口碑,我可以告訴你
[00:01:12.480 --> 00:01:16.900]  那我們在這裏瞭解有什麼好處,如何幫助我們全福音,請問你
[00:01:16.900 --> 00:01:23.780]  不知道的,如果下次疫情沒了之後,我們可以辦一些活動是包飲食的
[00:01:23.780 --> 00:01:26.780]  我請問你請一些街坊來,你預備什麼食物啊?
[00:01:26.780 --> 00:01:29.500]  披薩?漢堡包?
[00:01:29.500 --> 00:01:33.100]  哎,不對了,你應該預備什麼啊?蝦餃、燒賣嘛,中頭飯嘛
[00:01:33.100 --> 00:01:35.260]  你現在學好包蝦餃都沒遲啊
[00:01:35.260 --> 00:01:37.560]  我估計疫情就一年左右了,沒了
[00:01:37.560 --> 00:01:40.760]  所以姐妹們快點去學習,我知道很多姐妹很厲害的
[00:01:40.760 --> 00:01:45.260]  可以嗎?所以這個就是體測民情,然後用在福音事宮上面,舉個例子
[00:01:45.260 --> 00:01:47.760]  簡單的例子啊,好,看看今天的經文
[00:01:47.760 --> 00:01:50.820]  喂,今天的經文很搞笑的
[00:01:50.820 --> 00:01:54.820]  我們先講一講,今天是逐集來的,上個禮拜記不記得啊?
[00:01:54.820 --> 00:01:56.820]  講什麼啊?多數不記得了,我重溫幫你啊
[00:01:56.820 --> 00:02:01.820]  這個節目很誠實,其他都假裝記得了,但是眉頭緊皺
[00:02:01.820 --> 00:02:03.820]  我告訴你,上個禮拜講什麼呢?
[00:02:03.820 --> 00:02:06.820]  保羅和他們宣教團隊被神特別的差遣
[00:02:06.820 --> 00:02:10.820]  要怎樣啊?破天荒地從亞洲去到對面海
[00:02:10.820 --> 00:02:14.820]  歐洲的地方叫做馬其頓全福音
[00:02:14.820 --> 00:02:17.820]  好了,他們初來報道嘛,去到新的地方
[00:02:17.820 --> 00:02:20.820]  肯定是不知頭不知腦的,好像我剛來到西灣河
[00:02:20.820 --> 00:02:23.820]  我第一次來就要問人家,喂,知道西灣河在哪裏嗎?
[00:02:23.820 --> 00:02:28.820]  他們就去認識一下這個地方,體測民情啊,做一些研究啊
[00:02:28.820 --> 00:02:32.820]  然後發現有一件事很搞笑的,就是這羣雅典人
