
[00:00:00.000 --> 00:00:02.180]  弟兄姊妹,主內平安!
[00:00:02.180 --> 00:00:04.520]  今天想和大家去重溫
[00:00:04.520 --> 00:00:08.820]  聖經裡面一堂很重要的課堂
[00:00:08.820 --> 00:00:12.500]  是耶穌基督為祂的門徒上的第一課
[00:00:12.500 --> 00:00:13.820]  在這個課堂裡面
[00:00:13.820 --> 00:00:16.360]  蘊含著很重要作為門徒
[00:00:16.360 --> 00:00:19.260]  一些生命的特質和基礎
[00:00:19.260 --> 00:00:23.500]  很值得我們經常去重溫一下
[00:00:23.500 --> 00:00:26.860]  以致我們能夠預備好我們自己
[00:00:26.860 --> 00:00:30.920]  有力量的去面對隨時會臨到我們生命裡面
[00:00:30.920 --> 00:00:33.820]  人生種種的考驗
[00:00:33.820 --> 00:00:37.520]  今天的經文是一段大家耳熟能詳的記載
[00:00:37.520 --> 00:00:40.620]  是有關耶穌在加拿大分宴裡面
[00:00:40.620 --> 00:00:44.400]  施行「水變酒」這個神蹟的記載
[00:00:44.400 --> 00:00:49.000]  經文是在《讓福音》二章一至十一節
[00:00:49.000 --> 00:00:51.500]  讓我們一起讀出這一段經文
[00:00:51.500 --> 00:00:52.800]  預備起
[00:00:52.800 --> 00:00:58.220]  第三日在加利利的加拿有娶親的賢職
[00:00:58.220 --> 00:01:00.960]  耶穌的母親在那裡
[00:01:00.960 --> 00:01:05.100]  耶穌和她的門徒也被請去賦職
[00:01:05.100 --> 00:01:06.900]  酒用盡了
[00:01:06.900 --> 00:01:09.400]  耶穌的母親對她說
[00:01:09.400 --> 00:01:11.420]  她們會有酒了
[00:01:11.420 --> 00:01:12.600]  耶穌說
[00:01:12.600 --> 00:01:16.100]  母親我與你有什麼相干
[00:01:16.100 --> 00:01:18.700]  我的時候還沒有到
[00:01:18.700 --> 00:01:21.000]  她母親對傭人說
[00:01:21.000 --> 00:01:23.060]  她告訴你們什麼
[00:01:23.060 --> 00:01:25.120]  你們就作什麼
[00:01:25.120 --> 00:01:27.920]  照猶太人潔淨的規矩
[00:01:27.920 --> 00:01:30.960]  有六口石缸擺在那裡
[00:01:30.960 --> 00:01:34.300]  每口可以盛兩三桶水
[00:01:34.300 --> 00:01:36.420]  耶穌對傭人說
[00:01:36.420 --> 00:01:38.660]  把缸倒滿了水
[00:01:38.660 --> 00:01:40.560]  她們就倒滿了
[00:01:40.560 --> 00:01:42.360]  直到缸口
[00:01:42.360 --> 00:01:43.720]  耶穌又說
[00:01:43.720 --> 00:01:45.860]  現在可以繞出來
[00:01:45.860 --> 00:01:48.200]  送給管賢職的
[00:01:48.200 --> 00:01:50.220]  她們就送了去
[00:01:50.220 --> 00:01:51.420]  管賢職的
[00:01:51.420 --> 00:01:53.720]  常料那水變的酒
[00:01:53.720 --> 00:01:56.320]  並不知道是哪裡來的
[00:01:56.320 --> 00:01:59.460]  只有繞水的傭人知道
[00:01:59.460 --> 00:02:02.160]  管賢職的便叫新郎來
[00:02:02.160 --> 00:02:03.420]  對她說
[00:02:03.420 --> 00:02:06.260]  人都是先擺上好酒
[00:02:06.260 --> 00:02:07.860]  等客喝足了
[00:02:07.860 --> 00:02:09.800]  才擺上次的
[00:02:09.800 --> 00:02:13.260]  你們倒把好酒留到如今
[00:02:13.260 --> 00:02:16.900]  這是耶穌所行的頭一件神蹟
[00:02:16.900 --> 00:02:19.620]  是在加利利的加拿行的
[00:02:19.620 --> 00:02:21.720]  顯出他的榮耀來
[00:02:21.720 --> 00:02:25.460]  他的門徒就信他了
[00:02:25.460 --> 00:02:28.260]  耶穌將水變酒這個神蹟
[00:02:28.260 --> 00:02:29.420]  是在《約翰福音》裡面
[00:02:29.420 --> 00:02:32.220]  記載的第一個神蹟
[00:02:32.220 --> 00:02:33.760]  耶穌所施行的神蹟
[00:02:33.760 --> 00:02:36.260]  都是有很重要的意義
[00:02:36.260 --> 00:02:39.100]  除了對人的處境
[00:02:39.100 --> 00:02:42.200]  或者需要作出實際的幫助之外
[00:02:42.200 --> 00:02:43.960]  更主要的意義
[00:02:43.960 --> 00:02:45.560]  是要好像一個記號
[00:02:45.560 --> 00:02:47.060]  好像一個路標
[00:02:47.060 --> 00:02:50.400]  一個signage去指向尋求神的人
[00:02:50.400 --> 00:02:52.500]  讓他們能夠尋找就尋見
[00:02:52.500 --> 00:02:54.400]  讓他們能夠認識神
[00:02:54.400 --> 00:02:55.960]  能夠相信神
[00:02:55.960 --> 00:02:58.160]  得著生命
[00:02:58.160 --> 00:03:01.460]  《約翰福音》在記載
[00:03:01.460 --> 00:03:04.400]  神蹟這個意義的時候
[00:03:04.400 --> 00:03:05.120]  有很清楚
[00:03:05.120 --> 00:03:06.520]  講得很清楚給我們知道
[00:03:06.520 --> 00:03:08.060]  在《約翰福音》
[00:03:08.060 --> 00:03:09.500]  二十章三十一節
[00:03:09.500 --> 00:03:10.720]  那裡是這樣說
[00:03:10.720 --> 00:03:12.100]  「但記這些事
[00:03:12.100 --> 00:03:14.460]  要叫人信耶穌是基督
[00:03:14.460 --> 00:03:16.300]  是神的兒子
[00:03:16.300 --> 00:03:19.260]  並且叫你們信了他
[00:03:19.260 --> 00:03:23.620]  就可以因他得生命」
[00:03:23.620 --> 00:03:26.600]  隨便走作為第一個神蹟
[00:03:26.600 --> 00:03:28.900]  他的目的當然也不例外
[00:03:28.900 --> 00:03:31.460]  是要讓人更加的認識神
[00:03:31.460 --> 00:03:34.160]  並且因為相信耶穌
[00:03:34.160 --> 00:03:37.960]  而得著生命
[00:03:37.960 --> 00:03:39.560]  第一個神蹟
[00:03:39.560 --> 00:03:41.200]  第一也有首要
[00:03:41.200 --> 00:03:43.000]  很重要的意思
[00:03:43.000 --> 00:03:46.300]  相信無論是在耶穌的眼中
