
[00:00:00.000 --> 00:00:03.220]  提供姐妹平安
[00:00:03.220 --> 00:00:06.560]  那 最近的一段時間 如果出到外面
[00:00:06.560 --> 00:00:11.320]  或者走到教堂裡面 都看到很多不一樣的裝飾
[00:00:11.320 --> 00:00:15.740]  其實這些裝飾已經慢慢告訴我們 聖誕節快到了
[00:00:15.740 --> 00:00:20.160]  那很久之前 有個心底很善良的貴族
[00:00:20.160 --> 00:00:23.060]  他的太太突然因病去世
[00:00:23.060 --> 00:00:28.780]  就撇下他 或者留下他跟他的幾個女兒
[00:00:28.780 --> 00:00:34.000]  這貴族沒過多久 還喪失了他所有的家產
[00:00:34.000 --> 00:00:38.480]  本來他是貴族 但是現在變成了一個窮人
[00:00:38.480 --> 00:00:43.340]  不得不搬進了一個農房裡面生活
[00:00:43.340 --> 00:00:45.460]  以前是有工人照顧他們
[00:00:45.460 --> 00:00:51.040]  但是現在只有他的幾個女兒來照顧家務
[00:00:51.040 --> 00:00:53.520]  做飯打掃等等
[00:00:53.520 --> 00:00:59.520]  幾年過去了 這些女兒都陸續到了出嫁的年紀
[00:00:59.520 --> 00:01:05.100]  但是父親因為沒有財產 他變得很沮喪
[00:01:05.100 --> 00:01:10.620]  因為他根本沒有錢給女兒買嫁妝
[00:01:10.620 --> 00:01:13.800]  那有個人叫 Nicholas
[00:01:13.800 --> 00:01:16.300]  知道他們的情況之後
[00:01:16.300 --> 00:01:20.320]  在某個晚上就來到他們家的門口
[00:01:20.320 --> 00:01:25.480]  他透過窗戶看到他們家都已經睡著了
[00:01:25.480 --> 00:01:32.220]  然後他注意到女孩們洗完衣服之後
[00:01:32.220 --> 00:01:39.900]  掛了幾個很長的襪子在火爐前面烘乾
[00:01:39.900 --> 00:01:44.440]  隨即他就從口袋裡面拿出幾袋的金紙
[00:01:44.440 --> 00:01:48.980]  從煙囪上面一個一個的往下扔下去
[00:01:48.980 --> 00:01:51.860]  剛好就扔在這些的小襪子裡面
[00:01:51.860 --> 00:01:54.140]  然後第二天早上起來的時候
[00:01:54.140 --> 00:01:58.540]  女兒們看到這些長襪裡面裝滿了很多金紙
[00:01:58.540 --> 00:02:00.900]  足夠他們買嫁妝
[00:02:00.900 --> 00:02:05.460]  這父親也因此看到他們的女兒可以結婚
[00:02:05.460 --> 00:02:10.060]  從此就過上一個很幸福快樂的生活
[00:02:10.060 --> 00:02:13.420]  那這個故事的裡面的禮物
[00:02:13.420 --> 00:02:16.100]  或者看上去好像很誇張
[00:02:16.100 --> 00:02:18.060]  我們也不知道是真是假
[00:02:18.060 --> 00:02:20.140]  但是我們可以從中明白
[00:02:20.140 --> 00:02:24.580]  聖誕節是一個關於禮物的一個故事
[00:02:24.580 --> 00:02:26.820]  或者一個節日
[00:02:26.820 --> 00:02:30.140]  那今天我們也讀一段有關聖誕節的經文
[00:02:30.140 --> 00:02:32.980]  看看聖誕節裡面真正的主角
[00:02:32.980 --> 00:02:35.100]  還有聖誕節裡面最重要
