
[00:00:00.000 --> 00:00:06.640]  今年我們教會的講題主題是「回應世界的轉變」
[00:00:06.640 --> 00:00:10.600]  教務同工除了講創世紀之外
[00:00:10.600 --> 00:00:14.880]  亦都會就著一些重要的議題來宣講
[00:00:14.880 --> 00:00:18.200]  今日我會講關於男女關係
[00:00:18.200 --> 00:00:23.000]  近年世界各地都流行很多的真人騷
[00:00:23.000 --> 00:00:26.000]  即是很多電視節目都是真人騷
[00:00:26.000 --> 00:00:30.880]  最近串流影視平台Netflix
[00:00:30.880 --> 00:00:33.000]  亦都有一個新的節目
[00:00:33.000 --> 00:00:38.600]  叫做「最後通牒,唔結就婚」
[00:00:38.600 --> 00:00:40.200]  你們有沒有看過?
[00:00:40.200 --> 00:00:46.280]  這個節目的主角是六對情侶
[00:00:46.280 --> 00:00:50.000]  這六對情侶都有一個共通點
[00:00:50.000 --> 00:00:55.960]  就是男女雙方都在「結唔結婚」這個問題上
[00:00:55.960 --> 00:00:59.800]  有不同的意見未能夠達成共識
[00:00:59.800 --> 00:01:03.000]  希望藉著這個節目
[00:01:03.000 --> 00:01:08.000]  來向對方下最後的通牒
[00:01:08.000 --> 00:01:12.000]  即是「結唔結?唔結就婚」
[00:01:12.000 --> 00:01:18.800]  這個節目我們看看他們用甚麼手法來幫助情侶
[00:01:18.800 --> 00:01:22.800]  原來他們用了一個手法就是「交換伴侶」
[00:01:22.800 --> 00:01:24.600]  Change partners
[00:01:24.600 --> 00:01:26.800]  怎樣交換呢?
[00:01:26.800 --> 00:01:32.800]  這六對情侶首先會有一個星期的時間來彼此認識
[00:01:32.800 --> 00:01:35.800]  即是情侶和情侶之間彼此認識
[00:01:35.800 --> 00:01:39.800]  接著三個星期試婚
[00:01:39.800 --> 00:01:42.400]  試婚不是和自己的伴侶試婚
[00:01:42.400 --> 00:01:47.800]  是和這幾對情侶其中一個異性來試婚
[00:01:47.800 --> 00:01:50.200]  同居三個星期
[00:01:50.200 --> 00:01:54.400]  之後又回去和自己的伴侶同居三個星期
[00:01:54.400 --> 00:01:59.000]  在這段時間大家可以考慮清楚
[00:01:59.000 --> 00:02:02.400]  是否這個伴侶最適合我
[00:02:02.400 --> 00:02:05.400]  還是有更好的選擇
[00:02:05.400 --> 00:02:07.200]  這個節目都頗特別
[00:02:07.200 --> 00:02:09.000]  真是頗大膽
[00:02:09.000 --> 00:02:10.600]  大家不要以為
[00:02:10.600 --> 00:02:17.000]  只有西方人才會在性關係上這麼開放
[00:02:17.000 --> 00:02:21.800]  香港的離婚率其實是逐年上升的
[00:02:21.800 --> 00:02:25.600]  離婚率是每一年都增加的
[00:02:25.600 --> 00:02:32.200]  還有社會對於同性戀的認受性
[00:02:32.200 --> 00:02:35.000]  亦是越來越高的
[00:02:35.000 --> 00:02:38.800]  今天我想和大家一起回到聖經
[00:02:38.800 --> 00:02:42.000]  看看聖經有甚麼教導
[00:02:42.000 --> 00:02:45.800]  幫助我們回應這個男女關係
