
[00:00:00.000 --> 00:00:04.240]  其實這個跟接下來講苦難世界好像有點不太對稱
[00:00:04.240 --> 00:00:09.000]  但是其實這個世界就是如此
[00:00:09.000 --> 00:00:12.840]  你會發現一方面
[00:00:12.840 --> 00:00:16.040]  我們在這邊有一羣歡的人
[00:00:16.040 --> 00:00:19.160]  但是在世界的另外一個角落
[00:00:19.160 --> 00:00:21.320]  就有一羣在受苦的人
[00:00:21.320 --> 00:00:28.640]  美國跟伊朗的戰爭不知道什麼時候會結束
[00:00:30.000 --> 00:00:30.520]  是不是
[00:00:30.520 --> 00:00:33.720]  我們看見在波斯灣那邊的國家
[00:00:33.720 --> 00:00:35.840]  最近我們跟一些韓國宣教士
[00:00:35.840 --> 00:00:40.280]  特別有一位是在卡塔爾的金穆斯在講
[00:00:40.280 --> 00:00:43.640]  他說因爲這一次的戰爭
[00:00:43.640 --> 00:00:46.600]  所以今年上半年
[00:00:46.600 --> 00:00:48.720]  甚至到下半年
[00:00:48.720 --> 00:00:54.680]  很多準備要在杜拜舉行的聚會都cancel掉了
[00:00:54.680 --> 00:00:58.600]  因爲大家覺得太危險了
[00:00:59.280 --> 00:01:00.880]  飛彈不時會打過來
[00:01:00.880 --> 00:01:02.880]  其實他說也沒那麼嚴重
[00:01:02.880 --> 00:01:06.080]  他們在那邊的人沒有感覺那麼嚴重
[00:01:06.080 --> 00:01:08.120]  但是大家一聽到那邊
[00:01:08.120 --> 00:01:10.760]  這個情形不知道什麼時候纔會結束
[00:01:10.760 --> 00:01:15.480]  我們看見美國跟伊朗的談判
[00:01:15.480 --> 00:01:18.200]  所以大家現在已經有點麻木
[00:01:18.200 --> 00:01:19.680]  不知道到底最後談的怎麼樣
[00:01:19.680 --> 00:01:21.680]  也不曉得到底誰講的是對不對
[00:01:21.680 --> 00:01:25.400]  你可以看見這個世界到處充滿了苦難
[00:01:25.400 --> 00:01:27.600]  加沙纔剛剛結束
[00:01:28.000 --> 00:01:29.600]  可能大家已經忘掉他們了
[00:01:29.600 --> 00:01:31.400]  但是那兩百多萬的人
[00:01:31.400 --> 00:01:33.120]  其實現在很多時候
[00:01:33.120 --> 00:01:36.200]  當我們想到當初他們在那邊嗷嗷待哺
[00:01:36.200 --> 00:01:38.920]  等候着救援的這些糧食來到
[00:01:38.920 --> 00:01:42.160]  現在這些苦難還繼續在那個地方
[00:01:42.160 --> 00:01:45.720]  世界已經忘掉了他們
[00:01:45.720 --> 00:01:47.920]  但是神沒有忘掉
[00:01:47.920 --> 00:01:52.360]  當我們看見這些苦難的時候
[00:01:52.360 --> 00:01:55.600]  我們想這些發生在這個世界上面真的跟我沒有關係
[00:01:55.760 --> 00:01:59.800]  我在美國這個地方還是舒舒服服地喫我的hamburger
[00:01:59.800 --> 00:02:03.680]  還是在我這個地方過我自己的生活
[00:02:03.680 --> 00:02:07.720]  但丟子妹即使是今天在美國你也會發現
