
[00:00:00.000 --> 00:00:02.000]  一開始的時間我想問一下大家
[00:00:02.000 --> 00:00:04.000]  你有沒有試過在WhatsApp裏面
[00:00:04.000 --> 00:00:06.000]  見到一些見證呢
[00:00:06.000 --> 00:00:08.000]  應該很多人都試過的
[00:00:08.000 --> 00:00:10.000]  有些見證是特別的感人
[00:00:10.000 --> 00:00:12.000]  特別的這些見證分享
[00:00:12.000 --> 00:00:14.000]  你可能很感動
[00:00:14.000 --> 00:00:16.000]  你跟著會做些什麼
[00:00:16.000 --> 00:00:18.000]  你可能會發一些emoji
[00:00:18.000 --> 00:00:20.000]  可能發一些心心
[00:00:20.000 --> 00:00:22.000]  可能祈禱的手
[00:00:22.000 --> 00:00:24.000]  但是你又回想一下
[00:00:24.000 --> 00:00:26.000]  幾分鐘過後你又在做些什麼呢
[00:00:26.000 --> 00:00:28.000]  這一篇很精彩的見證
[00:00:28.000 --> 00:00:30.000]  當下很激動
[00:00:30.000 --> 00:00:32.000]  但是回到現實又怎樣呢
[00:00:32.000 --> 00:00:34.000]  見證很多時候又變回
[00:00:34.000 --> 00:00:36.000]  我們自己的老樣子
[00:00:36.000 --> 00:00:38.000]  這個很多時候是信徒的
[00:00:38.000 --> 00:00:40.000]  真實的寫照
[00:00:40.000 --> 00:00:42.000]  我們的城市很急速地去進行
[00:00:42.000 --> 00:00:44.000]  每天可能在工作
[00:00:44.000 --> 00:00:46.000]  在學業在家庭的壓力
[00:00:46.000 --> 00:00:48.000]  我們都在跟著跑
[00:00:48.000 --> 00:00:50.000]  很辛苦
[00:00:50.000 --> 00:00:52.000]  有時候信仰就好像是
[00:00:52.000 --> 00:00:54.000]  我們說的崇拜的事
[00:00:54.000 --> 00:00:56.000]  崇拜有可能星期六
[00:00:56.000 --> 00:00:58.000]  星期日
[00:00:58.000 --> 00:01:00.000]  但是隔了一天
[00:01:00.000 --> 00:01:02.000]  星期一的時間你又怎樣呢
[00:01:02.000 --> 00:01:04.000]  你是不是回到你的生活當中
[00:01:04.000 --> 00:01:06.000]  你是不是這些見證
[00:01:06.000 --> 00:01:08.000]  這些分享有時候聽聽就算了
[00:01:08.000 --> 00:01:10.000]  如果你放在心上
[00:01:10.000 --> 00:01:12.000]  我會為你感恩
[00:01:12.000 --> 00:01:14.000]  如果不是
[00:01:14.000 --> 00:01:16.000]  我想今天的經文都有一種提醒
[00:01:16.000 --> 00:01:18.000]  提醒我們原來見證是很震撼的
[00:01:18.000 --> 00:01:20.000]  好像今天的經文裡面
[00:01:20.000 --> 00:01:22.000]  有兩個的使者
[00:01:22.000 --> 00:01:24.000]  可能是兩個的門徒
[00:01:24.000 --> 00:01:26.000]  神派他們去做見證
[00:01:26.000 --> 00:01:28.000]  在世界很紛亂的時間
[00:01:28.000 --> 00:01:30.000]  同時間
[00:01:30.000 --> 00:01:32.000]  他們做見證
[00:01:32.000 --> 00:01:34.000]  他們的生命被剝奪了
[00:01:34.000 --> 00:01:36.000]  最後神又復活了他們
[00:01:36.000 --> 00:01:38.000]  在裡面很精彩的故事
[00:01:38.000 --> 00:01:40.000]  看了好像看過科幻電影
[00:01:40.000 --> 00:01:42.000]  有怪獸
[00:01:42.000 --> 00:01:44.000]  又有這些英雄式噴火
[00:01:44.000 --> 00:01:46.000]  可以叫天不下雨
[00:01:46.000 --> 00:01:48.000]  很多的當中
[00:01:48.000 --> 00:01:50.000]  希望大家回到家之後
[00:01:50.000 --> 00:01:52.000]  都看一看它的經文
[00:01:52.000 --> 00:01:54.000]  真正的見證
[00:01:54.000 --> 00:01:56.000]  不是停留在感動的層次
[00:01:56.000 --> 00:01:58.000]  而是要去轉化
[00:01:58.000 --> 00:02:00.000]  要轉化這個世界
[00:02:00.000 --> 00:02:02.000]  要成為一種行動的動力
[00:02:02.000 --> 00:02:04.000]  就好像這兩個的見證人
[00:02:04.000 --> 00:02:06.000]  他們勇敢地走出去
[00:02:06.000 --> 00:02:08.000]  他們知道他們的生命是很危險的
[00:02:08.000 --> 00:02:10.000]  但他們知道他們要做一件
[00:02:10.000 --> 00:02:12.000]  神託付他們做的事
[00:02:12.000 --> 00:02:14.000]  知道世界在混亂中
[00:02:14.000 --> 00:02:16.000]  但他們仍然要去面對
[00:02:16.000 --> 00:02:18.000]  今天的題目叫做
[00:02:18.000 --> 00:02:20.000]  但尊神子莫問前程
[00:02:20.000 --> 00:02:22.000]  勇作見證
[00:02:22.000 --> 00:02:24.000]  這是來自哪裡的呢
[00:02:24.000 --> 00:02:26.000]  其實我是借用一個
[00:02:26.000 --> 00:02:28.000]  一個著名的基督徒
[00:02:28.000 --> 00:02:30.000]  一個中國基督徒叫做
[00:02:30.000 --> 00:02:32.000]  王明道
[00:02:32.000 --> 00:02:34.000]  他1951年的一篇文章
[00:02:34.000 --> 00:02:36.000]  後來也有成書
[00:02:36.000 --> 00:02:38.000]  他在裡面說基督徒
[00:02:38.000 --> 00:02:40.000]  最大的問題
[00:02:40.000 --> 00:02:42.000]  就是我們最大的難處
[00:02:42.000 --> 00:02:44.000]  不是我們沒有力量去做事
[00:02:44.000 --> 00:02:46.000]  我們知道基督徒很有力量
[00:02:46.000 --> 00:02:48.000]  我們有很多時間精力去做事
[00:02:48.000 --> 00:02:50.000]  但是我們很多時候分不清
[00:02:50.000 --> 00:02:52.000]  什麼是神的旨意
[00:02:52.000 --> 00:02:54.000]  以至於我們不知道要做什麼
[00:02:54.000 --> 00:02:56.000]  很多時候我們不是說沒有動力
[00:02:56.000 --> 00:02:58.000]  好像一架船一樣
[00:02:58.000 --> 00:03:00.000]  一架飛機一樣
[00:03:00.000 --> 00:03:02.000]  有動力發展
[00:03:02.000 --> 00:03:04.000]  但是如果走錯方向
[00:03:04.000 --> 00:03:06.000]  可能倒過來
[00:03:06.000 --> 00:03:08.000]  不是走在神的心意當中
[00:03:08.000 --> 00:03:10.000]  很多時候我們要搞清楚
[00:03:10.000 --> 00:03:12.000]  哪些是神的心意
[00:03:12.000 --> 00:03:14.000]  知道了之後我們努力地去
[00:03:14.000 --> 00:03:16.000]  門訓
[00:03:16.000 --> 00:03:18.000]  大家記得在聖經
[00:03:18.000 --> 00:03:20.000]  特別是馬太福音最後的時間
[00:03:20.000 --> 00:03:22.000]  耶穌基督說什麼
[00:03:22.000 --> 00:03:24.000]  叫我們好好地去做見證
[00:03:24.000 --> 00:03:26.000]  這個是我們所得到的命令
[00:03:26.000 --> 00:03:28.000]  或者教導
[00:03:28.000 --> 00:03:30.000]  這段經文看起來好像
[00:03:30.000 --> 00:03:32.000]  災難片一樣
[00:03:32.000 --> 00:03:34.000]  裡面有神秘的見證人
[00:03:34.000 --> 00:03:36.000]  名字沒有提到
[00:03:36.000 --> 00:03:38.000]  他們有超能力
[00:03:38.000 --> 00:03:40.000]  他們可以死而復活
[00:03:40.000 --> 00:03:42.000]  還有大地震
[00:03:42.000 --> 00:03:44.000]  但是這個不是一個科幻小說
[00:03:44.000 --> 00:03:46.000]  是神透過約翰
[00:03:46.000 --> 00:03:48.000]  給我們啟示的屬靈真理
[00:03:48.000 --> 00:03:50.000]  透過這段經文
