
[00:00:00.000 --> 00:00:02.500]  今天要和大家分享一個人物
[00:00:02.500 --> 00:00:04.500]  這個人物我們都很熟悉
[00:00:04.500 --> 00:00:08.100]  不過這個人物在聖經裏面要這樣稱呼他
[00:00:08.100 --> 00:00:13.300]  我發覺沒有哪個人在聖經裏面是用這樣稱呼這個人的
[00:00:13.300 --> 00:00:16.800]  就是稱他為「神的朋友」
[00:00:16.800 --> 00:00:19.300]  「神的朋友」
[00:00:19.300 --> 00:00:21.900]  弟兄姊妹 你想不想做「神的朋友」?
[00:00:21.900 --> 00:00:24.400]  想不想?
[00:00:24.400 --> 00:00:26.700]  想啊 我想大家都想做「神的朋友」
[00:00:26.700 --> 00:00:32.500]  怎麼做呢?我們都希望每個人都是「神的粉絲」
[00:00:32.500 --> 00:00:35.000]  怎麼做「神的朋友」呢?
[00:00:35.000 --> 00:00:40.000]  這個人是阿伯拉罕
[00:00:40.000 --> 00:00:42.000]  舊約的人物 即是阿伯拉罕
[00:00:42.000 --> 00:00:46.600]  聖經裏面有三處地方稱他為「神的朋友」
[00:00:46.600 --> 00:00:51.300]  包括在歷代之下 20章第7節
[00:00:51.300 --> 00:00:54.100]  以賽亞書 41章第8節
[00:00:54.100 --> 00:00:57.300]  以及亞國書 2章23節 有新約有舊約
[00:00:57.300 --> 00:00:58.300]  重複稱呼他
[00:00:58.300 --> 00:01:04.900]  我發覺沒有其他人是用這個稱號套在他身上的
[00:01:04.900 --> 00:01:06.500]  為什麼他可以成為「神的朋友」呢?
[00:01:06.500 --> 00:01:08.500]  我想大家先看看一段經文
[00:01:08.500 --> 00:01:13.200]  就是亞國書的2章23節
[00:01:13.200 --> 00:01:15.400]  我們先看看這個
[00:01:15.400 --> 00:01:17.900]  然後引述今天要講的聖經
[00:01:17.900 --> 00:01:23.900]  亞國書2章23節
[00:01:23.900 --> 00:01:26.700]  一方面等PowerPoint
[00:01:26.700 --> 00:01:28.700]  另一方面可以打開你的聖經
[00:01:28.700 --> 00:01:30.900]  打開你的電話
[00:01:30.900 --> 00:01:32.700]  看看你的經文
[00:01:32.700 --> 00:01:33.700]  2章23節
[00:01:33.700 --> 00:01:35.700]  我們一起讀一次好嗎?
[00:01:35.700 --> 00:01:36.700]  請
[00:01:36.700 --> 00:01:40.100]  「這就應驗經上所說
[00:01:40.100 --> 00:01:42.500]  阿伯拉罕信上帝
[00:01:42.500 --> 00:01:44.700]  這就算為他的義
[00:01:44.700 --> 00:01:47.900]  他又稱為上帝的朋友」
[00:01:47.900 --> 00:01:49.900]  怎麼才能稱為「神的朋友」呢?
[00:01:49.900 --> 00:01:52.100]  亞國就要這樣理解
[00:01:52.100 --> 00:01:54.700]  因為阿伯拉罕信上帝
[00:01:54.700 --> 00:01:58.700]  所以他得稱為義
[00:01:58.700 --> 00:02:00.300]  這就算為他的義
[00:02:00.300 --> 00:02:03.300]  這樣他就成為「神的朋友」
[00:02:03.300 --> 00:02:07.100]  信上帝以至得稱為義
[00:02:07.100 --> 00:02:09.100]  所以他就成為「神的朋友」
[00:02:09.100 --> 00:02:12.700]  看上去好像不是很困難
[00:02:12.700 --> 00:02:14.700]  看上去是一個很簡單
[00:02:14.700 --> 00:02:16.500]  我們很熟悉的一個真理
[00:02:16.500 --> 00:02:19.300]  我們中間所有人都是信上帝的
[00:02:19.300 --> 00:02:23.700]  我們都是信上帝稱我們為義
[00:02:23.700 --> 00:02:26.100]  所以我們都應該是「神的朋友」
[00:02:26.100 --> 00:02:28.700]  不過如果你再看多前面一點
[00:02:28.700 --> 00:02:30.700]  你會發覺得稱為「神的朋友」
[00:02:30.700 --> 00:02:32.300]  不是那麼簡單
[00:02:32.300 --> 00:02:34.100]  如果再前兩節
[00:02:34.100 --> 00:02:35.100]  大家看一看
[00:02:35.100 --> 00:02:36.100]  21節
[00:02:36.100 --> 00:02:38.100]  他這樣說的
[00:02:38.100 --> 00:02:39.100]  21節
[00:02:39.100 --> 00:02:42.900]  「我們的祖宗阿伯拉罕
[00:02:42.900 --> 00:02:46.900]  把他兒子以撒獻在壇上
[00:02:46.900 --> 00:02:50.700]  豈不是因行為稱義嗎?
[00:02:50.700 --> 00:02:53.900]  可見信心是與他的行為並行
[00:02:53.900 --> 00:02:57.900]  並且信心因著行為才得成全」
[00:02:57.900 --> 00:03:01.300]  這才帶到我們剛才讀的那節聖經
[00:03:01.300 --> 00:03:02.900]  所以其實他想說的
[00:03:02.900 --> 00:03:05.700]  阿伯拉罕能夠稱為「神的朋友」
[00:03:05.700 --> 00:03:07.500]  沒錯,因為他信神
[00:03:07.500 --> 00:03:09.100]  所以他被稱為義
[00:03:09.100 --> 00:03:12.900]  不過這個信神的背後帶著一個行動
[00:03:12.900 --> 00:03:17.100]  一個行動,一個行為,印證了他真的相信
[00:03:17.100 --> 00:03:21.100]  而這個行為的難度真的不少
[00:03:21.100 --> 00:03:22.700]  我們中間都是家庭人
[00:03:22.700 --> 00:03:26.100]  我們明白這個行動背後的難度在哪裡
[00:03:26.100 --> 00:03:29.100]  以撒是雅各能連老
[00:03:29.100 --> 00:03:30.300]  即是所生的兒子
[00:03:30.300 --> 00:03:31.700]  是神應許他的
[00:03:31.700 --> 00:03:33.900]  各位的出生的兒子
[00:03:33.900 --> 00:03:37.100]  這個可以說是阿伯拉罕信心的高峰
[00:03:37.100 --> 00:03:39.100]  《創世紀》22章記載這件事
[00:03:39.100 --> 00:03:41.100]  就是阿伯拉罕聽神的話
[00:03:41.100 --> 00:03:44.100]  將他這個年少的兒子帶上山
[00:03:44.100 --> 00:03:46.100]  獻給神為祭
[00:03:46.100 --> 00:03:48.100]  當然他去的時候
[00:03:48.100 --> 00:03:50.100]  他是想著他的兒子會死而復生
[00:03:50.100 --> 00:03:52.100]  他想著會這樣的
[00:03:52.100 --> 00:03:54.100]  結果神為他另外安排,另外預備
[00:03:54.100 --> 00:03:56.100]  但是我想說的就是
[00:03:56.100 --> 00:03:59.100]  原來得稱為「神的朋友」對於阿伯拉罕來說
[00:03:59.100 --> 00:04:01.100]  原來是有這個背景的
[00:04:01.100 --> 00:04:03.100]  他能夠做到這一步
[00:04:03.100 --> 00:04:04.100]  顯出他的信心
[00:04:04.100 --> 00:04:07.100]  所以他就得稱為「神的朋友」
[00:04:07.100 --> 00:04:12.100]  各位兄姊妹,難不難?
[00:04:12.100 --> 00:04:14.100]  當然很難
[00:04:14.100 --> 00:04:15.100]  我們特別會明白的
[00:04:15.100 --> 00:04:16.100]  我跟清晨區說
[00:04:16.100 --> 00:04:18.100]  他們好像都是這樣
[00:04:18.100 --> 00:04:20.100]  跟我們說我們會特別明白的
[00:04:20.100 --> 00:04:22.100]  將兒子獻上
[00:04:22.100 --> 00:04:26.100]  我覺得這是阿伯拉罕信心的高峰
[00:04:26.100 --> 00:04:28.100]  但是他要去到這一步
[00:04:28.100 --> 00:04:30.100]  其實是有一個過程的
[00:04:30.100 --> 00:04:32.100]  那個過程你可以說是他很多年
[00:04:32.100 --> 00:04:34.100]  很多年跟神一起同行
[00:04:34.100 --> 00:04:36.100]  中間帶到這一步
[00:04:36.100 --> 00:04:38.100]  他可以走到這一步
[00:04:38.100 --> 00:04:41.100]  能夠有信心踏上這個旅程
[00:04:41.100 --> 00:04:43.100]  這個過程是怎樣的呢?
[00:04:43.100 --> 00:04:45.100]  今天我們就想和大家看看這一段經文
[00:04:45.100 --> 00:04:47.100]  就是《創世紀》第十八章
[00:04:47.100 --> 00:04:51.100]  記載他跟上帝同行的一段記錄
[00:04:51.100 --> 00:04:53.100]  這段記錄可以說是
[00:04:53.100 --> 00:04:56.100]  阿伯拉罕這一位信心之父
[00:04:56.100 --> 00:04:59.100]  他在他跟神建立關係的過程中間
[00:04:59.100 --> 00:05:00.100]  發生了一件事
[00:05:00.100 --> 00:05:02.100]  他跟神一起走
[00:05:02.100 --> 00:05:05.100]  一起走出現了這件事
[00:05:05.100 --> 00:05:10.100]  《創世紀》第十八章第十六節開始
[00:05:10.100 --> 00:05:14.100]  這段講的是阿伯拉罕跟神一起走
[00:05:14.100 --> 00:05:16.100]  大家知不知道呢
[00:05:16.100 --> 00:05:19.100]  我不知道你喜不喜歡跟朋友一起走
[00:05:19.100 --> 00:05:21.100]  其實我自己和朋友聊天
[00:05:21.100 --> 00:05:23.100]  如果兩個人坐在房間裡
[00:05:23.100 --> 00:05:25.100]  坐在椅子上你望我眼這樣聊
[00:05:25.100 --> 00:05:27.100]  其實就好像不太自在
[00:05:27.100 --> 00:05:31.100]  如果大家一起走街
[00:05:31.100 --> 00:05:32.100]  走公園
[00:05:32.100 --> 00:05:33.100]  走馬路
[00:05:33.100 --> 00:05:34.100]  走去搭車
[00:05:34.100 --> 00:05:36.100]  在走的過程中
[00:05:36.100 --> 00:05:39.100]  比較容易聊天
[00:05:39.100 --> 00:05:41.100]  大家間中望開闊前面的路
[00:05:41.100 --> 00:05:42.100]  望一下他的樣子
[00:05:42.100 --> 00:05:43.100]  望一下前面
[00:05:43.100 --> 00:05:46.100]  這種情景心是容易些
[00:05:46.100 --> 00:05:47.100]  容易些舒服些
[00:05:47.100 --> 00:05:48.100]  容易些分享
[00:05:48.100 --> 00:05:50.100]  容易些交流
[00:05:50.100 --> 00:05:53.100]  我不知道你是否有這種經驗
[00:05:53.100 --> 00:05:55.100]  我就是有這種經驗
[00:05:55.100 --> 00:05:58.100]  一邊走一邊聊是最自然的
[00:05:58.100 --> 00:05:59.100]  有一種心理學
[00:05:59.100 --> 00:06:00.100]  輔導是這樣說的
[00:06:00.100 --> 00:06:03.100]  叫做walk and talk
[00:06:03.100 --> 00:06:04.100]  意思就是說
[00:06:04.100 --> 00:06:07.100]  在一邊走的過程中間
[00:06:07.100 --> 00:06:09.100]  人一邊移動
[00:06:09.100 --> 00:06:10.100]  移動的時候
[00:06:10.100 --> 00:06:11.100]  身體的移動
[00:06:11.100 --> 00:06:13.100]  會帶給他這個人的腦
[00:06:13.100 --> 00:06:15.100]  活躍些
[00:06:15.100 --> 00:06:17.100]  還有他裡面那種
[00:06:17.100 --> 00:06:20.100]  塞住的感覺容易放鬆
[00:06:20.100 --> 00:06:22.100]  容易暢通些
[00:06:22.100 --> 00:06:23.100]  他裡面
[00:06:23.100 --> 00:06:25.100]  深層裡面那種想法
[00:06:25.100 --> 00:06:26.100]  他那種創意
[00:06:26.100 --> 00:06:30.100]  是容易被撩起
[00:06:30.100 --> 00:06:31.100]  會被撩起
[00:06:31.100 --> 00:06:34.100]  所以有些人做輔導過程
[00:06:34.100 --> 00:06:35.100]  有時會用這種方法
[00:06:35.100 --> 00:06:36.100]  不如不要坐在輔導房裡
[00:06:36.100 --> 00:06:37.100]  兩個人對望
[00:06:37.100 --> 00:06:38.100]  不如這樣
[00:06:38.100 --> 00:06:39.100]  先出去走走
[00:06:39.100 --> 00:06:40.100]  一邊走一邊聊
[00:06:40.100 --> 00:06:41.100]  一邊走一邊聊
[00:06:41.100 --> 00:06:42.100]  好像拍拖
[00:06:42.100 --> 00:06:43.100]  拍拖也是這樣
[00:06:43.100 --> 00:06:45.100]  拍拖也是一邊走一邊聊
[00:06:45.100 --> 00:06:46.100]  一邊走一邊聊
[00:06:46.100 --> 00:06:49.100]  大家的情感就會有所增長
[00:06:49.100 --> 00:06:50.100]  與神同行
[00:06:50.100 --> 00:06:52.100]  阿伯拉罕這段經文記載
[00:06:52.100 --> 00:06:55.100]  阿伯拉罕如何與神同行的
[00:06:55.100 --> 00:06:57.100]  其中一段記錄
[00:06:57.100 --> 00:06:59.100]  請大家打開這段經文
[00:06:59.100 --> 00:07:00.100]  第十六節
[00:07:00.100 --> 00:07:03.100]  我想先說說之前的背景
[00:07:03.100 --> 00:07:05.100]  前文記載阿伯拉罕
[00:07:05.100 --> 00:07:10.100]  作為一個招待客人的主人
[00:07:10.100 --> 00:07:13.100]  他招待了三個陌生人
[00:07:13.100 --> 00:07:15.100]  在他家裡吃了一餐
[00:07:15.100 --> 00:07:16.100]  厲害的
[00:07:16.100 --> 00:07:18.100]  古代的東方
[00:07:18.100 --> 00:07:20.100]  即中東的地方
[00:07:20.100 --> 00:07:22.100]  當然與今天的環境很不同
[00:07:22.100 --> 00:07:24.100]  古代的半沙漠地方
[00:07:24.100 --> 00:07:25.100]  抗疫的地方
[00:07:25.100 --> 00:07:26.100]  不是到處可以有旅店
[00:07:26.100 --> 00:07:28.100]  所以如果有人出遠行
[00:07:28.100 --> 00:07:30.100]  去到那個地方
[00:07:30.100 --> 00:07:32.100]  見到有人住的話
[00:07:32.100 --> 00:07:35.100]  那個主人
[00:07:35.100 --> 00:07:37.100]  其實他有一個很大的義務
[00:07:37.100 --> 00:07:39.100]  要去招呼他
[00:07:39.100 --> 00:07:40.100]  因為招待他吃了一餐
[00:07:40.100 --> 00:07:41.100]  讓他休息一下
[00:07:41.100 --> 00:07:42.100]  甚至讓他過一晚夜
[00:07:42.100 --> 00:07:44.100]  讓他日後可以繼續上路
[00:07:44.100 --> 00:07:45.100]  所以聖經裡面
