
[00:00:00.000 --> 00:00:05.420]  奉主的名來問候弟兄姊妹平安
[00:00:05.420 --> 00:00:12.980]  我今天所講的題目是耶利畏和上帝的對話第三講
[00:00:12.980 --> 00:00:17.560]  今天我想講的是耶利畏和上帝對話的第三講
[00:00:17.560 --> 00:00:22.940]  上帝要審判所有的民族
[00:00:22.940 --> 00:00:28.340]  即地上萬民、選民和外邦人
[00:00:28.340 --> 00:00:30.220]  跟著外邦人也是一樣
[00:00:30.220 --> 00:00:32.300]  上文是一到六節
[00:00:32.300 --> 00:00:38.860]  耶利畏問:惡人為甚麼這麼風生水起?
[00:00:38.860 --> 00:00:46.020]  上帝在五到六節已經回答了
[00:00:46.020 --> 00:00:52.620]  我記得我上次漏講了十二章四節
[00:00:52.620 --> 00:00:58.780]  上一次我還漏講了第四節的經文
[00:00:58.780 --> 00:01:05.460]  第四節是今天講題的主要原因
[00:01:05.460 --> 00:01:09.500]  十二章四節也可以說是非常重要
[00:01:09.500 --> 00:01:12.020]  跟今天的講題非常有關係
[00:01:12.020 --> 00:01:16.700]  第四節講的是地
[00:01:16.700 --> 00:01:22.060]  今天稍後又會講地,所以這個第四節我很抱歉,現在要補回
[00:01:22.060 --> 00:01:28.380]  我們繼續講到地這個題目,但是我們現在先補一下
[00:01:28.380 --> 00:01:37.940]  耶利畏指出,猶太地悲哀是因為全國的地土
[00:01:37.940 --> 00:01:43.460]  只是生乾草,沒有出產
[00:01:43.460 --> 00:01:52.620]  沒有草的畜類,育仔也沒有糧食
[00:01:52.620 --> 00:01:56.220]  一同受禍害
[00:01:56.220 --> 00:02:07.860]  這個情形可以回復到創世紀未創造大地之前
[00:02:07.860 --> 00:02:10.980]  甚至可以說是空虛混沌的時候
[00:02:10.980 --> 00:02:16.140]  這個回應到創世紀裡面空虛混沌的時間的光景
[00:02:16.140 --> 00:02:20.860]  當上帝拿走一些祝福的時候
[00:02:20.860 --> 00:02:22.780]  是逼著上帝不好的心意
[00:02:22.780 --> 00:02:26.340]  上帝的displeasure
[00:02:26.340 --> 00:02:29.060]  上帝覺得非常不開心的
[00:02:29.060 --> 00:02:39.100]  所以今天我們經常看到這些天災、風災、人禍
[00:02:39.100 --> 00:02:41.100]  可以想到這件事嗎?
[00:02:41.100 --> 00:02:51.980]  是上帝表現出他對這個世界的不滿的表情
[00:02:51.980 --> 00:02:55.180]  我們中國人也有同一句話
[00:02:55.180 --> 00:02:57.780]  雷公響的時候
[00:02:57.780 --> 00:03:01.380]  打雷的時候
[00:03:01.380 --> 00:03:03.180]  你要問問自己有沒有做陰則事
[00:03:03.180 --> 00:03:06.780]  你要問自己有沒有做錯什麼有害的事
[00:03:06.780 --> 00:03:09.700]  這個不是信耶穌的,這是公眾話
[00:03:09.700 --> 00:03:13.660]  這個不是關心耶穌的事情,這是普遍的一個概念
[00:03:13.660 --> 00:03:17.420]  所以當地上有災禍,你不如意的時候
[00:03:17.420 --> 00:03:18.780]  上帝是發出警告的
[00:03:18.780 --> 00:03:21.260]  所以當地上有很多災禍的時候
[00:03:21.260 --> 00:03:24.100]  也代表上帝來發出這個警告
[00:03:24.100 --> 00:03:27.140]  OK,在尼耶利的書中看到
[00:03:27.140 --> 00:03:29.540]  地有這樣的情形出現
[00:03:29.540 --> 00:03:32.780]  是因為地上的居民的惡行
[00:03:32.780 --> 00:03:36.380]  所以在尼耶利的書中,我們看到地上有這樣的惡性
[00:03:36.380 --> 00:03:40.060]  是因為同時這些災害產生出人的惡性
[00:03:40.060 --> 00:03:43.100]  因此他們不能享受上帝的恩允
[00:03:43.100 --> 00:03:46.860]  因此他們不能享受上帝所賜予的恩允
[00:03:46.860 --> 00:03:48.380]  其實這個主題
[00:03:48.380 --> 00:03:50.060]  是上面這個主題
[00:03:50.060 --> 00:03:53.340]  在《列王記》上17章有講過的
[00:03:53.340 --> 00:03:56.860]  曾在《列王記》上的17章曾經講過的主題
[00:03:56.860 --> 00:03:57.940]  伊利亞時代
[00:03:57.940 --> 00:03:58.980]  伊利亞的時代
[00:03:58.980 --> 00:04:00.220]  伊利亞出生的時候
[00:04:00.220 --> 00:04:01.380]  伊利亞出生的時候
[00:04:01.380 --> 00:04:02.940]  地就旱三年多
[00:04:02.940 --> 00:04:05.700]  地就發生旱災三年
[00:04:05.700 --> 00:04:07.380]  在災難當中
[00:04:07.380 --> 00:04:09.180]  在災難當中
[00:04:09.180 --> 00:04:10.740]  猶太地的異人
[00:04:10.740 --> 00:04:12.980]  猶太地的異人
[00:04:12.980 --> 00:04:13.940]  一樣受罰
[00:04:13.940 --> 00:04:15.580]  一樣受苦
[00:04:15.580 --> 00:04:17.140]  因此耶利米問
[00:04:17.140 --> 00:04:18.660]  因此耶利米問
[00:04:18.660 --> 00:04:20.980]  上帝為何容忍這些異人
[00:04:20.980 --> 00:04:22.980]  給這些惡人淚呢?
[00:04:22.980 --> 00:04:24.260]  所以耶利米問上帝
[00:04:24.260 --> 00:04:28.700]  為什麼這些異人給這些惡人來的連累呢?
[00:04:28.700 --> 00:04:30.340]  一同受苦到什麼時候呢?
[00:04:30.340 --> 00:04:33.140]  他們要一同受苦到多久呢?
[00:04:33.140 --> 00:04:35.100]  這個問題其實有百多個問題
[00:04:35.100 --> 00:04:37.940]  這個問題基本上也是伊爾摩基裡面的問題
[00:04:37.940 --> 00:04:39.060]  耶穌也有解答
[00:04:39.060 --> 00:04:40.780]  耶穌基督也有解答
[00:04:40.780 --> 00:04:41.900]  耶穌一生
[00:04:41.900 --> 00:04:42.740]  耶穌的一生
[00:04:42.740 --> 00:04:43.700]  就是解答這個問題
[00:04:43.700 --> 00:04:45.220]  就是解答這個問題
[00:04:45.220 --> 00:04:46.460]  耶穌來是不是受苦呢?
[00:04:46.460 --> 00:04:48.300]  耶穌來是不是受苦呢?
[00:04:48.300 --> 00:04:49.980]  耶穌有沒有犯罪?
[00:04:49.980 --> 00:04:51.060]  耶穌有沒有犯罪?
[00:04:51.060 --> 00:04:52.020]  沒有
[00:04:52.020 --> 00:04:52.940]  因為我們的罪
[00:04:52.940 --> 00:04:53.700]  那是因為我們的罪
[00:04:53.700 --> 00:04:54.540]  所以祂受苦
[00:04:54.540 --> 00:04:55.500]  所以祂受苦
[00:04:55.500 --> 00:04:56.900]  所以異人要受苦
[00:04:56.900 --> 00:04:58.580]  所以日人要受苦的
[00:04:58.580 --> 00:04:59.620]  耶利米在這裡看到
[00:04:59.620 --> 00:05:00.860]  耶利米在這裡看到
[00:05:00.860 --> 00:05:02.180]  上帝的計劃呢?
[00:05:02.180 --> 00:05:03.380]  上帝的計劃裡面
[00:05:03.380 --> 00:05:05.380]  我的兒子也因為你們這群壞人
[00:05:05.380 --> 00:05:06.500]  也受苦了
[00:05:06.500 --> 00:05:09.700]  連上帝的兒子也因為這些罪人來受苦了
[00:05:09.700 --> 00:05:10.700]  頂止我們讀聖經
[00:05:10.700 --> 00:05:12.180]  要有一個很宏觀的角度
[00:05:12.180 --> 00:05:12.700]  聖經裡面
[00:05:12.700 --> 00:05:16.540]  我們讀聖經應該要有一個宏觀的角度來看
[00:05:16.540 --> 00:05:17.900]  那麼
[00:05:17.900 --> 00:05:19.620]  耶利米就說了
