
[00:00:00.000 --> 00:00:04.000]  今日我用咗兩節好特別嘅聖經同大家分享
[00:00:04.000 --> 00:00:06.000]  做一個我今日講到嘅焦點
[00:00:06.000 --> 00:00:11.000]  或者話我講到嘅焦點經文
[00:00:11.000 --> 00:00:16.000]  咁就係剛才你哋部長同你哋讀咗嘅嗰兩節聖經
[00:00:16.000 --> 00:00:20.000]  咁你或者會覺得兩節聖經好似唔係幾拉間㗎喎
[00:00:20.000 --> 00:00:23.000]  一個係詩篇 一個係新約
[00:00:23.000 --> 00:00:27.000]  咁其實裏面同樣一個嘅訊息
[00:00:27.000 --> 00:00:32.000]  詩篇佢話主發命令傳好訊息嘅婦女成了大群
[00:00:32.000 --> 00:00:37.000]  後面呢節就係話我哋係與神同工
[00:00:37.000 --> 00:00:40.000]  我點解揀呢兩節聖經呢
[00:00:40.000 --> 00:00:43.000]  其實第一節詩篇六十八篇
[00:00:43.000 --> 00:00:52.000]  十一節係我哋美北朝語浸信會系列嘅女聯會嘅標語
[00:00:52.000 --> 00:00:57.000]  下面呢節就係美南浸信會即係旺浸呀你哋教會呀
[00:00:57.000 --> 00:01:02.000]  呢個我哋屬於美南浸信會嘅女聯會嘅一個嘅標語
[00:01:02.000 --> 00:01:06.000]  女聯會係乜嘢呢
[00:01:06.000 --> 00:01:08.000]  我時時都同我嘅會友講
[00:01:08.000 --> 00:01:12.000]  我哋女傳道會呢係一個好特別嘅團契
[00:01:12.000 --> 00:01:16.000]  我唔知在座弟兄姊妹知唔知可能你哋教會咁大呢
[00:01:16.000 --> 00:01:19.000]  可能你哋都唔係好為意呢啲嘢嘅
[00:01:19.000 --> 00:01:23.000]  女傳道會呢係一個即係佢係教會裏面一個團契
[00:01:23.000 --> 00:01:26.000]  但係佢又多過一個團契
[00:01:26.000 --> 00:01:31.000]  佢係一個小組但係佢又多過一個小組
[00:01:31.000 --> 00:01:35.000]  點解呢因為女傳道會係一個國際性嘅機構
[00:01:35.000 --> 00:01:38.000]  係一個國際性嘅團契嚟嘅
[00:01:38.000 --> 00:01:41.000]  咁佢係起於呢一個宣教士叫Rottie Moon
[00:01:41.000 --> 00:01:44.000]  佢嚟中國傳道
[00:01:44.000 --> 00:01:47.000]  咁佢就身邊有幾位好姊妹
[00:01:47.000 --> 00:01:49.000]  咁就喺美國就為佢祈禱
[00:01:49.000 --> 00:01:52.000]  咁就佢嚟咗中國有啲咩需要呢
[00:01:52.000 --> 00:01:55.000]  佢就話畀啲姊妹聽寫信返去
[00:01:55.000 --> 00:01:58.000]  咁佢哋呢就為佢祈禱啦為佢奉獻啦
[00:01:58.000 --> 00:02:00.000]  咁佢嗰邊有大件事呀
