
[00:00:00.000 --> 00:00:02.000]  「大英姊妹主內平安」
[00:00:02.000 --> 00:00:06.000]  今年是我們教會三十週年
[00:00:06.000 --> 00:00:11.000]  剛才也聽到唐sir跟我們說的很好的見證
[00:00:11.000 --> 00:00:16.000]  我從來沒聽過這麼溫柔的聲音
[00:00:16.000 --> 00:00:18.000]  從一個老師那裡發出來的
[00:00:18.000 --> 00:00:21.000]  我記得我小時候那些老師全部都是很厲害的
[00:00:21.000 --> 00:00:23.000]  男也好 女也好
[00:00:23.000 --> 00:00:27.000]  留下給我很多的創傷後遺症
[00:00:27.000 --> 00:00:31.000]  今天的題目是「罪與死」
[00:00:31.000 --> 00:00:33.000]  跟「創世記」有關
[00:00:33.000 --> 00:00:36.000]  之前我在「創世記」也說了六堂
[00:00:36.000 --> 00:00:38.000]  說到創造
[00:00:38.000 --> 00:00:41.000]  我打算不再說「創世記」了
[00:00:41.000 --> 00:00:45.000]  就像教會姊妹一樣
[00:00:45.000 --> 00:00:47.000]  不嫁有嫁
[00:00:47.000 --> 00:00:50.000]  我打算繼續說「創世記」下去
[00:00:50.000 --> 00:00:54.000]  其實「創世記」這個字英文是Genesis
[00:00:54.000 --> 00:00:57.000]  其實中文翻譯「創世記」
[00:00:57.000 --> 00:01:00.000]  就不是太正確
[00:01:00.000 --> 00:01:05.000]  Genesis這個字其實是源於拉丁文
[00:01:05.000 --> 00:01:08.000]  而拉丁文也是源於希臘文
[00:01:08.000 --> 00:01:10.000]  意思是In the beginning
[00:01:10.000 --> 00:01:12.000]  一個起源的意思
[00:01:12.000 --> 00:01:13.000]  一個origin的意思
[00:01:13.000 --> 00:01:16.000]  所以其實「創世」這個creation
[00:01:16.000 --> 00:01:19.000]  只不過是part of「創世記」
[00:01:19.000 --> 00:01:21.000]  只不過頭兩章
[00:01:21.000 --> 00:01:25.000]  其實Genesis是說到一些起源的事
[00:01:25.000 --> 00:01:29.000]  所謂Genesis這個字就是
[00:01:29.000 --> 00:01:31.000]  譬如基因Gene
[00:01:31.000 --> 00:01:33.000]  Gene就是Genesis這個字
[00:01:33.000 --> 00:01:35.000]  就是我們生命的起源
[00:01:35.000 --> 00:01:39.000]  生命最基本的因素
[00:01:39.000 --> 00:01:41.000]  就是Gene
[00:01:41.000 --> 00:01:44.000]  所以之前說到Creation的時候
[00:01:44.000 --> 00:01:46.000]  說到創造的時候
[00:01:46.000 --> 00:01:51.000]  就看到上帝創造這個宇宙
[00:01:51.000 --> 00:01:53.000]  這個宇宙的起源
[00:01:53.000 --> 00:01:56.000]  生命的起源
[00:01:56.000 --> 00:01:58.000]  日後就看到「創世記」
[00:01:58.000 --> 00:02:00.000]  也說到是關於阿巴拉罕
[00:02:00.000 --> 00:02:01.000]  以撒亞各
[00:02:01.000 --> 00:02:03.000]  就是猶太人的起源
[00:02:03.000 --> 00:02:05.000]  今天說的是什麼起源呢
[00:02:05.000 --> 00:02:07.000]  今天說的是罪的起源
[00:02:07.000 --> 00:02:09.000]  以及死亡的起源
[00:02:09.000 --> 00:02:11.000]  所以題目就是罪與死
[00:02:11.000 --> 00:02:13.000]  比較信是灰一點的
[00:02:13.000 --> 00:02:16.000]  但當然只說罪與死就比較灰
[00:02:16.000 --> 00:02:18.000]  但當然我們信徒的
[00:02:18.000 --> 00:02:20.000]  我們知道因為罪有死
[00:02:20.000 --> 00:02:22.000]  我們有上帝
[00:02:22.000 --> 00:02:24.000]  有主耶穌基督的救贖
[00:02:24.000 --> 00:02:26.000]  所以其實那個訊息是正面
[00:02:26.000 --> 00:02:28.000]  不是反面
[00:02:28.000 --> 00:02:31.000]  你可以說
[00:02:31.000 --> 00:02:33.000]  亞當和夏娃犯罪
[00:02:33.000 --> 00:02:35.000]  和我有什麼關係
[00:02:35.000 --> 00:02:37.000]  我們經常說看聖經
[00:02:37.000 --> 00:02:38.000]  我們常常看就是
[00:02:38.000 --> 00:02:39.000]  究竟聖經是上帝
[00:02:39.000 --> 00:02:41.000]  和我們說了什麼話
[00:02:41.000 --> 00:02:43.000]  關我什麼事 與我何干
[00:02:43.000 --> 00:02:46.000]  但大家讀過兩段聖經
[00:02:46.000 --> 00:02:48.000]  就很清楚知道
[00:02:48.000 --> 00:02:50.000]  這是一個原罪的問題
[00:02:50.000 --> 00:02:52.000]  今天我不想說高深的神學
[00:02:52.000 --> 00:02:54.000]  但保羅的神學
[00:02:54.000 --> 00:02:57.000]  是很著重一件事
[00:02:57.000 --> 00:03:01.000]  就是從亞當一個人來到
[00:03:01.000 --> 00:03:04.000]  而救贖是從耶穌基督
[00:03:04.000 --> 00:03:06.000]  所以有一個叫做
[00:03:06.000 --> 00:03:10.000]  「第二亞當」的神學理論
[00:03:10.000 --> 00:03:13.000]  就是耶穌就是第二個亞當
[00:03:13.000 --> 00:03:15.000]  今天我們不是討論這個問題
[00:03:15.000 --> 00:03:18.000]  只是看回剛才羅馬書五章說
[00:03:18.000 --> 00:03:20.000]  「罪從一個人進入世界」
[00:03:20.000 --> 00:03:22.000]  這個人就是從我們的祠祖
[00:03:22.000 --> 00:03:24.000]  「死又從罪而來」
[00:03:24.000 --> 00:03:29.000]  罪的結果就是死
