
[00:00:00.000 --> 00:00:04.000]  今天我們又回到耶穌比喻的系列裡面
[00:00:04.000 --> 00:00:08.000]  在耶穌的時代 窮是很普遍的
[00:00:08.000 --> 00:00:12.000]  有錢的可以很有錢 窮的可以很窮
[00:00:12.000 --> 00:00:16.000]  幾乎沒有今天我們所謂的中產階級
[00:00:16.000 --> 00:00:21.000]  社會上階級的分野是很明顯的
[00:00:21.000 --> 00:00:26.000]  不同社會的階層是不會跨過自己的階級
[00:00:26.000 --> 00:00:29.000]  而走去其他階層的世界
[00:00:29.000 --> 00:00:33.000]  或者未必會跟他們來往建立關係
[00:00:33.000 --> 00:00:37.000]  這個情況就有點像印度
[00:00:37.000 --> 00:00:42.000]  印度的傳統文化有所謂的眾姓制度
[00:00:42.000 --> 00:00:45.000]  眾姓制度 眾就是姦眾的眾
[00:00:45.000 --> 00:00:49.000]  姓是姓氏的姓 就是你姓什麼的那個姓
[00:00:49.000 --> 00:00:54.000]  其實是一個與生俱來的世襲的制度
[00:00:54.000 --> 00:00:55.000]  是一個階級的制度
[00:00:55.000 --> 00:01:01.000]  高眾姓的人是不會跟低眾姓的人來往
[00:01:01.000 --> 00:01:07.000]  通婚 有很多的交往都不會的
[00:01:07.000 --> 00:01:13.000]  很多年前有一套印度的電影叫作死不離三兄弟
[00:01:13.000 --> 00:01:15.000]  我不知道大家有沒有看過
[00:01:15.000 --> 00:01:19.000]  都是曾經香港比較賣座的印度電影
[00:01:19.000 --> 00:01:22.000]  你都知道印度電影不是一個主流
[00:01:22.000 --> 00:01:28.000]  這套電影有三個男主角
[00:01:28.000 --> 00:01:32.000]  他們在一間大學裡讀書
[00:01:32.000 --> 00:01:37.000]  最大的男主角叫Khan
[00:01:37.000 --> 00:01:44.000]  他的身份不是原先的大學生
[00:01:44.000 --> 00:01:51.000]  他是假扮了他家裡的少主人
[00:01:51.000 --> 00:01:54.000]  因為他父親是在他家裡做僕人
[00:01:54.000 --> 00:01:59.000]  假扮了他的少主人幫他讀大學
[00:01:59.000 --> 00:02:04.000]  這套電影其實都講述一種跨階層
[00:02:04.000 --> 00:02:09.000]  女主角是一個教授的女兒 一個醫科生
[00:02:09.000 --> 00:02:12.000]  當然就是男主角喜歡女主角
[00:02:12.000 --> 00:02:16.000]  怎樣跨越那種眾姓的階層
[00:02:16.000 --> 00:02:19.000]  發展的愛情故事
[00:02:19.000 --> 00:02:24.000]  但現實裡很少是這樣
[00:02:24.000 --> 00:02:28.000]  譬如在印度最高的眾姓叫做婆羅門
[00:02:28.000 --> 00:02:33.000]  是一個祭司宗教的階級是最高的
[00:02:33.000 --> 00:02:37.000]  而最低的是賤民
[00:02:37.000 --> 00:02:40.000]  賤民根本就沒有眾姓
[00:02:40.000 --> 00:02:42.000]  他是低到這樣
[00:02:42.000 --> 00:02:45.000]  雖然在法律上在幾十年前
[00:02:45.000 --> 00:02:47.000]  當印度獨立的時候
[00:02:47.000 --> 00:02:51.000]  就已經叫做廢除了眾姓制度
[00:02:51.000 --> 00:02:54.000]  法律上 名義上說廢除就廢除一下
[00:02:54.000 --> 00:02:59.000]  不過現實裡眾姓制度在今時今日
[00:02:59.000 --> 00:03:02.000]  仍然都在影響印度的社會
[00:03:02.000 --> 00:03:06.000]  你說真是很歧視 很不公平
[00:03:06.000 --> 00:03:09.000]  現在印度的社會就是這樣
[00:03:09.000 --> 00:03:11.000]  你會發覺不同的階級
[00:03:11.000 --> 00:03:18.000]  那種觀念原來在古時一直直根在社會裡面
[00:03:18.000 --> 00:03:21.000]  耶穌的時代也不例外
[00:03:21.000 --> 00:03:25.000]  在耶穌的時代唯一可以跨越階級的
[00:03:25.000 --> 00:03:29.000]  很可能就是有錢人去施捨一些窮人
