
[00:00:00.000 --> 00:00:09.000]  「姐妹早晨,健康嘅你每日三餐要少油、少糖、少鹽,以防三高一嵩。」
[00:00:09.000 --> 00:00:14.000]  「但係今日配音全道要分享一篇信息係夠哂鹹嘅信息。」
[00:00:14.000 --> 00:00:29.000]  「愛靚嘅你,可能當你出街嘅時候,特別係夏天嘅時候,無論而家我哋戴口罩得返半邊面,我哋都會做足防曬,以防生雀斑,或者曬到陰陽面。」
[00:00:29.000 --> 00:00:37.000]  「但係今日配音全道要講嘅信息係一篇超級哂嘅信息,係哂到你會殘眼嘅。」
[00:00:37.000 --> 00:00:42.000]  「大英姐妹,你準備好未呢?」
[00:00:42.000 --> 00:01:03.000]  「記得年初嘅時候,鄧木同我哋分享嘅時候,佢話『求賜我悟性』,一個有悟性嘅人,佢從天而來有嗰份屬天嘅智慧同埋聰明,呢啲嘅基督門徒,佢哋有能力可以遞相,可以分別到係屬神嘅旨意。」
[00:01:03.000 --> 00:01:12.000]  「所以呢啲嘅信徒,你睇到佢嘅生命唔單止有悟性,佢哋嘅靈性靈明都係非常之成熟嘅。」
[00:01:12.000 --> 00:01:18.000]  「所以一個有悟性嘅門徒,同樣你都可以見到佢哋有靈明嘅。」
[00:01:18.000 --> 00:01:33.000]  「透過過去嘅星期,鄧木又再鼓勵我哋要喺屬靈上面,要加油,要長進,要操練自己成為一個有深度嘅基督門徒。」
[00:01:33.000 --> 00:01:44.000]  「不管你去研讀神嘅話語,我哋要學習去操練去實踐,每日嚟到去跟隨主,佢量畀我哋嘅份有幾多,我哋就慢慢嚟到去學。」
[00:01:44.000 --> 00:01:53.000]  「所以我哋能夠喺栽培嘅裏面,每一日更新,變化,進步,轉變。」
[00:01:53.000 --> 00:01:58.000]  「以致到我哋嘅屬靈生命就會慢慢勝利。」
[00:01:58.000 --> 00:02:05.000]  「所以今日佩一傳道都好想同大家分享基督門徒究竟係點樣嘅呢。」
[00:02:05.000 --> 00:02:08.000]  「神好想見到我哋係一個乜嘢樣子呢。」
[00:02:08.000 --> 00:02:17.000]  「所以今日神話畀我哋聽,我哋要做一個夠鹹夠照嘅基督門徒啦。」
[00:02:17.000 --> 00:02:20.000]  「咁乜嘢係夠鹹夠照呢?」
[00:02:20.000 --> 00:02:24.000]  「咁我請大英姐妹同我一齊讀出以下嘅經文喎。」
[00:02:24.000 --> 00:02:29.000]  「係馬太福音嘅五章十三至到十六節。」
[00:02:29.000 --> 00:02:33.000]  「馬太福音五章十三至到十六節,嚟我哋一齊讀喇喎。」
[00:02:33.000 --> 00:02:38.000]  「你們是世上的鹽,鹽若失了味,怎能叫它再鹹呢?」
[00:02:38.000 --> 00:02:43.000]  「以後無用,不過凋在外面,被人踐踏了。」
[00:02:43.000 --> 00:02:48.000]  「你們是世上的光,成造在山上,是不能隱藏的。」
[00:02:48.000 --> 00:02:55.000]  「人點燈,不放在斗底下,是放在燈台上,就照亮一家的人。」
[00:02:55.000 --> 00:03:01.000]  「你們的光也當這樣照在人前,叫他們看見你們的好行為。」
[00:03:01.000 --> 00:03:05.000]  「便將榮耀歸給天上的父啦。」
[00:03:05.000 --> 00:03:08.000]  「當我哋讀呢段經文嘅時候,我哋同樣都要知道」
[00:03:08.000 --> 00:03:13.000]  「呢段經文耶穌當時做緊啲乜嘢呢?」
[00:03:13.000 --> 00:03:17.000]  「我哋要認識下呢段經文個個嘅背景。」
[00:03:17.000 --> 00:03:21.000]  「就喺四章廿三至到廿五節喇。」
[00:03:21.000 --> 00:03:24.000]  「嚟喇喎,我哋又一齊嚟到試下讀喇喎。」
[00:03:24.000 --> 00:03:30.000]  「耶穌走遍加利利,在各會堂裡教訓人傳天國的福音。」
[00:03:30.000 --> 00:03:33.000]  「醫治百姓各樣的病症。」
[00:03:33.000 --> 00:03:36.000]  「他的名聲就傳遍了敘利亞。」
[00:03:36.000 --> 00:03:47.000]  「那裡的人就把一切害病的,就是害各樣疾病,各樣疼痛的,和被鬼附的,癲癇的,癱瘓的都帶來了。」
[00:03:47.000 --> 00:03:49.000]  「耶穌就治好了他們。」
[00:03:49.000 --> 00:03:58.000]  「當下有許多人從加利利,底加波利,耶路撒冷,猶太和約旦河來跟隨耶穌。」
[00:03:58.000 --> 00:04:01.000]  「所以你知道耶穌當時還有三樣東西。」
[00:04:01.000 --> 00:04:05.000]  「祂傳福音,祂醫治,祂趕鬼。」
[00:04:05.000 --> 00:04:08.000]  「於是人人都找祂,忙到沒休息過。」
[00:04:08.000 --> 00:04:12.000]  「但是耶穌有話要跟門徒講喎。」
[00:04:12.000 --> 00:04:15.000]  「就在五章的第一至二節喇。」
[00:04:15.000 --> 00:04:19.000]  「耶穌看見許多人就上了山。」
[00:04:19.000 --> 00:04:21.000]  「祂避開了一切的人群。」
