
[00:00:00.000 --> 00:00:04.080]  讓我們在再次打開《但義理書》
[00:00:04.080 --> 00:00:05.520]  去言讀主的說話以先
[00:00:05.520 --> 00:00:07.780]  讓我們一起同心低頭禱告
[00:00:07.780 --> 00:00:11.080]  讓愛主愛神
[00:00:11.080 --> 00:00:12.220]  天父多謝祢
[00:00:12.220 --> 00:00:16.080]  讓我們可以在祢的當中有這樣的福氣
[00:00:16.080 --> 00:00:17.780]  有這樣的生命
[00:00:17.780 --> 00:00:23.520]  有這樣的智慧來明白祢的說話
[00:00:23.520 --> 00:00:27.100]  但願我們的福氣
[00:00:27.100 --> 00:00:29.880]  不是單純只是我們自己得著
[00:00:29.880 --> 00:00:34.240]  而是有更多的人可以去明白
[00:00:34.240 --> 00:00:37.780]  了解上帝祢的救恩的源由
[00:00:37.780 --> 00:00:43.000]  並且看到上主祢的心懷意念
[00:00:43.000 --> 00:00:45.020]  求祢的幫助
[00:00:45.020 --> 00:00:48.780]  讓我們今天活在這個世界的當中
[00:00:48.780 --> 00:00:54.400]  我們自己新鮮事出地去明白祢的說話
[00:00:54.400 --> 00:00:58.120]  並且經歷其當中的挑戰
[00:00:58.120 --> 00:01:00.120]  好使這個過程
[00:01:00.120 --> 00:01:03.600]  能夠成為更多未相信主
[00:01:03.600 --> 00:01:08.200]  但是被上帝祢的聖靈所觸動的人
[00:01:08.200 --> 00:01:13.660]  可以看到一個真正有屬靈生命的人的生命力
[00:01:13.660 --> 00:01:16.560]  是怎樣活在這個世界的當中
[00:01:16.560 --> 00:01:18.880]  在祢的創造裏面
[00:01:18.880 --> 00:01:25.880]  能夠一同去彰顯和反映出上帝祢的榮美
[00:01:25.880 --> 00:01:27.600]  求祢的幫助帶領
[00:01:27.600 --> 00:01:29.220]  我們的童心禱告
[00:01:29.220 --> 00:01:32.600]  奉靠主耶穌基督得勝的明智而求
[00:01:32.600 --> 00:01:34.180]  對的
[00:01:34.180 --> 00:01:39.660]  如果你會遇上一些你不明白的事情
[00:01:39.660 --> 00:01:42.740]  而這些事情在你的生命裏面
[00:01:42.740 --> 00:01:46.160]  作了一些傷害也好
[00:01:46.160 --> 00:01:51.440]  或者一些憂戚的事情的時候
[00:01:51.440 --> 00:01:55.680]  不知道你會用一個什麼樣的態度
[00:01:55.680 --> 00:01:58.920]  去應對這些情況呢?
[00:01:58.920 --> 00:02:00.680]  我資訊圖很喜歡聽故事的
[00:02:00.680 --> 00:02:02.580]  所以今天講到的開始
[00:02:02.580 --> 00:02:06.800]  我又講一個我自己的故事給大家聽
[00:02:06.800 --> 00:02:09.280]  當我在讀中學的時候
[00:02:09.280 --> 00:02:12.080]  就活在一個很殘忍的世界裏面
[00:02:12.080 --> 00:02:16.000]  就是有一樣東西叫做中學回考
[00:02:16.000 --> 00:02:20.680]  決定一個人究竟可不可以去到
[00:02:20.680 --> 00:02:23.760]  有更高的學習的機會
[00:02:23.760 --> 00:02:25.960]  特別我記得
[00:02:25.960 --> 00:02:31.080]  中學的回考試問我都很勤力的
[00:02:31.080 --> 00:02:35.320]  自己都有某程度上的把握
[00:02:35.320 --> 00:02:40.320]  當時因為我在香港讀一間港島區的名校
[00:02:40.320 --> 00:02:45.800]  所以我對於自己應該都可以回到自己的學校
[00:02:45.800 --> 00:02:48.240]  繼續升讀預科中六、中七
[00:02:48.240 --> 00:02:51.440]  都有一些把握和期盼的
[00:02:51.440 --> 00:02:56.240]  但是當經歷了接近兩年的學習
[00:02:56.240 --> 00:03:01.720]  中四、中五掙扎完考完會考
[00:03:01.720 --> 00:03:04.760]  終於到了放榜那天
[00:03:04.760 --> 00:03:06.800]  原本胸有成竹的我
[00:03:06.800 --> 00:03:13.960]  回到去老師進來派成績的時候就很緊張
[00:03:13.960 --> 00:03:17.440]  因為派出來的成績如果好的話
[00:03:17.440 --> 00:03:21.160]  就可以繼續在自己的學校裏面升讀
[00:03:21.160 --> 00:03:24.760]  派出來的成績不好的話
[00:03:24.760 --> 00:03:27.120]  那就不知道怎樣好
[00:03:27.120 --> 00:03:29.640]  結果老師叫到我的名字的時候
