
[00:00:00.000 --> 00:00:04.220]  好 第一節目第一桶打開 馬泰坊十三章
[00:00:04.220 --> 00:00:06.120]  殺種的比喻
[00:00:06.120 --> 00:00:10.860]  一個很熟悉的比喻 很熟悉的故事
[00:00:10.860 --> 00:00:13.840]  大家應該聽過很多次了
[00:00:13.840 --> 00:00:15.480]  我經常想
[00:00:15.480 --> 00:00:18.300]  講這個比喻其實不是講的
[00:00:18.300 --> 00:00:21.040]  這個比喻是用來反省的
[00:00:21.040 --> 00:00:25.600]  反省我們自己的心是如何
[00:00:25.600 --> 00:00:28.120]  馬泰坊第十三章
[00:00:28.120 --> 00:00:32.800]  如果是收訂本應該是第21頁
[00:00:32.800 --> 00:00:35.640]  一開始的時候他講四個字
[00:00:35.640 --> 00:00:38.880]  就在哪天
[00:00:38.880 --> 00:00:41.800]  即使耶穌講這個比喻的時候
[00:00:41.800 --> 00:00:44.720]  有一個特定的時間 特定的一天
[00:00:44.720 --> 00:00:47.320]  這一天有什麼特別呢
[00:00:47.320 --> 00:00:50.520]  這一天我們看回第十二章尾
[00:00:50.520 --> 00:00:53.400]  很多人和主耶穌在一起的時候
[00:00:53.400 --> 00:00:56.160]  主耶穌的媽媽 主耶穌的兄弟
[00:00:56.160 --> 00:00:59.640]  是站在那些圍着那些人的外邊
[00:00:59.640 --> 00:01:01.400]  想找主耶穌
[00:01:01.400 --> 00:01:04.680]  於是有人就傳話 告訴主耶穌
[00:01:04.680 --> 00:01:08.080]  漢娜 你的母親 你的兄弟站在外邊
[00:01:08.080 --> 00:01:11.640]  想要跟你說話
[00:01:11.640 --> 00:01:14.280]  耶穌回答得很奇怪
[00:01:14.280 --> 00:01:16.400]  他說 誰是我的母親
[00:01:16.400 --> 00:01:17.680]  誰是我的兄弟
[00:01:17.680 --> 00:01:20.640]  然後指着圍着他那些人
[00:01:20.640 --> 00:01:22.360]  指着門徒說
[00:01:22.360 --> 00:01:25.840]  漢娜 我的母親 我的兄弟
[00:01:25.840 --> 00:01:28.360]  凡遵行我天父旨意的人
[00:01:28.360 --> 00:01:33.160]  就是我的兄弟 姐妹和母親
[00:01:33.160 --> 00:01:35.480]  是不是很奇怪
[00:01:35.480 --> 00:01:38.080]  其實主耶穌只是在講一件事
[00:01:38.080 --> 00:01:43.560]  哪些是他視爲家裏人的人
[00:01:43.560 --> 00:01:48.920]  哪些主耶穌覺得是他家裏的人
[00:01:48.920 --> 00:01:51.520]  不是血緣的關係
[00:01:51.520 --> 00:01:55.000]  乃是遵行天父旨意的人
[00:01:55.000 --> 00:01:58.160]  就是主耶穌的家裏人
[00:01:58.160 --> 00:02:00.120]  就是家人
[00:02:00.120 --> 00:02:02.960]  爲什麼主耶穌會特別講這件事呢
[00:02:02.960 --> 00:02:08.080]  因爲當你看十三章之前整個十二章
[00:02:08.080 --> 00:02:09.560]  其實不單止是十二章
[00:02:09.560 --> 00:02:12.000]  其實由第九章開始
[00:02:12.000 --> 00:02:17.760]  全部都是和法理財人的衝突
[00:02:17.760 --> 00:02:20.040]  這個衝突特別在
[00:02:20.040 --> 00:02:22.120]  當主耶穌講完登山寶訓
[00:02:22.120 --> 00:02:24.520]  聽登山寶訓的不單單是門徒
[00:02:24.520 --> 00:02:27.240]  很多人 包括法理財人
[00:02:27.240 --> 00:02:28.480]  主耶穌講完登山寶訓
[00:02:28.480 --> 00:02:29.760]  做了一連串的神蹟
[00:02:29.760 --> 00:02:31.360]  無論是疾病
[00:02:31.360 --> 00:02:32.280]  無論是醫病
[00:02:32.280 --> 00:02:33.200]  無論是講鬼
[00:02:33.200 --> 00:02:34.560]  無論是大自然的神蹟
[00:02:34.560 --> 00:02:36.280]  顯出他的權柄
[00:02:36.280 --> 00:02:38.000]  接着主耶穌呼召十二門徒
[00:02:38.000 --> 00:02:40.760]  也都講做門徒要怎麼做
[00:02:40.760 --> 00:02:42.760]  怎麼爲主受苦
[00:02:42.760 --> 00:02:47.160]  接着直接和法理財人衝突
[00:02:47.160 --> 00:02:48.320]  之前沒有的
[00:02:48.320 --> 00:02:50.960]  講了這麼久馬太豐全沒有問題
[00:02:50.960 --> 00:02:53.600]  由第十二章開始
[00:02:53.600 --> 00:02:57.040]  就是和法理財人的衝突
[00:02:57.040 --> 00:02:59.640]  不斷主耶穌差不多去到哪裏
[00:02:59.640 --> 00:03:02.360]  法理財人無論是挑戰他的門徒
[00:03:02.360 --> 00:03:04.200]  或者挑戰主耶穌
[00:03:04.200 --> 00:03:05.760]  就算主耶穌行神蹟的時候
[00:03:05.760 --> 00:03:10.280]  就說這是靠鬼王別西卜的
[00:03:10.280 --> 00:03:13.760]  以至第十二章第十四節
[00:03:13.760 --> 00:03:18.840]  法理財人出去商議怎麼除掉耶穌
[00:03:18.840 --> 00:03:21.880]  在這個背景之下
[00:03:21.880 --> 00:03:24.000]  大家記住
[00:03:24.000 --> 00:03:28.480]  當每一次法理財人和主耶穌有衝突的時候
[00:03:28.480 --> 00:03:30.680]  代表着什麼
[00:03:30.680 --> 00:03:32.160]  代表着其實
[00:03:32.160 --> 00:03:35.720]  主耶穌講道的時候法理財人在場
[00:03:35.720 --> 00:03:39.000]  主耶穌行神蹟的時候法理財人在場
[00:03:39.000 --> 00:03:43.840]  主耶穌做什麼的時候法理財人在場
[00:03:43.840 --> 00:03:45.360]  即是說他們聽到了
[00:03:45.360 --> 00:03:48.240]  他們的眼睛看到了主耶穌所做的一切
[00:03:48.240 --> 00:03:53.040]  不過他們的心沒有改變
[00:03:53.040 --> 00:03:54.840]  所以來到第十二章尾
[00:03:54.840 --> 00:03:58.760]  主耶穌說哪些纔是我的家人
[00:03:58.760 --> 00:04:02.720]  並不是說單單聽道的人
[00:04:02.720 --> 00:04:08.760]  不是說表面上跟隨他跟着他的人
[00:04:08.760 --> 00:04:10.960]  這個就是背景
[00:04:10.960 --> 00:04:13.040]  以至第十三章一開始
[00:04:13.040 --> 00:04:17.440]  其實整個第十三章都是講天國的比喻
[00:04:17.440 --> 00:04:20.200]  這個是第一個
[00:04:20.200 --> 00:04:22.680]  當大家看照片看電影的時候
[00:04:22.680 --> 00:04:25.880]  你會見到人們殺種是這樣殺的
[00:04:25.880 --> 00:04:28.120]  殺到田裏
[00:04:28.120 --> 00:04:32.000]  殺到田裏一定有些是在田的邊上
[00:04:32.000 --> 00:04:34.200]  路旁主耶穌就用一個
[00:04:34.200 --> 00:04:40.040]  他們平時接觸到的一幅圖畫來講殺種的比喻
[00:04:40.040 --> 00:04:42.120]  殺種的比喻裏面
[00:04:42.120 --> 00:04:45.760]  剛纔讀經經科學學者講了四種的反應
[00:04:45.760 --> 00:04:48.160]  第一種落在路旁上的
[00:04:48.160 --> 00:04:50.000]  那些種根本就不發芽
[00:04:50.000 --> 00:04:53.600]  第二種落在土淺石頭上的
[00:04:53.600 --> 00:04:55.120]  山出苗
[00:04:55.120 --> 00:04:56.600]  不過扎不到堅
[00:04:56.600 --> 00:04:58.600]  太陽一出就枯乾
[00:04:58.600 --> 00:05:01.600]  第三種可以長大
[00:05:01.600 --> 00:05:02.680]  可以發芽
[00:05:02.680 --> 00:05:04.920]  不過旁邊有荊棘
[00:05:04.920 --> 00:05:07.400]  以至它不能結果實
[00:05:07.400 --> 00:05:09.640]  第四種能夠結果
[00:05:09.640 --> 00:05:12.360]  第四種
[00:05:12.360 --> 00:05:16.640]  但問題主耶穌爲什麼用比喻
[00:05:16.640 --> 00:05:20.640]  剛纔經放母讀的就是第十節到第十七節
[00:05:20.640 --> 00:05:25.360]  當你看第十節到第十七節很奇怪
[00:05:25.360 --> 00:05:27.360]  當主耶穌講完比喻之後
[00:05:27.360 --> 00:05:29.240]  那些人不明白
[00:05:29.240 --> 00:05:32.360]  然後門徒就自己去問耶穌
