
[00:00:00.000 --> 00:00:02.360]  我們剛才讀的經文是什麽呢?
[00:00:02.360 --> 00:00:04.660]  剛才我們讀的經文是什麽呢?
[00:00:04.660 --> 00:00:06.700]  以前我和你們一起讀過了
[00:00:06.700 --> 00:00:08.560]  以前我和大家一起讀過
[00:00:08.560 --> 00:00:09.900]  這裏說什麽?
[00:00:09.900 --> 00:00:10.760]  這裏說什麽?
[00:00:10.760 --> 00:00:13.260]  唯有你們是被揀選的族裔
[00:00:13.260 --> 00:00:15.260]  唯有你們是被揀選的族裔
[00:00:15.260 --> 00:00:16.600]  你們是蒙揀選的
[00:00:16.600 --> 00:00:18.800]  你們是蒙揀選的
[00:00:18.800 --> 00:00:20.860]  你們是沒有君尊的祭司
[00:00:20.860 --> 00:00:23.160]  你們是君尊的祭司
[00:00:23.160 --> 00:00:25.000]  你有一個很尊貴的地位
[00:00:25.000 --> 00:00:26.860]  你有一個很尊貴的地位
[00:00:26.860 --> 00:00:31.120]  你是一個尊貴的祭司身份
[00:00:31.120 --> 00:00:33.120]  你是一個尊貴的祭司身份
[00:00:33.120 --> 00:00:37.060]  然後是聖潔的國度
[00:00:37.060 --> 00:00:38.960]  是聖潔的國度
[00:00:38.960 --> 00:00:40.320]  是屬神的子民
[00:00:40.320 --> 00:00:41.720]  是屬神的子民
[00:00:41.720 --> 00:00:43.960]  這裏提到你有兩個身份
[00:00:43.960 --> 00:00:45.320]  你有兩個身份
[00:00:45.320 --> 00:00:47.420]  第一個身份就是屬父神的
[00:00:47.420 --> 00:00:48.820]  你屬於父神的
[00:00:48.820 --> 00:00:50.820]  反正屬父神的就是聖民
[00:00:50.820 --> 00:00:53.460]  反正屬父神的就是聖民
[00:00:53.460 --> 00:00:55.820]  這個題目我上次講過了
[00:00:55.820 --> 00:00:58.000]  這個題目我上次已經講過了
[00:00:58.000 --> 00:01:00.000]  你一定要了解你的身份
[00:01:00.000 --> 00:01:01.600]  你一定要了解你的身份
[00:01:01.600 --> 00:01:04.520]  你是聖民的身份
[00:01:04.520 --> 00:01:08.400]  你知道我們每一個家庭都有一個姓
[00:01:08.400 --> 00:01:11.000]  我們每一個家庭都有一個姓
[00:01:11.000 --> 00:01:12.260]  我們是屬父神的
[00:01:12.260 --> 00:01:13.400]  我們是屬父神的
[00:01:13.400 --> 00:01:14.900]  我們就是屬父神的家庭
[00:01:14.900 --> 00:01:17.020]  我們就是屬父神的家庭
[00:01:17.020 --> 00:01:19.800]  屬父神的家庭有一個姓
[00:01:19.800 --> 00:01:21.720]  屬父神的家庭有一個姓
[00:01:21.720 --> 00:01:23.120]  姓甚麼呢
[00:01:23.120 --> 00:01:23.960]  就是姓
[00:01:23.960 --> 00:01:24.920]  那就是聖
[00:01:24.920 --> 00:01:26.620]  這個姓民這個姓
[00:01:26.620 --> 00:01:31.660]  就是神家裏面每一個分子的姓
[00:01:31.660 --> 00:01:32.460]  那麼
[00:01:32.460 --> 00:01:37.060]  「聖」這個字就是每一個屬神子民家庭的姓
[00:01:37.060 --> 00:01:41.060]  所以如果你們每一個人的姓名前面加多個「姓」字
[00:01:41.060 --> 00:01:43.760]  每一個人的名字前面加一個「聖」字
[00:01:43.760 --> 00:01:46.020]  都是很對的
