
[00:00:00.000 --> 00:00:02.420]  等後夜我告訴你 重新得力
[00:00:02.420 --> 00:00:04.780]  我們第一個思想就是
[00:00:04.780 --> 00:00:06.680]  一個人到了七十歲八十歲
[00:00:06.680 --> 00:00:08.000]  還可以說話很大聲
[00:00:08.000 --> 00:00:09.200]  這樣就叫得力
[00:00:09.200 --> 00:00:10.740]  是不是現在呢
[00:00:10.740 --> 00:00:13.620]  不可能 我現在還可以很大聲說話
[00:00:13.620 --> 00:00:16.280]  我想如果再給我五年或者十年
[00:00:16.280 --> 00:00:16.900]  就不行了
[00:00:16.900 --> 00:00:19.180]  我今天早上看一看一個生平
[00:00:19.180 --> 00:00:22.680]  一個長者牧師四十歲患了癌症
[00:00:22.680 --> 00:00:23.580]  好不了
[00:00:23.580 --> 00:00:24.700]  醫生說好不了
[00:00:24.700 --> 00:00:25.740]  過了八十多年
[00:00:25.740 --> 00:00:28.080]  到最後都要有問題
[00:00:28.080 --> 00:00:29.880]  上不了台 說不了話
[00:00:30.120 --> 00:00:31.680]  這個重新得力
[00:00:31.680 --> 00:00:33.520]  不是指這個身體
[00:00:33.520 --> 00:00:35.820]  這個身體一定會扭壞的
[00:00:35.820 --> 00:00:37.020]  遲早問題
[00:00:37.020 --> 00:00:40.340]  我現在更加相信不是年紀問題
[00:00:40.340 --> 00:00:42.540]  最近我收到一個消息
[00:00:42.540 --> 00:00:44.340]  我自己那時候跟大家提過
[00:00:44.340 --> 00:00:47.380]  患了末期癌症的姊妹
[00:00:47.380 --> 00:00:48.420]  這個星期
[00:00:48.420 --> 00:00:50.100]  我零收斤的時候
[00:00:50.100 --> 00:00:51.620]  她先生WhatsApp給我
[00:00:51.620 --> 00:00:53.380]  今早六點多已經去世了
[00:00:53.380 --> 00:00:55.980]  我兩天前還跟她通電話
[00:00:55.980 --> 00:00:57.580]  聲音還很響亮的
[00:00:57.580 --> 00:00:59.580]  不過她是很辛苦的 反正我聽
[00:01:00.420 --> 00:01:02.180]  但她裡面的生命力很強
[00:01:02.180 --> 00:01:03.620]  重新得力
[00:01:03.620 --> 00:01:06.060]  丁子梅 看清楚一點
[00:01:06.060 --> 00:01:08.300]  不要再看地上的東西了
[00:01:08.300 --> 00:01:11.620]  如果你說現在是不是災難呢
[00:01:11.620 --> 00:01:13.460]  我不敢說是不是災難
[00:01:13.460 --> 00:01:14.460]  是不是
[00:01:14.460 --> 00:01:16.740]  有疫症
[00:01:16.740 --> 00:01:18.220]  瘟疫
[00:01:18.220 --> 00:01:20.580]  有水災
[00:01:20.580 --> 00:01:22.140]  有火災
[00:01:22.140 --> 00:01:24.620]  一樣一樣來的了
[00:01:24.620 --> 00:01:26.140]  你防不了那麼多的了
[00:01:27.100 --> 00:01:30.020]  唯有耐心一天 深切的一天
[00:01:30.020 --> 00:01:32.700]  你看到的景象是景象
[00:01:32.700 --> 00:01:34.180]  你不會成為意象的
[00:01:34.180 --> 00:01:37.100]  我們這個律師就說
[00:01:37.100 --> 00:01:39.580]  成為我的意象是
[00:01:39.580 --> 00:01:42.100]  Below my vision
[00:01:42.100 --> 00:01:44.820]  沒有耶穌在心中
[00:01:44.820 --> 00:01:47.780]  沒有他的話在心中
[00:01:47.780 --> 00:01:49.700]  沒有聖靈在心中
[00:01:49.700 --> 00:01:51.700]  你看到的景象就是景象
[00:01:51.700 --> 00:01:53.500]  災情就是災情
[00:01:53.500 --> 00:01:55.620]  慘情就是慘情
[00:01:56.540 --> 00:01:57.940]  狂妄就是狂妄
[00:01:57.940 --> 00:02:01.620]  不要因為做了一段時間
[00:02:01.620 --> 00:02:03.340]  看到幾個彩虹
[00:02:03.340 --> 00:02:05.100]  這些景象
[00:02:05.100 --> 00:02:09.060]  我偶爾都很想看彩虹
[00:02:09.060 --> 00:02:11.780]  一看見我就會跟上帝說話
[00:02:11.780 --> 00:02:13.940]  不是 我求上帝讓我說話
[00:02:13.940 --> 00:02:15.940]  為什麼呢
[00:02:15.940 --> 00:02:16.940]  是應許來的
[00:02:16.940 --> 00:02:20.060]  是災難之後的應許來的
[00:02:20.060 --> 00:02:22.180]  那個災難是毀滅世界
[00:02:22.180 --> 00:02:23.700]  全球都沒有了
[00:02:25.060 --> 00:02:26.740]  我告訴大家
[00:02:26.740 --> 00:02:29.500]  如果當時地球上有八百萬人的話
[00:02:29.500 --> 00:02:32.980]  那七百九十九萬九千九百九十二人去哪了
[00:02:32.980 --> 00:02:35.780]  被水淹死了
[00:02:35.780 --> 00:02:40.980]  只有挪亞一家八個人得救
[00:02:40.980 --> 00:02:43.820]  如果歷史上是這樣記載
[00:02:43.820 --> 00:02:47.020]  耶穌基督在《馬太福音》十二十四章所說的很清楚
[00:02:47.020 --> 00:02:49.780]  人子來的時候
[00:02:49.780 --> 00:02:51.140]  好像挪亞時代一樣
[00:02:51.140 --> 00:02:54.620]  將來得救人數不多
[00:02:56.060 --> 00:02:57.860]  問題就是
[00:02:57.860 --> 00:02:59.700]  你見不見到果
[00:02:59.700 --> 00:03:03.620]  你見不見到果
[00:03:03.620 --> 00:03:04.900]  你成長
[00:03:04.900 --> 00:03:06.540]  但是見不到果
[00:03:06.540 --> 00:03:08.740]  果不是捲在外面給人看的
[00:03:08.740 --> 00:03:10.060]  果是什麼
[00:03:10.060 --> 00:03:11.380]  是心靈裏面
[00:03:11.380 --> 00:03:14.020]  我剛才說
[00:03:14.020 --> 00:03:15.780]  崔毅章老師有一篇文章
[00:03:15.780 --> 00:03:16.980]  講到大祭司
[00:03:16.980 --> 00:03:19.260]  彼得前書帝說
[00:03:19.260 --> 00:03:21.060]  為了你們是被揀選的屬雷
[00:03:21.060 --> 00:03:22.140]  君尊的祭司
[00:03:22.140 --> 00:03:23.860]  聖祭的國度屬臣的子民
[00:03:25.260 --> 00:03:28.180]  要你們宣揚那召你們出黑暗入
[00:03:28.180 --> 00:03:29.660]  奇妙功名者的美德
[00:03:29.660 --> 00:03:33.260]  我們被神揀選
[00:03:33.260 --> 00:03:36.100]  我們成為神的兒女
[00:03:36.100 --> 00:03:37.820]  有聖靈的感動
[00:03:37.820 --> 00:03:39.860]  我們都是蒙召
[00:03:39.860 --> 00:03:43.140]  成為一個君尊的祭司
[00:03:43.140 --> 00:03:44.980]  但是這裡
[00:03:44.980 --> 00:03:46.140]  像我剛才所說
[00:03:46.140 --> 00:03:48.220]  昔日的大祭司
[00:03:48.220 --> 00:03:50.100]  滿身污穢
[00:03:50.100 --> 00:03:51.900]  不單是他自己有罪
[00:03:51.900 --> 00:03:55.020]  他承擔了當時百姓的罪
[00:03:56.060 --> 00:03:58.060]  如果今天我和你成為神的祭司
[00:03:58.060 --> 00:04:00.020]  我們需要承擔別人的罪嗎?
[00:04:00.020 --> 00:04:02.740]  要為人代求的聖徒已經是了
[00:04:02.740 --> 00:04:04.660]  這才是神
[00:04:04.660 --> 00:04:08.260]  神給他護一件衣袍
[00:04:08.260 --> 00:04:12.940]  神再不看他是一個污穢骯髒的人
[00:04:12.940 --> 00:04:16.940]  神看他是一個被稱為異議的人
[00:04:16.940 --> 00:04:19.380]  所以我們每一位
[00:04:19.380 --> 00:04:20.260]  頂智媒
[00:04:20.260 --> 00:04:23.540]  無論你怎樣好心做什麼好事
[00:04:24.380 --> 00:04:25.780]  做一代慈善家
[00:04:25.780 --> 00:04:28.700]  很多人都敬仰你
[00:04:28.700 --> 00:04:32.020]  但是你不稱為異的時候
[00:04:32.020 --> 00:04:33.260]  你什麼都沒有用
[00:04:33.260 --> 00:04:36.460]  我很不小心看到一個片段
[00:04:36.460 --> 00:04:38.580]  有一個人去靈堂的時候說
[00:04:38.580 --> 00:04:39.940]  那時候他坐船
[00:04:39.940 --> 00:04:40.900]  沒有錢
[00:04:40.900 --> 00:04:43.580]  趕著有個人幫他坐船
[00:04:43.580 --> 00:04:45.820]  他說今天我來香港的工作是否適合我?
[00:04:45.820 --> 00:04:46.620]  我說是的
[00:04:46.620 --> 00:04:48.540]  很有心、很愛心
[00:04:48.540 --> 00:04:49.780]  表現得很好
[00:04:49.780 --> 00:04:51.740]  我不敢評論
[00:04:51.740 --> 00:04:53.380]  不知道他最後那一刻
[00:04:53.540 --> 00:04:56.420]  是否像十字架上的兩個強盜其中一個那樣
[00:04:56.420 --> 00:04:58.940]  主眼的德國光臨時說你紀念我
[00:04:58.940 --> 00:05:01.860]  但是
[00:05:01.860 --> 00:05:02.620]  頂智媒
[00:05:02.620 --> 00:05:04.340]  我們被稱為異
[00:05:04.340 --> 00:05:06.580]  百分之一百是恩典
[00:05:06.580 --> 00:05:09.700]  你做什麼都好
[00:05:09.700 --> 00:05:11.420]  不能夠被稱為異
[00:05:11.420 --> 00:05:12.540]  唯有
[00:05:12.540 --> 00:05:13.540]  保權
[00:05:13.540 --> 00:05:16.220]  所以在
[00:05:16.220 --> 00:05:17.420]  看書錄第二
[00:05:17.420 --> 00:05:19.540]  十二章十一節
[00:05:19.540 --> 00:05:23.060]  弟兄勝過他那惡者
[00:05:24.140 --> 00:05:25.140]  是羔羊的血
[00:05:25.140 --> 00:05:26.940]  和見證的道
[00:05:26.940 --> 00:05:29.740]  沒有補血的遮蓋
[00:05:29.740 --> 00:05:31.620]  你和我今天日日夜夜
[00:05:31.620 --> 00:05:33.860]  被撒旦在神面前控告我們
[00:05:33.860 --> 00:05:36.500]  不是我說的,是聖經說的
[00:05:36.500 --> 00:05:38.620]  有百多個告訴你
[00:05:38.620 --> 00:05:41.380]  不要以為你沒事
[00:05:41.380 --> 00:05:44.100]  你隨時會被告的
[00:05:44.100 --> 00:05:45.700]  他是檢控官
[00:05:45.700 --> 00:05:49.140]  我們以前在撒旦權勢下
