
[00:00:00.000 --> 00:00:03.760]  我們今天開始一個新的講道系列
[00:00:03.760 --> 00:00:05.760]  這個就是燃點生命
[00:00:05.760 --> 00:00:09.240]  其實這個講道系列是為了預備我們
[00:00:09.240 --> 00:00:11.240]  預備我們大兄姊妹的心
[00:00:11.240 --> 00:00:14.440]  能夠進入接下來的40天
[00:00:14.440 --> 00:00:18.480]  教會關愛40天的運動
[00:00:18.480 --> 00:00:23.440]  所以我們在這個系列中學習
[00:00:23.440 --> 00:00:26.880]  如何能夠一同發光
[00:00:26.880 --> 00:00:28.320]  燃點我們的生命
[00:00:28.320 --> 00:00:30.320]  在這個黑暗的時代
[00:00:30.320 --> 00:00:33.520]  我們基督徒能夠像主耶穌在馬達夫恩
[00:00:33.520 --> 00:00:36.880]  的五章十四十六節所說的
[00:00:36.880 --> 00:00:38.240]  主耶穌說
[00:00:38.240 --> 00:00:40.240]  你們是世上的光
[00:00:40.240 --> 00:00:42.240]  成造在山上
[00:00:42.240 --> 00:00:44.000]  是不能隱藏的
[00:00:44.000 --> 00:00:46.800]  人點燈不放在斗底下
[00:00:46.800 --> 00:00:48.800]  是放在燈台上
[00:00:48.800 --> 00:00:50.800]  就照亮一家的人
[00:00:50.800 --> 00:00:54.240]  所以主耶穌給我們基督徒一個使命
[00:00:54.240 --> 00:00:55.600]  就是我們要成為光
[00:00:55.600 --> 00:00:57.040]  在黑暗的時代
[00:00:57.040 --> 00:00:59.040]  為這個黑暗的時代帶來光芒
[00:00:59.040 --> 00:01:01.600]  人們看到我們的時候看到有盼望
[00:01:01.600 --> 00:01:03.600]  看到原來這個世界是充滿
[00:01:03.600 --> 00:01:05.600]  很多正能量的東西
[00:01:05.600 --> 00:01:08.240]  是有盼望的不是很黑暗的
[00:01:08.240 --> 00:01:10.240]  這個是神給我們的使命
[00:01:10.240 --> 00:01:13.920]  雖然神給我們很多祝福
[00:01:13.920 --> 00:01:15.200]  很多的恩典
[00:01:15.200 --> 00:01:18.640]  無論你是在享受神給你事業的成功
[00:01:18.640 --> 00:01:20.640]  或者你是一個家庭的幸福
[00:01:20.640 --> 00:01:22.640]  你享受天團之樂這些都是很好的
