
[00:00:00.000 --> 00:00:01.660]  好,我們做一個祈禱,好嗎?
[00:00:01.660 --> 00:00:05.220]  大家在聽到之前,我們再一次禱告
[00:00:05.220 --> 00:00:11.800]  天父,我們在這個時候再一次來獻上感謝
[00:00:11.800 --> 00:00:14.800]  為著我們的弟兄姊妹蒙恩
[00:00:14.800 --> 00:00:17.040]  蒙你的拯救
[00:00:17.040 --> 00:00:19.840]  深深來讚美你
[00:00:19.840 --> 00:00:22.080]  願意主你親自保守
[00:00:22.080 --> 00:00:23.600]  帶領我們各人
[00:00:23.600 --> 00:00:26.800]  在你的話語當中繼續得到建立
[00:00:26.800 --> 00:00:29.720]  叫我們能夠常存感謝
[00:00:29.720 --> 00:00:32.080]  紀念你奇妙的作為
[00:00:32.080 --> 00:00:33.440]  我們誠心祈禱
[00:00:33.440 --> 00:00:35.800]  奉耶穌基督的名,阿們
[00:00:35.800 --> 00:00:40.760]  今天是感恩節的主日
[00:00:40.760 --> 00:00:45.760]  所以跟大家分享另一個題目
[00:00:45.760 --> 00:00:49.360]  因為上次本來我在說迦勒
[00:00:49.360 --> 00:00:52.280]  我們留待下個月再說
[00:00:52.280 --> 00:00:56.680]  今天仍然看《約書學記》
[00:00:56.680 --> 00:00:58.200]  不過這個《約書學記》
[00:00:58.200 --> 00:01:02.320]  我們今天來看的是《納石遺記》
[00:01:02.320 --> 00:01:05.480]  因為內容很豐富,所以我分開兩次說
[00:01:05.480 --> 00:01:11.840]  現在我們很多時候的建築物
[00:01:11.840 --> 00:01:13.200]  大家可能留意到
[00:01:13.200 --> 00:01:15.200]  有時候會有一個紀念碑在外面
[00:01:15.200 --> 00:01:18.200]  就是何時何日落成
[00:01:18.200 --> 00:01:19.160]  或者開幕
[00:01:19.160 --> 00:01:21.600]  或者是紀念哪一個人
[00:01:21.600 --> 00:01:25.240]  或者是哪個主持的開幕禮等等
[00:01:25.240 --> 00:01:27.080]  所以它有一個紀念的碑
[00:01:27.080 --> 00:01:28.920]  其實在我們教會外面也有一個
[00:01:28.920 --> 00:01:30.720]  不過我們主要是說
[00:01:30.720 --> 00:01:33.720]  這個教會是耶穌基督的教會
[00:01:33.720 --> 00:01:35.880]  所以很多這些建築物都有
[00:01:35.880 --> 00:01:38.400]  在舊時古代
[00:01:38.400 --> 00:01:40.760]  他們沒有這些碑
[00:01:40.760 --> 00:01:42.360]  但是有類似這些
[00:01:42.360 --> 00:01:44.960]  就是立一個石
[00:01:44.960 --> 00:01:49.040]  堆起來做記號
[00:01:49.040 --> 00:01:52.240]  成為一個紀念的傳統
[00:01:52.240 --> 00:01:53.960]  如果大家留心讀聖經
[00:01:53.960 --> 00:01:55.720]  在《創世紀》裡面已經有了
[00:01:55.720 --> 00:01:57.720]  記得大家
[00:01:57.720 --> 00:02:00.240]  上到《創世紀》二十八章
[00:02:00.240 --> 00:02:04.800]  這個雅各他離開他的本地
[00:02:04.800 --> 00:02:07.720]  在路上,就是路思的時候
[00:02:07.720 --> 00:02:09.640]  他就立石遺記
[00:02:09.640 --> 00:02:11.160]  因為那裡他遇見神
[00:02:11.160 --> 00:02:12.760]  看見天梯
[00:02:12.760 --> 00:02:16.640]  紀念他如何經歷到上帝
[00:02:16.640 --> 00:02:20.280]  後來去到拉班和雅各
[00:02:20.280 --> 00:02:24.680]  雅各離開他的外父
[00:02:24.680 --> 00:02:27.000]  走了,他們又立石遺記
[00:02:27.000 --> 00:02:30.200]  這個就是紀念他們所立的約
[00:02:30.200 --> 00:02:32.520]  所以類似這些記載
