
[00:00:00.000 --> 00:00:04.320]  今天和各位一起分享這個題目
[00:00:04.320 --> 00:00:07.480]  爭道 爭道 和 真道
[00:00:07.480 --> 00:00:11.640]  究竟這三個爭道是如何解釋呢?
[00:00:11.640 --> 00:00:16.400]  由亞國書第二章一至七節
[00:00:16.400 --> 00:00:18.720]  一起分享
[00:00:18.720 --> 00:00:21.400]  記得有一次
[00:00:21.400 --> 00:00:25.200]  在香港的會議中心裡面
[00:00:25.200 --> 00:00:30.000]  有一個電子產品的展覽
[00:00:30.000 --> 00:00:35.120]  有一位長者站在展覽商的店前
[00:00:35.120 --> 00:00:37.880]  看那些產品
[00:00:37.880 --> 00:00:42.200]  店員看到這位長者
[00:00:42.200 --> 00:00:45.400]  對這些產品好像很有興趣
[00:00:45.400 --> 00:00:48.320]  就來跟他介紹
[00:00:48.320 --> 00:00:53.640]  說著說著就覺得這位長者很面善
[00:00:54.400 --> 00:01:02.640]  這位職員不知道在哪裏見到他
[00:01:02.640 --> 00:01:05.440]  一直在談話
[00:01:05.440 --> 00:01:07.120]  談著談著的時候
[00:01:07.120 --> 00:01:11.160]  原來在這個過程中
[00:01:11.160 --> 00:01:18.840]  有一個電視台在拍攝這位長者的生平
[00:01:18.840 --> 00:01:24.400]  看上去很普通的一位市民
[00:01:24.400 --> 00:01:27.480]  旁邊的工作人員就提醒他
[00:01:27.480 --> 00:01:32.880]  這位長者就是你在場上貼的照片的那個人
[00:01:32.880 --> 00:01:35.160]  那位職員看一看
[00:01:35.160 --> 00:01:38.280]  原來這位長者是高坤
[00:01:38.280 --> 00:01:40.160]  是光纖之父
[00:01:40.160 --> 00:01:46.400]  在解釋那些儀器如何跟光纖配合
[00:01:46.400 --> 00:01:50.440]  這位店員當然很開心
[00:01:50.440 --> 00:01:53.400]  跟他一起拍照
[00:01:53.400 --> 00:01:56.760]  拿回簽名留念
[00:01:56.760 --> 00:01:58.400]  我們這樣看的時候
[00:01:58.400 --> 00:02:02.760]  幸好這位店員沒有什麼不禮貌的表現
[00:02:02.760 --> 00:02:08.480]  還是很熱誠地對待高坤
[00:02:08.480 --> 00:02:12.240]  一視同仁去看這些事情
[00:02:12.240 --> 00:02:18.800]  當我們回看《雅各司》第二章一至七節的時候
[00:02:18.800 --> 00:02:23.640]  就會看到另外一種人生的百態
