
[00:00:00.000 --> 00:00:06.000]  很高興能夠在大家當中分享神的說話
[00:00:06.000 --> 00:00:15.000]  祝大家新年快樂
[00:00:15.000 --> 00:00:21.000]  這個時候是很特別的日子
[00:00:21.000 --> 00:00:28.000]  我代表總會向大家問安
[00:00:30.000 --> 00:00:34.000]  我欣賞大家在這個地方為神的熱心
[00:00:34.000 --> 00:00:44.000]  謝謝大家在不同的方面做了很多貢獻
[00:00:44.000 --> 00:00:50.000]  我們是基督家庭的一份子
[00:00:50.000 --> 00:00:57.000]  我們一起祈禱
[00:01:00.000 --> 00:01:04.000]  天父我真是奉主耶穌的名字去祈求祢的聖靈在我當中
[00:01:04.000 --> 00:01:17.000]  神啊,祢真是將祢自己耶穌愛子顯明給我們知道
[00:01:17.000 --> 00:01:26.000]  我祈求祢讓我和我弟兄一起的同心去侍奉祢
[00:01:30.000 --> 00:01:36.000]  你有沒有留意到我們今天的社會對個人主義是非常迷戀的
[00:01:36.000 --> 00:01:46.000]  蘋果電腦公司以i字在所有產品前面
[00:01:46.000 --> 00:01:58.000]  所以你買了iMac,iPod,iPhone,iPad
[00:02:01.000 --> 00:02:03.000]  全部都是一個i字
[00:02:03.000 --> 00:02:09.000]  有人告訴我這個i字有很多不同的意思
[00:02:09.000 --> 00:02:20.000]  最初這個i字就是Steve Jobs告訴我的
[00:02:20.000 --> 00:02:23.000]  i是代表互聯網
[00:02:23.000 --> 00:02:29.000]  意思是i是代表個人
[00:02:31.000 --> 00:02:33.000]  有多少人這裡有iPhone
[00:02:33.000 --> 00:02:40.000]  大部分原來是Android的系統
[00:02:40.000 --> 00:02:47.000]  如果你正在用iPhone的時候,你就是一個個人
[00:02:47.000 --> 00:02:51.000]  你很特別,因為你有一個iPhone
[00:02:58.000 --> 00:03:01.000]  今天有一個宗教,我稱這個宗教為自我宗教
[00:03:01.000 --> 00:03:08.000]  你去參加這個自我宗教,不需要去禮拜堂去敬拜
[00:03:08.000 --> 00:03:13.000]  你只要在家裡敬拜,自己就搞定了
[00:03:13.000 --> 00:03:18.000]  生命裡所有的事都關乎我自己的開心
[00:03:18.000 --> 00:03:21.000]  我想要的東西
[00:03:21.000 --> 00:03:26.000]  我的重要,我的好處
[00:03:28.000 --> 00:03:30.000]  我喜歡認為我們住在i世界
[00:03:30.000 --> 00:03:37.000]  我相信我們今天似乎住在一個叫做我的世界裡
[00:03:37.000 --> 00:03:47.000]  我曾經在網上看到一個這樣的廣告
[00:03:47.000 --> 00:03:57.000]  這個廣告裡面說,我們是國際招聘的專家公司
