
[00:00:00.000 --> 00:00:02.940]  高僧姐妹 讓我們一起同心聆聽主的話語
[00:00:02.940 --> 00:00:07.940]  以禱告去仰望在我們主我們的神明面前
[00:00:07.940 --> 00:00:12.400]  慈悲的父神多謝你 讓我們能夠再次回到你的說話當中
[00:00:12.400 --> 00:00:17.220]  同心的去研讀 一同的在上帝你的啟示裏面
[00:00:17.220 --> 00:00:21.020]  重新尋索到上帝你對我們的關懷 秘志
[00:00:21.020 --> 00:00:23.860]  讓我們看到你怎樣慰藏我們的罪
[00:00:23.860 --> 00:00:30.760]  為了我們在這個罪的困所當中 離開你這份流離失所的狀態
[00:00:30.760 --> 00:00:34.620]  你怎樣花盡心思 怎樣去拯救我們
[00:00:34.620 --> 00:00:39.840]  我們再次祈求你 透過路德記讓我們同樣的再次看到
[00:00:39.840 --> 00:00:44.480]  上帝你的心懷意念 讓我們學會怎樣去依靠你
[00:00:44.480 --> 00:00:48.280]  順從你 與你同走這條人生路
[00:00:48.280 --> 00:00:51.200]  直至到我們在永恆的當中與你同活
[00:00:51.200 --> 00:00:54.080]  最後求你讓我們去再次讀你的說話
[00:00:54.080 --> 00:00:57.340]  就讓我們好像與主你同處一樣
[00:00:57.340 --> 00:01:01.180]  好像在上帝你的膝前 去好好的等候
[00:01:01.180 --> 00:01:05.260]  求你的幫助 讓聖靈的誘導讓我們能夠明白
[00:01:05.260 --> 00:01:07.760]  並且生命得到更新改變
[00:01:07.760 --> 00:01:12.180]  王親愛的父神感謝你 讓我們今天能夠再次能夠打開你的說話
[00:01:12.180 --> 00:01:17.480]  一同來到了解 上帝你怎樣為我們擔憂
[00:01:17.480 --> 00:01:22.520]  為我們為請咒的事情來到預備 鋪排
[00:01:22.520 --> 00:01:26.480]  使我們能夠明白到 上帝你的心腸是怎麼樣
[00:01:26.480 --> 00:01:33.160]  讓我們這一個流離在這個罪的世界當中的人群
[00:01:33.160 --> 00:01:38.200]  再次蒙受主你的護照 能夠回到主你的身旁
[00:01:38.200 --> 00:01:43.340]  讓我們好像在你的膝前 一起來到聆聽主你的說話
[00:01:43.340 --> 00:01:47.440]  透過聖靈的引導 使我們明白上帝你的心腸
[00:01:47.440 --> 00:01:50.400]  我們再次把這段時間奉獻在上帝
[00:01:50.400 --> 00:01:55.700]  讓我們更曉得要好好預備 在永恆的當中與你同和
[00:01:55.700 --> 00:02:01.400]  我們禱告 封住耶穌的名臣 Amen
[00:02:01.400 --> 00:02:05.920]  到今年我都入伍了 是不是?
[00:02:05.920 --> 00:02:10.640]  入伍通常做人做了幾十年 都可以這麼說
[00:02:10.640 --> 00:02:15.700]  有一點點心得 尤其是我都做了基督徒接近三十年
[00:02:15.700 --> 00:02:20.520]  在這條路上的過程當中 有很多不同的體會
[00:02:20.520 --> 00:02:27.000]  特別都很想和大家在了解上帝的說話的過程當中
[00:02:27.000 --> 00:02:30.160]  能夠真是可以有這樣的分享的機會
[00:02:30.160 --> 00:02:33.180]  其實覺得人生在整個路途上
[00:02:33.180 --> 00:02:38.680]  就好像我們搭著一條公共汽車一樣
[00:02:38.680 --> 00:02:43.720]  每個人都在不同的點上面去上車
[00:02:43.720 --> 00:02:48.260]  在途中可能有很多人又上車又下車
[00:02:48.260 --> 00:02:51.260]  和你結伴了很一段的時間
[00:02:51.260 --> 00:02:54.600]  有些只能可能是和你有一個一面之緣
[00:02:54.600 --> 00:02:57.620]  有些人可能和你搭過幾個車站
[00:02:57.620 --> 00:03:02.580]  甚至有些人可能甚至去到很接近你的終點站
[00:03:02.580 --> 00:03:07.120]  但是最終能否真是與你去到終點
[00:03:07.120 --> 00:03:10.200]  甚至回到家裏面呢?
[00:03:10.200 --> 00:03:14.360]  我相信這樣的人只是寥寥可數
[00:03:14.360 --> 00:03:18.360]  甚至只可以這麼說 是你的幾位的親人
[00:03:18.360 --> 00:03:21.960]  為什麼我將人生比喻成這樣的過程呢?
