
[00:00:00.000 --> 00:00:03.680]  敬拜其實就是我們來到主面前的時候
[00:00:03.680 --> 00:00:05.440]  是看到主的偉大
[00:00:05.440 --> 00:00:07.000]  看到主的恩典
[00:00:07.000 --> 00:00:08.640]  看到我們自己的渺小
[00:00:08.640 --> 00:00:11.680]  我們的心自然就會打開
[00:00:11.680 --> 00:00:15.120]  願意今晚我們一齊的時間
[00:00:15.120 --> 00:00:16.080]  剛才是詩歌
[00:00:16.080 --> 00:00:19.200]  我們又是一齊看主的話語的時間
[00:00:19.200 --> 00:00:21.680]  都求主藉著祂的聖靈
[00:00:21.680 --> 00:00:24.560]  可以對我們每個人說話
[00:00:24.560 --> 00:00:29.440]  我想請大家打開主席為我們讀的經文
[00:00:29.440 --> 00:00:31.880]  是今天要看的經文《馬太福音》第28章
[00:00:31.880 --> 00:00:33.720]  16至20節
[00:00:33.720 --> 00:00:37.960]  在大家的聖經是
[00:00:37.960 --> 00:00:39.520]  一千幾多
[00:00:39.520 --> 00:00:40.640]  我都忘記了
[00:00:40.640 --> 00:00:44.600]  一千五百零三頁
[00:00:44.600 --> 00:00:52.760]  OK 一千五百零三頁
[00:00:52.760 --> 00:00:55.760]  讓我再讀一次這段經文
[00:00:55.760 --> 00:00:58.600]  我們再進入這段經文
[00:00:58.600 --> 00:01:00.760]  《馬太福音》第28章
[00:01:00.760 --> 00:01:01.760]  16至20節
[00:01:01.760 --> 00:01:03.040]  是新日本的
[00:01:03.040 --> 00:01:05.480]  十二個門徒往加利利去
[00:01:05.480 --> 00:01:08.080]  到了耶穌指定的山上
[00:01:08.080 --> 00:01:11.000]  他們看見耶穌就拜祂
[00:01:11.000 --> 00:01:13.320]  但仍然有些人懷疑
[00:01:13.320 --> 00:01:15.920]  耶穌上前來對他們說
[00:01:15.920 --> 00:01:19.960]  天上地上一切的權柄都賜給我了
[00:01:19.960 --> 00:01:23.640]  所以你們要使萬民作我的門徒
[00:01:23.640 --> 00:01:27.200]  奉父子聖靈的名給他們施洗
[00:01:27.200 --> 00:01:29.240]  這裏有另一個譯法
[00:01:29.240 --> 00:01:30.720]  括弧的細字說
[00:01:30.720 --> 00:01:32.800]  或者給他們施洗
[00:01:32.800 --> 00:01:35.840]  歸入父子聖靈的名
[00:01:35.840 --> 00:01:37.400]  歸入父子聖靈的名
[00:01:37.400 --> 00:01:38.200]  大家留意一下
[00:01:38.200 --> 00:01:39.160]  第20節
