
[00:00:00.000 --> 00:00:04.600]  此錄音或錄影的版權屬基督教宣道會、北教堂所有
[00:00:04.600 --> 00:00:09.220]  我們的屬靈傳統之一,是以真理教導為本
[00:00:09.220 --> 00:00:13.820]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:13.820 --> 00:00:19.980]  懇請注意,未經授權,請勿轉錄或剪輯本錄音或錄影
[00:00:19.980 --> 00:00:24.320]  聖願就像十讀行傳二十章三十二節所說
[00:00:24.320 --> 00:00:28.420]  這道能夠傳遞給我們所有的信徒
[00:00:28.420 --> 00:00:34.820]  這道能建立你們,叫你們和一切成聖的人同德及義
[00:00:34.820 --> 00:00:38.920]  弟兄姊妹主日平安
[00:00:38.920 --> 00:00:45.060]  在這颱風的主日,冤主賜給你們有平安
[00:00:45.060 --> 00:00:51.200]  在我們領受今天的道儀前,我們有一個禱告
[00:00:51.200 --> 00:00:57.600]  我們一起來禱告
[00:00:57.600 --> 00:01:03.740]  滿有智慧的神,我們在今天
[00:01:03.740 --> 00:01:09.880]  來親近你,我們打開聖經
[00:01:09.880 --> 00:01:16.040]  尋求你的智慧,願主你今天引導我們
[00:01:16.040 --> 00:01:21.160]  來留心聽,專心求,使我們的智慧
[00:01:21.160 --> 00:01:26.280]  在你的保守之下,每一天都有增長
[00:01:26.280 --> 00:01:31.400]  以致你可以保守我們,走一條人生正直的路
[00:01:31.400 --> 00:01:35.500]  禱告奉耶穌基督的名求,阿們
[00:01:35.500 --> 00:01:41.640]  弟兄姊妹,這個主日我們繼續的來
[00:01:41.640 --> 00:01:45.480]  看看真言的一些教導
[00:01:45.480 --> 00:01:52.640]  真言是來自父母親對愛兒的一個教導
[00:01:52.640 --> 00:01:58.780]  是一種家庭的教育,我不知道在你的家庭裡面
[00:01:58.780 --> 00:02:05.180]  父母親對你有過怎麼樣的教導呢?我自己的父母對我的教導
[00:02:05.180 --> 00:02:11.320]  就是人不要太短視,要有遠見,要有目標
[00:02:11.320 --> 00:02:17.480]  為將來做好預備,當他們信主之後,他們對我的
[00:02:17.480 --> 00:02:23.120]  教導是,我們家得來的一切,我們所擁有的一切
[00:02:23.120 --> 00:02:28.240]  其實都是上帝所賜的,以前我們會以為
[00:02:28.240 --> 00:02:35.400]  這一些都是靠我們自己的力量來賺取得來的
[00:02:35.400 --> 00:02:41.040]  但是現在我們知道這一切都是神賞賜
[00:02:41.040 --> 00:02:47.700]  神保守的,父母給我的教導讓我受用一生
[00:02:47.700 --> 00:02:53.840]  他們因為愛我,給我這些的教導,希望我有一個幸福的未來
[00:02:53.840 --> 00:02:59.980]  而我發現原來這些的教導慢慢慢慢的在塑造
[00:02:59.980 --> 00:03:06.140]  我的品格,猶太人跟中國人一樣非常
[00:03:06.140 --> 00:03:12.280]  重視這個家庭教育的,除了是塑造
[00:03:12.280 --> 00:03:18.420]  他們的品格以外,還有最大的目的呢,他們要來學習
[00:03:18.420 --> 00:03:23.540]  妥拉神的教會,是要來敬畏神
[00:03:23.540 --> 00:03:29.180]  在中世紀的猶太的社會呢,小孩子開始學十字的時候
[00:03:29.180 --> 00:03:34.300]  他們會舉行一個隆重的儀式的,流傳到今天
[00:03:34.300 --> 00:03:39.420]  他們也會有這樣的一個儀式,你在PPT裡面就看到
[00:03:39.420 --> 00:03:44.540]  那些的小孩跟大人會戴上象徵很敬虔的
[00:03:44.540 --> 00:03:52.220]  一個長方形的披肩叫Tsitsit,由父親帶著小孩走向老師
[00:03:52.220 --> 00:04:00.160]  然後老師會引領男孩坐在他的大腿上,展示一塊石板給他看
[00:04:00.160 --> 00:04:08.600]  寫著一些上帝的妥拉,一些的律法,然後上面還會寫著一行字
[00:04:08.600 --> 00:04:15.520]  就是希伯來文的「但願妥拉成為你的終生執志」
[00:04:15.520 --> 00:04:19.100]  那老師宣讀每一個字,小孩就跟著念
[00:04:19.100 --> 00:04:26.540]  然後石板上就會沾滿一些的蜂蜜,那小孩就去舔它
[00:04:26.540 --> 00:04:31.920]  就代表耶和華的律法就好像蜜糖般一樣的甘甜
[00:04:31.920 --> 00:04:38.060]  那到今天猶太人的母親都會把蜂蜜滴在書本上
[00:04:38.060 --> 00:04:43.940]  讓孩子來舔一下的,目的就是讓他從小就知道
[00:04:43.940 --> 00:04:48.560]  書是甜的,神的律法也是甜的
[00:04:48.560 --> 00:04:56.500]  就建立起他們對書、對上帝律法的一個喜愛之情
[00:04:56.500 --> 00:05:00.840]  這一篇的《箴言二章》的猶太人的父親
[00:05:00.840 --> 00:05:10.060]  他的家庭教育也是教導孩子要正確地來對待智慧的態度
[00:05:10.060 --> 00:05:16.980]  就是讓神的智慧塑造他成為一個正直、純良的人
[00:05:16.980 --> 00:05:20.820]  好走在一條正道之上
[00:05:20.820 --> 00:05:26.460]  我們今天也來聽聽這位蜀靈父親有關智慧的教導
[00:05:26.460 --> 00:05:30.300]  相信也會對我們受用一生
[00:05:30.300 --> 00:05:36.180]  首先我想帶大家看看《箴言二章》很美麗的一個結構
[00:05:36.180 --> 00:05:41.820]  它是模仿希伯來文22個字母寫成的詩歌
[00:05:41.820 --> 00:05:44.880]  就解釋了為什麼會有22節
[00:05:44.880 --> 00:05:50.000]  它的字母未必每一個連著來
[00:05:50.000 --> 00:05:53.840]  所以它是叫仿字母詩
[00:05:53.840 --> 00:06:01.780]  這篇的仿字母詩它是一口氣的講完的
[00:06:01.780 --> 00:06:04.840]  就是不斷氣的一口氣的講完
[00:06:04.840 --> 00:06:08.440]  所以就出現了一個很有趣的一個結構
[00:06:08.440 --> 00:06:16.120]  你看就是如果你一到四節對待智慧有一個正確的態度
[00:06:16.120 --> 00:06:20.220]  你就會明白五到九節有兩件事
[00:06:20.220 --> 00:06:25.080]  那你就會獲得十到十九節兩個好處
[00:06:25.080 --> 00:06:26.880]  最後就有一個結論
[00:06:26.880 --> 00:06:35.060]  二十到二十二節智慧人行在生命之道上
[00:06:35.060 --> 00:06:38.640]  從結構我們看見《箴言二章》
[00:06:38.640 --> 00:06:41.460]  它有一個很巧妙的巧合
[00:06:41.460 --> 00:06:43.760]  就是數字二
[00:06:43.760 --> 00:06:45.300]  《箴言二章》
[00:06:45.300 --> 00:06:49.900]  然後會明白兩件事兩個好處
[00:06:49.900 --> 00:06:51.700]  然後有二十二節
[00:06:51.700 --> 00:06:56.820]  我覺得這個是很巧妙的一個安排
[00:06:56.820 --> 00:06:59.380]  在北方的方言裡面
[00:06:59.380 --> 00:07:01.180]  有一句就是你真二
[00:07:01.180 --> 00:07:06.300]  你真二就是你表達這個人有點傻氣和冒失
[00:07:06.300 --> 00:07:09.120]  希望我們對待智慧不會是二
[00:07:09.120 --> 00:07:11.680]  而是讓這個數字二
[00:07:11.680 --> 00:07:16.280]  說明要你記得今天的一個信息
[00:07:16.280 --> 00:07:18.340]  做一個智慧人
[00:07:18.340 --> 00:07:24.740]  《箴言二章》的主題就是讓智慧塑造你成為一個正直
[00:07:24.740 --> 00:07:26.260]  純良的人
[00:07:26.260 --> 00:07:30.880]  智慧就會保護你行在正道之上
[00:07:30.880 --> 00:07:35.240]  今天我會跟大家來分享三點
[00:07:35.240 --> 00:07:38.300]  第一點就是珍藏智慧
[00:07:38.300 --> 00:07:39.840]  竭力尋求
[00:07:39.840 --> 00:07:41.640]  珍藏智慧
[00:07:41.640 --> 00:07:44.440]  竭力尋求
[00:07:44.440 --> 00:07:49.560]  智者的父親他要愛兒得智慧的第一步
[00:07:49.560 --> 00:07:53.400]  就是對待智慧的正確的態度
