
[00:00:00.000 --> 00:00:02.000]  先一同低頭祈禱
[00:00:02.000 --> 00:00:05.000]  多謝天父,感謝祢的恩典
[00:00:05.000 --> 00:00:09.000]  賜我們有這個時間一同思想祢的說話
[00:00:09.000 --> 00:00:12.000]  放我們求聖靈在我們當中幫助我們
[00:00:12.000 --> 00:00:15.000]  令我們明白祢的說話
[00:00:15.000 --> 00:00:18.000]  並願意跟隨我們的主上帝
[00:00:18.000 --> 00:00:21.000]  奉耶穌基督的名祈禱,阿們
[00:00:21.000 --> 00:00:27.000]  今天我們來到《路德記》的最後一段
[00:00:27.000 --> 00:00:29.000]  我們就會看完《路德記》了
[00:00:29.000 --> 00:00:33.000]  下星期開始有一個新的系列講道
[00:00:33.000 --> 00:00:36.000]  就是看啟示錄
[00:00:36.000 --> 00:00:40.000]  如果你覺得啟示錄很難明白的話
[00:00:40.000 --> 00:00:43.000]  就記得要回來參加主人崇拜了
[00:00:43.000 --> 00:00:47.000]  牧師會盡力來解釋清楚
[00:00:47.000 --> 00:00:50.000]  今天《路德記》的經文
[00:00:50.000 --> 00:00:53.000]  在四章十三節至十六節
[00:00:53.000 --> 00:00:59.000]  讓我們看到一個很快樂很歡樂的氣氛
[00:00:59.000 --> 00:01:02.000]  還記得上個星期我們看到
[00:01:02.000 --> 00:01:08.000]  拿俄美的至親放棄了屬地權
[00:01:08.000 --> 00:01:13.000]  波亞斯願意承擔這個責任之後
[00:01:13.000 --> 00:01:16.000]  就皆大歡喜了
[00:01:16.000 --> 00:01:20.000]  在場的長老也祝福波亞斯和路德
[00:01:20.000 --> 00:01:28.000]  會生養眾多,又昌盛,又富有,又有聲望
[00:01:28.000 --> 00:01:33.000]  如果《路德記》在那裏完結的話
[00:01:33.000 --> 00:01:38.000]  就是一個喜劇收場,英雄愛情的故事
[00:01:38.000 --> 00:01:43.000]  不過這個故事就不是在那裏結束
[00:01:43.000 --> 00:01:49.000]  值得我們再思考作者的用意
[00:01:49.000 --> 00:01:53.000]  在西方很多白馬王子和白雪公主的故事
[00:01:53.000 --> 00:01:57.000]  講到他們經歷了很多艱難
[00:01:57.000 --> 00:02:00.000]  艱難之後到了最後終於結婚
[00:02:00.000 --> 00:02:05.000]  他們從此快樂地生活就結束了
[00:02:05.000 --> 00:02:08.000]  They live happily ever after
[00:02:08.000 --> 00:02:11.000]  那些是典型的神話故事
[00:02:11.000 --> 00:02:15.000]  結了婚是很難永遠幸福快樂的
[00:02:15.000 --> 00:02:17.000]  有很多生活的問題
[00:02:17.000 --> 00:02:19.000]  養兒育女的問題
[00:02:19.000 --> 00:02:20.000]  經濟的問題
[00:02:20.000 --> 00:02:21.000]  住屋的問題
[00:02:21.000 --> 00:02:23.000]  家庭的糾紛
[00:02:23.000 --> 00:02:25.000]  甚至離婚
[00:02:25.000 --> 00:02:28.000]  或者其中有一位配偶患癌症早死
[00:02:28.000 --> 00:02:31.000]  都會在不同的人生中發生
[00:02:31.000 --> 00:02:34.000]  所以故事怎樣結束
[00:02:34.000 --> 00:02:41.000]  都會讓我們發掘出作者寫這個故事的目的
[00:02:41.000 --> 00:02:45.000]  經文十三節一開始就告訴我們
[00:02:45.000 --> 00:02:48.000]  波亞斯娶了路德之後
[00:02:48.000 --> 00:02:54.000]  馬上生了一個兒子
[00:02:54.000 --> 00:02:57.000]  女人懷孕其實大家都知道
[00:02:57.000 --> 00:03:00.000]  不一定是生兒子的
[00:03:00.000 --> 00:03:02.000]  可以生女兒的
