
[00:00:00.000 --> 00:00:06.000]  其實我有時候在想如果來國語堂講到應該把這個系列改一下名字
[00:00:06.000 --> 00:00:09.000]  應該改成QQ傳奇或者是人人傳奇
[00:00:09.000 --> 00:00:14.000]  因為我知道從國內來的朋友其實不是大家都用Facebook
[00:00:14.000 --> 00:00:18.000]  那香港人來的香港那邊過來的幾乎都用
[00:00:18.000 --> 00:00:20.000]  那麼當然也不是每個都用
[00:00:20.000 --> 00:00:22.000]  偶爾也會遇到一個不用的
[00:00:22.000 --> 00:00:24.000]  我最近碰到一個很特別的學生
[00:00:24.000 --> 00:00:27.000]  17歲他不用Facebook
[00:00:27.000 --> 00:00:28.000]  有一天我載他回家
[00:00:28.000 --> 00:00:30.000]  然後他在後面問我說
[00:00:30.000 --> 00:00:31.000]  你們下禮拜五是什麼活動
[00:00:31.000 --> 00:00:36.000]  那我就說我們會把活動的內容post上去Facebook
[00:00:36.000 --> 00:00:38.000]  你自己上去看吧
[00:00:38.000 --> 00:00:41.000]  然後他就說不好意思我不用Facebook
[00:00:41.000 --> 00:00:43.000]  我也不用QQ
[00:00:43.000 --> 00:00:44.000]  我也沒有WhatsApp
[00:00:44.000 --> 00:00:45.000]  我也不用Email
[00:00:45.000 --> 00:00:47.000]  基本上我手機都不用
[00:00:47.000 --> 00:00:49.000]  是因為出國的緣故
[00:00:49.000 --> 00:00:51.000]  我媽逼我我才開了一個手機
[00:00:51.000 --> 00:00:53.000]  但基本上我平時是不用的
[00:00:53.000 --> 00:00:57.000]  那我開始以為是他在開玩笑耍我
[00:00:57.000 --> 00:00:59.000]  所以我就沒有理他
[00:00:59.000 --> 00:01:01.000]  後來他的室友就在旁邊就說
[00:01:01.000 --> 00:01:02.000]  他是說認真的
[00:01:02.000 --> 00:01:03.000]  他真的沒有Facebook
[00:01:03.000 --> 00:01:04.000]  沒有QQ
[00:01:04.000 --> 00:01:05.000]  沒有WhatsApp
[00:01:05.000 --> 00:01:06.000]  沒有Email
[00:01:06.000 --> 00:01:08.000]  手機基本上也不用
[00:01:08.000 --> 00:01:09.000]  那我就看著他
[00:01:09.000 --> 00:01:11.000]  我就問他說
[00:01:11.000 --> 00:01:13.000]  那你平時都在幹嘛
[00:01:13.000 --> 00:01:15.000]  你知道這個時代如果你沒有Facebook
[00:01:15.000 --> 00:01:18.000]  我們都假設你應該是沒事做的
[00:01:18.000 --> 00:01:20.000]  所以我就問他說你平時都在幹嘛
[00:01:20.000 --> 00:01:24.000]  那他就說我平時沒事的時候
[00:01:24.000 --> 00:01:29.000]  就喜歡背一下莎士比亞的詩
[00:01:29.000 --> 00:01:36.000]  然後你知道人生有些的moment
[00:01:36.000 --> 00:01:41.000]  是你完全不知道怎麼回應
[00:01:41.000 --> 00:01:45.000]  然後就為了證明他不是開玩笑耍我
[00:01:45.000 --> 00:01:46.000]  我就做了一些
[00:01:46.000 --> 00:01:49.000]  一件讓我人生很後悔的事情
[00:01:49.000 --> 00:01:50.000]  我就問他說
[00:01:50.000 --> 00:01:53.000]  那你可以背一兩首給我聽聽嗎
[00:01:53.000 --> 00:01:54.000]  對
[00:01:54.000 --> 00:01:56.000]  然後接下來發生的事情
[00:01:56.000 --> 00:01:57.000]  就是非常恐怖
[00:01:57.000 --> 00:02:02.000]  然後他就一首一首又接一首的
[00:02:02.000 --> 00:02:06.000]  不停的背莎士比亞的詩給我聽
[00:02:06.000 --> 00:02:08.000]  然後他的坐在旁邊的室友
[00:02:08.000 --> 00:02:09.000]  就很無奈的說
[00:02:09.000 --> 00:02:13.000]  他平時在家裡就是這樣子的
[00:02:13.000 --> 00:02:15.000]  那我就很同情的看著他說
[00:02:15.000 --> 00:02:16.000]  兄弟再堅持一下
[00:02:16.000 --> 00:02:21.000]  我會盡快幫你找地方搬的
[00:02:21.000 --> 00:02:23.000]  所以雖然偶爾會遇到不用
[00:02:23.000 --> 00:02:25.000]  那大部分從香港來的朋友
[00:02:25.000 --> 00:02:26.000]  都是用Facebook
[00:02:26.000 --> 00:02:27.000]  那Facebook現在聽說
[00:02:27.000 --> 00:02:29.000]  有九億的人在用
[00:02:29.000 --> 00:02:30.000]  聽說預算明年
[00:02:30.000 --> 00:02:33.000]  大概會漲到十億的人在使用
[00:02:33.000 --> 00:02:35.000]  所以全球大概六分之一的人
[00:02:35.000 --> 00:02:37.000]  會在使用Facebook
[00:02:37.000 --> 00:02:39.000]  那麼其實Facebook的成功
[00:02:39.000 --> 00:02:41.000]  無疑證明了一個不變的真理
[00:02:41.000 --> 00:02:43.000]  就是原來人需要朋友
[00:02:43.000 --> 00:02:45.000]  我們並不是獨居的動物
[00:02:45.000 --> 00:02:46.000]  我們是群居的動物
[00:02:46.000 --> 00:02:47.000]  我們需要朋友
[00:02:47.000 --> 00:02:49.000]  我們需要跟人家溝通
[00:02:49.000 --> 00:02:51.000]  我們需要有東西跟人家分享
[00:02:51.000 --> 00:02:52.000]  我們需要愛
[00:02:52.000 --> 00:02:53.000]  愛就需要有關係
[00:02:53.000 --> 00:02:55.000]  除非你一直都是自戀
[00:02:55.000 --> 00:02:59.000]  不然的話你就需要有一段的關係
[00:02:59.000 --> 00:03:01.000]  而且隨著高科技的發展
[00:03:01.000 --> 00:03:03.000]  我們很多人都很
