
[00:00:00.000 --> 00:00:03.080]  今日想同大家睇一段聖經
[00:00:03.080 --> 00:00:05.560]  就是聖經第一章一至十一節
[00:00:05.560 --> 00:00:09.440]  未睇之前我想問下大家一個問題
[00:00:09.440 --> 00:00:12.400]  你就諗下喎
[00:00:12.400 --> 00:00:15.840]  假如你要做一個工作
[00:00:15.840 --> 00:00:20.160]  你相唔相信當你為那件工作祈禱之後
[00:00:20.160 --> 00:00:23.080]  你覺得那份工作是更有效的成就
[00:00:23.080 --> 00:00:25.480]  即是有更好的結果出現呢?
[00:00:25.480 --> 00:00:28.240]  或者如果你在當中你是學生
[00:00:28.240 --> 00:00:29.680]  你都會為學業祈禱
[00:00:29.680 --> 00:00:32.560]  你相唔相信你為你的學業祈禱的時候
[00:00:32.560 --> 00:00:35.280]  能夠幫助你學習更有果效呢?
[00:00:35.280 --> 00:00:38.400]  如果你覺得你相信你舉手
[00:00:38.400 --> 00:00:40.560]  好 放下手
[00:00:40.560 --> 00:00:44.920]  在當中可能有機會我們都會做侍奉服侍
[00:00:44.920 --> 00:00:48.920]  你相不相信當你為那項侍奉來祈禱的時候
[00:00:48.920 --> 00:00:50.800]  那個侍奉你會做得更好呢?
[00:00:50.800 --> 00:00:52.560]  你相信你的舉手
[00:00:52.560 --> 00:00:53.760]  好 放下手
[00:00:53.760 --> 00:00:55.520]  這個問題就不用舉手
[00:00:55.520 --> 00:00:57.640]  你心裏面去思想一下
[00:00:57.640 --> 00:01:00.960]  剛才我們都會相信當你將你的工作
[00:01:00.960 --> 00:01:03.720]  侍奉或者學業擺上祈禱的時候
[00:01:03.720 --> 00:01:08.040]  我們相信上世當中會更有大的幫助我們
[00:01:08.040 --> 00:01:09.200]  我想問一下
[00:01:09.200 --> 00:01:12.560]  那你在禱告上怎樣擺上
[00:01:12.560 --> 00:01:15.200]  在你的工作上 學業上 侍奉上
[00:01:15.200 --> 00:01:17.600]  怎樣擺上你的禱告呢?
[00:01:17.600 --> 00:01:21.440]  你用多少時間去放在禱告裏面呢?
[00:01:21.440 --> 00:01:23.240]  在禱告的功夫裏面
[00:01:23.240 --> 00:01:30.320]  你用多少功夫 使禱告更加實在呢?
[00:01:30.320 --> 00:01:34.680]  今天很想和大家看看尼熙米的禱告
[00:01:34.680 --> 00:01:38.800]  想和他身上裏面學習
[00:01:38.800 --> 00:01:40.080]  我們一起來讀
[00:01:40.080 --> 00:01:43.760]  單節數由我讀 雙節數請匯總
[00:01:43.760 --> 00:01:47.360]  哈加利亞的兒子尼熙米的言語如下
[00:01:47.360 --> 00:02:06.600]  「阿達薩西王二十年基斯留月 我在書山城的宮中」
[00:02:06.600 --> 00:02:10.520]  「他們對我說 那些秘魯歸回剩下的猶太人
[00:02:10.520 --> 00:02:13.920]  在猶太省遭大難受凌辱
[00:02:13.920 --> 00:02:28.240]  並且在耶路撒冷的城牆拆毀 城門被火焚燒」
[00:02:28.240 --> 00:02:53.680]  「耶和華天上的神 大而可畏的神 祢向愛祢 守祢誡命的人 守約 支持愛」
[00:02:53.680 --> 00:02:56.640]  「我們向祢所行的甚是邪惡
[00:02:56.640 --> 00:03:12.280]  唯有遵守祢藉著僕人摩西所吩咐的誡命 律例典章」
[00:03:12.280 --> 00:03:16.360]  「但你們若歸向我 謹守遵行我的誡命
[00:03:16.360 --> 00:03:19.440]  你們被廣散的人 須在天涯
[00:03:19.440 --> 00:03:22.960]  我也必從那裡將他們招聚回來
[00:03:22.960 --> 00:03:34.120]  帶到我所選立 為我名的居所」
[00:03:34.120 --> 00:03:37.280]  「主也求祢 質以聽祢僕人的祈禱
[00:03:37.280 --> 00:03:40.840]  和喜愛敬畏祢名 頌僕人的祈禱
[00:03:40.840 --> 00:03:45.600]  使祢僕人現今亨通 在王面前蒙恩
[00:03:45.600 --> 00:03:49.240]  我是作王走正的」
[00:03:49.240 --> 00:03:55.560]  未解聖經之前 我們先了解一下這段聖經的背景
[00:03:55.560 --> 00:04:00.160]  就是南郭猶大國被威 被巴比倫所消滅
[00:04:00.160 --> 00:04:02.280]  然後被孵到巴比倫
