
[00:00:00.000 --> 00:00:05.000]  邀請大家再次低頭祈禱
[00:00:05.000 --> 00:00:08.000]  真相我們感謝祢
[00:00:08.000 --> 00:00:11.000]  最多謝祢的呼喚 祢的吸引
[00:00:11.000 --> 00:00:14.000]  讓我們能夠放下很繁忙的生活和工作
[00:00:14.000 --> 00:00:17.000]  我們來到祢的殿裏一切的敬拜
[00:00:17.000 --> 00:00:20.000]  讓我們時刻有一份學悟祢的心
[00:00:20.000 --> 00:00:23.000]  更加是祝每一次能夠和祢相遇的機會
[00:00:23.000 --> 00:00:26.000]  讓聖靈時刻的去曉遇我們
[00:00:26.000 --> 00:00:30.000]  以至我們能夠去明白祢話語中的奧秘
[00:00:30.000 --> 00:00:33.000]  願聽的和說的都同蒙祢的月立
[00:00:33.000 --> 00:00:37.000]  祈禱奉主耶穌基督的名求 阿們
[00:00:37.000 --> 00:00:41.000]  我有兩個小朋友 都不小了
[00:00:41.000 --> 00:00:44.000]  現在正值暴風的時候
[00:00:44.000 --> 00:00:47.000]  我記得當他們還在讀小學的時候
[00:00:47.000 --> 00:00:52.000]  他很想和表哥去公共泳池游泳
[00:00:52.000 --> 00:00:54.000]  我其實都很放心讓他去
[00:00:54.000 --> 00:00:58.000]  因為他們很小的時候已經學游泳
[00:00:58.000 --> 00:01:00.000]  有得比我更加厲害
[00:01:00.000 --> 00:01:02.000]  不過他告訴我
[00:01:02.000 --> 00:01:04.000]  當他去到閘口的時候
[00:01:04.000 --> 00:01:06.000]  職員就問他
[00:01:06.000 --> 00:01:08.000]  弟弟 你幾多歲呀
[00:01:08.000 --> 00:01:13.000]  原來公共泳池有這樣的規矩
[00:01:13.000 --> 00:01:15.000]  就是不夠十三歲
[00:01:15.000 --> 00:01:17.000]  有沒有成人陪同的關係
[00:01:17.000 --> 00:01:20.000]  他是不可以入場
[00:01:20.000 --> 00:01:23.000]  他只可以看著表哥自己走進去
[00:01:24.000 --> 00:01:26.000]  大學聯招8月放榜
[00:01:26.000 --> 00:01:28.000]  如果按教育局的指引
[00:01:28.000 --> 00:01:32.000]  入大學最低的門檻就是中 英 數 通 識
[00:01:32.000 --> 00:01:37.000]  這四科裏面分別取得3322分數
[00:01:37.000 --> 00:01:45.000]  就算其他的科目都取得五星星最高級別
[00:01:45.000 --> 00:01:49.000]  不過只要這四科裏面的其中一科
[00:01:49.000 --> 00:01:51.000]  不達標的話
[00:01:51.000 --> 00:01:56.000]  都暫時對不起大學不能夠收你
[00:01:56.000 --> 00:01:58.000]  另外在我
[00:01:58.000 --> 00:02:02.000]  我想大家都認識一個影星
[00:02:02.000 --> 00:02:04.000]  叫做劉嘉玲
[00:02:04.000 --> 00:02:06.000]  大家都認識
[00:02:06.000 --> 00:02:13.000]  傳聞當年他投考無線電視藝人訓練班
[00:02:13.000 --> 00:02:15.000]  樣樣都很好
[00:02:15.000 --> 00:02:18.000]  當時的導師都很滿意
[00:02:18.000 --> 00:02:20.000]  但都不收他
[00:02:20.000 --> 00:02:22.000]  為什麼呢
[00:02:22.000 --> 00:02:26.000]  因為他的廣東話說得不好
[00:02:26.000 --> 00:02:31.000]  最後劉嘉玲用一年的時間去苦練自己的廣東話
[00:02:31.000 --> 00:02:38.000]  第二年他再申請的時候就順利被取錄
[00:02:38.000 --> 00:02:40.000]  在這些例子裏面告訴我們
