
[00:00:00.000 --> 00:00:05.160]  我開始說第一,我會集中在實哉
[00:00:05.160 --> 00:00:06.960]  為何會有實哉?
[00:00:06.960 --> 00:00:11.040]  為何在《賽卓記》裏面有實哉?
[00:00:11.040 --> 00:00:15.580]  實哉發出的原因是因為《賽卓記》第一章
[00:00:15.580 --> 00:00:18.380]  《賽卓記》的第一章是講甚麼呢?
[00:00:18.380 --> 00:00:20.460]  我現在沒有時間回來跟你讀
[00:00:20.460 --> 00:00:22.940]  但如果你記得一開始的時候
[00:00:22.940 --> 00:00:25.660]  一講了四百年之後的事情
[00:00:25.660 --> 00:00:31.900]  四百年之後又出了一個法老是不知道以前約瑟做過的偉大事蹟
[00:00:31.900 --> 00:00:35.660]  這是一個小前題,但大前題是甚麼呢?
[00:00:35.660 --> 00:00:44.860]  四百年之後,意識人生養眾多,凡險昌盛,極其強盛,遍滿了全地
[00:00:44.860 --> 00:00:48.260]  這是好事還是不好事?
[00:00:48.260 --> 00:00:49.300]  好事
[00:00:49.300 --> 00:00:54.580]  而生養眾多這個詞句是從何而來的?
[00:00:54.580 --> 00:00:58.560]  《整本聖經》第一次講生養眾多在哪裏呢?
[00:00:58.560 --> 00:01:02.940]  創世紀的第一章,其實不是亞當校,是第一章
[00:01:02.940 --> 00:01:05.940]  當上帝做了一些人,將人放在當中
[00:01:05.940 --> 00:01:10.620]  他吩咐他,上帝是一個創造的辱華
[00:01:10.620 --> 00:01:12.860]  創造的最終就是要他生養眾多
[00:01:12.860 --> 00:01:17.860]  我不跟你說香港人應該生多少個小孩,這是另一回事
[00:01:17.860 --> 00:01:22.020]  可能Gideon的家庭是很好的,十三、四個
[00:01:22.020 --> 00:01:26.020]  但我不跟你講是不是應該我們要努力生小孩的問題
[00:01:26.020 --> 00:01:30.860]  但我想跟你講,當你打開蔡埃及記者,看到他們生養眾多
[00:01:30.860 --> 00:01:33.700]  這件事會打爛手掌
[00:01:33.700 --> 00:01:38.500]  在這個時候出了一個法老,法老是叫做反創造
[00:01:38.500 --> 00:01:41.620]  為甚麼呢?不可以生這麼多
[00:01:41.620 --> 00:01:47.020]  法老當然有很直接的原因,就是他這麼多人,一會兒反起來
[00:01:47.020 --> 00:01:52.020]  中秋半疫怎麼辦呢?我們被他起義,我們就全死了
[00:01:52.020 --> 00:01:54.900]  於是就做了幾件事
[00:01:54.900 --> 00:01:58.940]  第一,叫他們做勞苦的工作,不斷要起義
[00:01:58.940 --> 00:02:04.220]  結果,越是迫迫他們,他們越生得多
[00:02:04.220 --> 00:02:08.060]  於是就開始想另一條死橋
[00:02:08.060 --> 00:02:15.740]  叫他們當中的接生婆
[00:02:15.740 --> 00:02:21.100]  看到如果是兒子,就將他扔到哪裏呢?
[00:02:21.100 --> 00:02:28.700]  不是扔他,隨便扔河,扔哪個河?長江?黃河?
[00:02:28.700 --> 00:02:33.660]  尼羅河,很重要的,這個尼羅河在我們十哉裏面會不會再出來?
[00:02:33.660 --> 00:02:38.060]  當然會出來,你知嗎?以其人之道反至其人之身
[00:02:38.060 --> 00:02:43.780]  上帝是報復的,很明顯擺明是報復的
[00:02:43.780 --> 00:02:48.580]  埃及的法老要將以色列的藍丁扔到哪裏呢?
[00:02:48.580 --> 00:02:50.180]  扔入尼羅河
[00:02:50.180 --> 00:02:55.740]  其實如果你熟悉埃及,你會知道最後誰在尼羅河
[00:02:55.740 --> 00:02:59.300]  不是尼羅河,是另一條河,叫做紅海
[00:02:59.300 --> 00:03:02.020]  誰葬身在紅海裏面?
[00:03:02.020 --> 00:03:05.380]  埃及人的藍丁,看不看得到?
[00:03:05.380 --> 00:03:09.660]  很明顯是大報復,以和華的大報復
[00:03:09.660 --> 00:03:15.620]  因為這樣的緣故就開始有個激戰
[00:03:15.620 --> 00:03:19.500]  激戰的最終是過紅海的
[00:03:19.500 --> 00:03:25.500]  或者激戰的終結是埃及的藍丁葬身於紅海裏面
[00:03:25.500 --> 00:03:27.300]  你跟我玩,我就跟你玩
[00:03:27.300 --> 00:03:30.180]  你想弄死我的兒子,我就弄死你的兒子
[00:03:30.180 --> 00:03:33.780]  我用同一招弄死你,弄死得更厲害
[00:03:33.780 --> 00:03:40.500]  在中間就有實災
[00:03:40.500 --> 00:03:44.780]  實災,當你去讀實災的時候,我想你留意一件事
[00:03:44.780 --> 00:03:49.060]  實災裏面有很多創造的主題
[00:03:49.060 --> 00:03:51.660]  實災不是隨便找些東西來做的
[00:03:51.660 --> 00:03:58.260]  而是它用回創世紀第一章裏面很多的一些主題
[00:03:58.260 --> 00:04:08.260]  來講上帝如何用創世紀第一章裏面的主題去災難性地懲罰埃及
[00:04:08.260 --> 00:04:10.980]  實災有哪些災呢?
[00:04:10.980 --> 00:04:14.580]  我們不是小學,小學就給你填充題
[00:04:14.580 --> 00:04:18.100]  留幾個空格給你填,第二災是什麽
[00:04:18.100 --> 00:04:21.500]  我不跟你講這些,你記不到也無所謂,我也記不到
[00:04:21.500 --> 00:04:26.060]  但我會逐個給你看,每個災難背後的意義
[00:04:26.060 --> 00:04:46.980]  但我們讀一讀,有哪些呢?有血災、有蛙災、蚊災、蠅災、蚊災、蟲災、博災、黃災、暗災、殺災
[00:04:46.980 --> 00:04:54.820]  但我們還漏了兩樣東西,就是實災的前後是有些東西是三文治著它的
