
[00:00:00.000 --> 00:00:02.800]  今日繼續有第三講
[00:00:02.800 --> 00:00:08.640]  講關於安息日和人生命的轉化
[00:00:08.640 --> 00:00:11.680]  爲什麼這麼重要呢?
[00:00:11.680 --> 00:00:14.160]  因爲你會發覺原來
[00:00:14.160 --> 00:00:17.760]  我們第一講講到神的創造和安息
[00:00:17.760 --> 00:00:24.160]  是神叫我們七天當中有一天是休息的
[00:00:24.160 --> 00:00:27.840]  上帝自己也都休息
[00:00:27.840 --> 00:00:32.160]  其中的意義我們講了兩堂
[00:00:32.160 --> 00:00:35.680]  就說上帝創造是從無到有的創造
[00:00:35.680 --> 00:00:37.840]  是創造得非常好
[00:00:37.840 --> 00:00:40.400]  是創造完了
[00:00:40.400 --> 00:00:44.400]  所以祂叫我們安息
[00:00:44.400 --> 00:00:47.200]  可以活用在我們人生裏面
[00:00:47.200 --> 00:00:49.680]  我們發覺到
[00:00:49.680 --> 00:00:51.520]  無論你怎麼工作都好
[00:00:51.520 --> 00:00:55.360]  其實我們的工作只是re-create
[00:00:55.360 --> 00:00:58.160]  或者是re-creation
[00:00:58.160 --> 00:01:02.400]  重新的組合已經創造了的東西
[00:01:02.400 --> 00:01:06.960]  不是你我能夠產生今天你所有的
[00:01:06.960 --> 00:01:08.240]  地上所有的
[00:01:08.240 --> 00:01:10.560]  是上帝所創造的
[00:01:10.560 --> 00:01:12.640]  我們可以安息因爲
[00:01:12.640 --> 00:01:18.880]  我們知道上帝已經做得很圓滿
[00:01:18.880 --> 00:01:20.240]  另一方面我們可以安息
[00:01:20.240 --> 00:01:24.800]  因爲上帝按着祂自己的形象做我們
[00:01:24.800 --> 00:01:27.600]  上帝的形象包括
[00:01:27.600 --> 00:01:30.720]  是不可以傳遞的屬性
[00:01:30.720 --> 00:01:34.960]  祂的全知、全能、全在、全善和全美
[00:01:34.960 --> 00:01:39.040]  沒有一個人是完全的唯有上帝
[00:01:39.040 --> 00:01:40.640]  但因爲上帝是完全的
