
[00:00:00.000 --> 00:00:03.000]  大家好 先和大家拜個年
[00:00:03.000 --> 00:00:04.240]  新年快樂
[00:00:04.240 --> 00:00:07.740]  祝大家身心靈都平安
[00:00:07.740 --> 00:00:11.500]  今天是我今年第一次在這裡講道
[00:00:11.500 --> 00:00:14.080]  今年我是被校務室
[00:00:14.080 --> 00:00:16.800]  安排了每個單月
[00:00:16.800 --> 00:00:18.840]  最後一個星期日講道
[00:00:18.840 --> 00:00:21.320]  即是下一次會是三月底
[00:00:21.320 --> 00:00:23.760]  五月底 七月底
[00:00:23.760 --> 00:00:27.860]  新一年我給自己講道一些新意
[00:00:27.860 --> 00:00:29.600]  一些新的挑戰
[00:00:30.000 --> 00:00:32.160]  以前在四段經課裏面
[00:00:32.160 --> 00:00:35.680]  我多數是選福音書來講道
[00:00:35.680 --> 00:00:39.980]  今年我給自己一個新的做法
[00:00:39.980 --> 00:00:42.640]  就是會選書信來講
[00:00:42.640 --> 00:00:48.080]  亦都會有意在邊緣位置那裏講一些
[00:00:48.080 --> 00:00:50.080]  講多些 甚麼叫做邊緣位置
[00:00:50.080 --> 00:00:51.460]  Marginal space
[00:00:51.460 --> 00:00:54.480]  你這樣出現來聽一下就知道了
[00:00:54.480 --> 00:00:59.360]  我和許立忠弟兄曾經合作出版過一本書
[00:00:59.360 --> 00:01:01.220]  叫做「邊緣人間」
[00:01:01.220 --> 00:01:03.900]  你可以找來看看 有些線索
[00:01:03.900 --> 00:01:08.360]  今天的經課是取自哥林多前書
[00:01:08.360 --> 00:01:10.880]  一章十節至十八節
[00:01:10.880 --> 00:01:13.280]  請我們一起打開今天的經課
[00:01:13.280 --> 00:01:14.460]  再讀一次
[00:01:14.460 --> 00:01:25.160]  哥林多前書一章十至十八節
[00:01:25.160 --> 00:01:27.160]  新約聖經182
[00:01:28.360 --> 00:01:30.360]  請聽我再讀一次
[00:01:58.360 --> 00:01:59.780]  我是屬基督的
[00:01:59.780 --> 00:02:01.780]  基督是分開的嗎
[00:02:01.780 --> 00:02:05.100]  保羅為你們釘了十字架嗎
[00:02:05.100 --> 00:02:08.480]  你們是奉保羅的名受了洗嗎
[00:02:08.480 --> 00:02:11.620]  我感謝神除了基督施報
[00:02:11.620 --> 00:02:13.960]  並該猶疑外
[00:02:13.960 --> 00:02:16.900]  我沒有給你們一人一個人施洗
[00:02:16.900 --> 00:02:20.300]  免得有人說你們是奉我的名受洗
[00:02:20.300 --> 00:02:24.180]  我也給史提法那家施過洗
[00:02:24.180 --> 00:02:26.540]  此外給別人施洗沒有
[00:02:26.540 --> 00:02:28.540]  我卻記不清
[00:02:28.540 --> 00:02:30.300]  基督差遣我
