
[00:00:00.000 --> 00:00:03.040]  疫情帶來很多負面影響
[00:00:03.040 --> 00:00:06.440]  例如內心憂慮、生活上的不便
[00:00:06.440 --> 00:00:10.680]  學業上的阻礙、結業和失業的無奈
[00:00:10.680 --> 00:00:13.280]  人與人之間的隔離等等
[00:00:13.280 --> 00:00:17.360]  但我們可否在這個完全改變了的生活環境中
[00:00:17.360 --> 00:00:20.840]  找到一些美善的人和美善的事
[00:00:20.840 --> 00:00:23.560]  找不找到一些不幸的事
[00:00:23.560 --> 00:00:26.240]  找不找到一些幸福的事
[00:00:26.240 --> 00:00:30.080]  美善的人和美善的事
[00:00:30.080 --> 00:00:33.520]  找不找到一些我們平時忽略了的事
[00:00:33.520 --> 00:00:36.520]  最近我留意到一些弟兄姊妹很有創意
[00:00:36.520 --> 00:00:39.560]  以不同的方式去善用這段時間
[00:00:39.560 --> 00:00:41.680]  例如有小朋友不用上學
[00:00:41.680 --> 00:00:44.480]  一家人分工合作一起煮飯
[00:00:44.480 --> 00:00:46.600]  一方面提升廚藝
[00:00:46.600 --> 00:00:49.440]  另一方面享受家庭之樂
[00:00:49.440 --> 00:00:51.120]  有人因為暫時失業
[00:00:51.120 --> 00:00:54.320]  於是找回中學時期用過的衣車
[00:00:54.320 --> 00:00:57.440]  做一些七彩繽紛的口罩和布袋
[00:00:57.440 --> 00:00:59.160]  有人藉著這個機會
[00:00:59.160 --> 00:01:02.280]  乘機學會和熟習一些新的科技
[00:01:02.280 --> 00:01:04.080]  例如用Zoom
[00:01:04.080 --> 00:01:05.600]  以前去超市買東西
[00:01:05.600 --> 00:01:08.160]  現在嘗試上網買東西
[00:01:08.160 --> 00:01:09.960]  有人因為Work from home
[00:01:09.960 --> 00:01:13.200]  所以減少了兩個小時的交通時間
[00:01:13.200 --> 00:01:15.080]  就利用這些多了的時間
[00:01:15.080 --> 00:01:17.760]  去看一些一直很想看的書
[00:01:17.760 --> 00:01:20.040]  有些人因為減少了教會的侍奉
[00:01:20.040 --> 00:01:24.560]  於是利用時間去安靜、默想、祈禱
[00:01:24.560 --> 00:01:27.600]  因為最近多了很多免費的網上課程
[00:01:27.600 --> 00:01:30.280]  有人就乘機去修讀一些課程
[00:01:30.280 --> 00:01:31.680]  環境變了
[00:01:31.680 --> 00:01:34.360]  生活節奏和模式都變了
[00:01:34.360 --> 00:01:38.240]  我們的心態都應該要隨著來改變
[00:01:38.240 --> 00:01:41.760]  新普及譯本在傳道書六章九節裡這樣說
[00:01:41.760 --> 00:01:43.320]  享受你擁有的
[00:01:43.320 --> 00:01:45.640]  勝過渴望你沒有的
[00:01:45.640 --> 00:01:48.320]  光夢想好東西是沒有疑的
[00:01:48.320 --> 00:01:50.320]  如同暴風
