
[00:00:00.000 --> 00:00:02.000]  今晚的講題
[00:00:02.000 --> 00:00:04.000]  相信很多的弟兄姊妹
[00:00:04.000 --> 00:00:06.000]  都覺得這一句話
[00:00:06.000 --> 00:00:07.000]  都很熟悉的了
[00:00:07.000 --> 00:00:09.000]  尤其是在香港
[00:00:09.000 --> 00:00:11.000]  這一句話
[00:00:11.000 --> 00:00:14.000]  都是在一些宣傳的語句
[00:00:14.000 --> 00:00:16.000]  是一些正面的
[00:00:16.000 --> 00:00:19.000]  主要是呼籲一些
[00:00:19.000 --> 00:00:23.000]  愛護寵物的一些朋友
[00:00:23.000 --> 00:00:25.000]  如果真的要
[00:00:27.000 --> 00:00:31.000]  在家裡擁有一隻寵物的時候
[00:00:31.000 --> 00:00:33.000]  要停一停 想一想
[00:00:33.000 --> 00:00:36.000]  要不然就變成什麼呢
[00:00:36.000 --> 00:00:39.000]  拿了一個寵物回家的時候
[00:00:39.000 --> 00:00:41.000]  或者是買了一個寵物回家的時候
[00:00:41.000 --> 00:00:44.000]  原來自己是應付不了的時候
[00:00:44.000 --> 00:00:45.000]  就怎樣呢
[00:00:45.000 --> 00:00:48.000]  那個寵物就變成一個流浪
[00:00:48.000 --> 00:00:50.000]  或者是被人棄置
[00:00:50.000 --> 00:00:53.000]  甚至乎拿到去防止約束會
[00:00:53.000 --> 00:00:55.000]  等等這些地方
[00:00:55.000 --> 00:00:58.000]  給了他們就算了
[00:00:58.000 --> 00:01:00.000]  然後自己就怎樣
[00:01:00.000 --> 00:01:03.000]  很輕輕鬆鬆脫身了
[00:01:03.000 --> 00:01:05.000]  或者是說得好聽一點的
[00:01:05.000 --> 00:01:08.000]  沒有很仔細去想清楚
[00:01:08.000 --> 00:01:10.000]  自己所做的事情的時候
[00:01:10.000 --> 00:01:12.000]  做了出來
[00:01:12.000 --> 00:01:14.000]  就好像這些領養寵物的時候
[00:01:14.000 --> 00:01:16.000]  想著做一件好事
[00:01:16.000 --> 00:01:18.000]  我們香港人就有一句
[00:01:18.000 --> 00:01:20.000]  好心做壞事
[00:01:20.000 --> 00:01:23.000]  結果都不是一件好的事情
[00:01:24.000 --> 00:01:26.000]  我們有一陣子
[00:01:26.000 --> 00:01:29.000]  尤其是現在香港的社會氛圍
[00:01:29.000 --> 00:01:32.000]  都讓我們看得到一件事
[00:01:32.000 --> 00:01:35.000]  一個古老的說話
[00:01:35.000 --> 00:01:38.000]  就是說起初口角
[00:01:38.000 --> 00:01:40.000]  然後怎樣
[00:01:40.000 --> 00:01:43.000]  繼而動武
[00:01:43.000 --> 00:01:47.000]  有一些命案都是因為這樣
[00:01:47.000 --> 00:01:50.000]  因為抵受不住
[00:01:50.000 --> 00:01:53.000]  一時之間那份怒氣
[00:01:53.000 --> 00:01:58.000]  而搞出一些命案出來
[00:01:58.000 --> 00:02:02.000]  這些事情我們很多時候都聽得到
[00:02:02.000 --> 00:02:04.000]  因為一時的衝動
[00:02:04.000 --> 00:02:08.000]  就做了一些錯誤的決定
[00:02:08.000 --> 00:02:11.000]  可想而知
[00:02:11.000 --> 00:02:14.000]  怒氣是會給人帶來一個
[00:02:14.000 --> 00:02:16.000]  什麼樣的結果
[00:02:16.000 --> 00:02:18.000]  急躁也是
[00:02:18.000 --> 00:02:21.000]  在一些這樣的情況之下
[00:02:21.000 --> 00:02:25.000]  所帶出來的結果都是壞的
[00:02:25.000 --> 00:02:27.000]  就好像
[00:02:27.000 --> 00:02:29.000]  阿國在這裡說
[00:02:29.000 --> 00:02:33.000]  怒氣也不能夠成就神的事情
[00:02:33.000 --> 00:02:35.000]  神的意義
[00:02:35.000 --> 00:02:38.000]  帶來一些壞的結果
[00:02:38.000 --> 00:02:41.000]  而這些壞的結果
[00:02:41.000 --> 00:02:45.000]  都是令人感受到
[00:02:45.000 --> 00:02:47.000]  一種威脅
[00:02:47.000 --> 00:02:51.000]  甚至失去了自己個人的前途
[00:02:51.000 --> 00:02:53.000]  但是
[00:02:53.000 --> 00:02:56.000]  是不是這麼清高呢
[00:02:56.000 --> 00:03:00.000]  我們說如果發怒就不是很不對
[00:03:00.000 --> 00:03:02.000]  耶穌也發怒
[00:03:02.000 --> 00:03:04.000]  在聖殿的門口
[00:03:04.000 --> 00:03:06.000]  拿著鞭子
[00:03:06.000 --> 00:03:10.000]  推倒別人的攤檔
