
[00:00:00.000 --> 00:00:00.960]  丁姊妹早安
[00:00:00.960 --> 00:00:04.800]  早前中秋節你怎樣慶祝
[00:00:04.800 --> 00:00:07.800]  都是和家人吃飯
[00:00:07.800 --> 00:00:08.960]  我們多數都是
[00:00:08.960 --> 00:00:13.240]  我們中國人除了過年是最大的節日
[00:00:13.240 --> 00:00:16.440]  如果我說中秋是第二大的節日
[00:00:16.440 --> 00:00:18.720]  我想很多人都會同意
[00:00:18.720 --> 00:00:21.760]  的確中秋節我們很著重
[00:00:21.760 --> 00:00:23.680]  能夠一家人齊齊整整
[00:00:23.680 --> 00:00:26.160]  可以一起團聚
[00:00:26.160 --> 00:00:27.880]  我有個哥哥
[00:00:27.880 --> 00:00:30.200]  我家裡只有兩兄弟
[00:00:30.200 --> 00:00:34.360]  所以自小一家四口
[00:00:34.360 --> 00:00:36.840]  不過我哥哥現在在英國生活
[00:00:36.840 --> 00:00:38.680]  他已經很多年了
[00:00:38.680 --> 00:00:43.040]  所以我很少機會可以見到他
[00:00:43.040 --> 00:00:47.040]  特別是在英國生了一對雙胞胎後
[00:00:47.040 --> 00:00:48.800]  情況就更加困難
[00:00:48.800 --> 00:00:50.440]  小朋友要照顧
[00:00:50.440 --> 00:00:52.640]  的確一家人可以平平安安
[00:00:52.640 --> 00:00:54.720]  可以一起見一次面
[00:00:54.720 --> 00:00:57.320]  不一定要等到中秋節
[00:00:57.320 --> 00:01:00.760]  已經是一個很珍惜的時刻
[00:01:00.760 --> 00:01:02.960]  這個對於我們一家人來說
[00:01:02.960 --> 00:01:05.040]  已經是一個不錯的福氣
[00:01:05.040 --> 00:01:09.600]  幾年前有宗新聞
[00:01:09.600 --> 00:01:12.120]  標題是
[00:01:12.120 --> 00:01:17.120]  英國雙胞胎失散67年
[00:01:17.120 --> 00:01:20.920]  不知彼此近在眼前
[00:01:22.680 --> 00:01:26.160]  雙胞胎大家知道有兩種
[00:01:26.160 --> 00:01:29.240]  一種是同樣的
[00:01:29.240 --> 00:01:30.920]  另一種是不太相同的
[00:01:30.920 --> 00:01:34.840]  我哥哥那對雙胞胎是不同的
[00:01:34.840 --> 00:01:38.440]  所以不是很難分出
[00:01:38.440 --> 00:01:43.400]  現在說到英國這對雙胞胎
[00:01:43.400 --> 00:01:46.000]  他們失散了67年
[00:01:46.000 --> 00:01:49.160]  這對姐妹一個叫珍妮花
[00:01:49.160 --> 00:01:51.360]  一個叫祖迪
[00:01:51.360 --> 00:01:54.320]  最後彼此發覺
[00:01:54.320 --> 00:01:57.960]  原來他們一直生活在一個地方
[00:01:57.960 --> 00:02:00.240]  他們相距不超過5公里
[00:02:00.240 --> 00:02:02.600]  很近的一個地方
[00:02:02.600 --> 00:02:06.120]  所以他不說我也猜到
[00:02:06.120 --> 00:02:09.400]  他們一定是不相似的那一種
[00:02:09.400 --> 00:02:10.600]  為什麼這樣說呢
[00:02:10.600 --> 00:02:13.880]  原來在二戰大戰的時候
[00:02:13.880 --> 00:02:16.560]  就拆散了這個家庭
[00:02:16.560 --> 00:02:18.640]  大戰將他們這兩姐妹
[00:02:18.640 --> 00:02:23.480]  分別給了兩個家庭領養
[00:02:23.480 --> 00:02:25.280]  後來亦發現
[00:02:25.280 --> 00:02:28.400]  原來他們一直住在
[00:02:28.400 --> 00:02:31.640]  英國約克郡的一個小鎮
[00:02:31.640 --> 00:02:35.760]  不過祖迪後來改了名
[00:02:35.760 --> 00:02:38.480]  在英國這麼小的小鎮裡
[00:02:38.480 --> 00:02:42.960]  原來他們的醫生和牙醫是同一個人
[00:02:42.960 --> 00:02:45.000]  甚至乎原來他們
[00:02:45.000 --> 00:02:47.640]  67年 你可以想像到他們的年紀
[00:02:47.640 --> 00:02:53.000]  他們的孫子孫女竟然是參加同一個戲劇小組
[00:02:53.000 --> 00:02:59.200]  當中珍妮花在一間藥房裡工作了40年
[00:02:59.200 --> 00:03:05.080]  而祖迪經常打電話到這間藥房訂藥
[00:03:05.080 --> 00:03:08.480]  雖然珍妮花的丈夫和祖迪
[00:03:08.480 --> 00:03:11.000]  其實在同一間學校讀書
[00:03:11.000 --> 00:03:11.840]  彼此認識
[00:03:11.840 --> 00:03:14.280]  但大家亦不為意
[00:03:14.280 --> 00:03:19.320]  原來大家有這麼親密的關係
[00:03:19.320 --> 00:03:21.840]  實在好像演戲一樣
[00:03:21.840 --> 00:03:23.520]  原來有一個電視台
[00:03:23.520 --> 00:03:26.320]  有一個尋親的節目
[00:03:26.320 --> 00:03:27.320]  這個尋親的節目
[00:03:27.320 --> 00:03:31.960]  幫他們彼此找對方讓他們相聚
[00:03:31.960 --> 00:03:33.760]  訪問祖迪的時候
[00:03:33.760 --> 00:03:34.880]  祖迪說
[00:03:34.880 --> 00:03:40.400]  現在我每個星期和珍妮花見面的時候
[00:03:40.400 --> 00:03:44.320]  我們彼此都去對方家裡一起喝茶聊天
[00:03:44.320 --> 00:03:48.960]  上一次我們還一起慶祝我們的生日
[00:03:48.960 --> 00:03:53.120]  還有什麼比這件事更加滿足呢?
[00:03:53.120 --> 00:03:57.320]  原來珍妮花在過去14年
[00:03:57.320 --> 00:04:00.840]  都曾經試圖透過一些社福機構
[00:04:00.840 --> 00:04:05.200]  很希望可以找回這位孿生的姐妹
[00:04:05.200 --> 00:04:07.400]  不過都不成功
[00:04:07.400 --> 00:04:10.720]  現在祖迪到了21歲的時候
[00:04:10.720 --> 00:04:13.760]  才發現自己被收養
[00:04:13.760 --> 00:04:19.520]  那時候才知道自己還有一位孿生的姐姐
[00:04:19.520 --> 00:04:20.640]  就是這樣
[00:04:20.640 --> 00:04:22.720]  67年的分開
[00:04:22.720 --> 00:04:25.640]  就是透過電視台的團隊
[00:04:25.640 --> 00:04:29.920]  四個月就幫他們找回對方
[00:04:29.920 --> 00:04:32.480]  解開了這個謎團
[00:04:32.480 --> 00:04:39.920]  安排了他們一個很深情的第一次
[00:04:39.920 --> 00:04:43.440]  67年來彼此相認的見面
[00:04:43.440 --> 00:04:45.840]  我們可以想像到那個場景
[00:04:45.840 --> 00:04:49.880]  多麼溫暖 多麼有福
[00:04:49.880 --> 00:04:56.760]  今天互聯網上網越來越厲害
[00:04:56.760 --> 00:04:58.040]  有那個力量
[00:04:58.040 --> 00:04:59.320]  其實類似的新聞
[00:04:59.320 --> 00:05:01.040]  我猜你也有聽過
[00:05:01.040 --> 00:05:02.600]  越來越多的新聞
[00:05:02.600 --> 00:05:07.040]  早前我也聽過內地有一位父親
[00:05:07.040 --> 00:05:08.920]  他也是透過上網
[00:05:08.920 --> 00:05:12.360]  互聯網找回在國家的另一邊
[00:05:12.360 --> 00:05:20.240]  找回他幾年前被人拐有的兒子
[00:05:20.240 --> 00:05:24.080]  其實就是一個要好的家人
[00:05:24.080 --> 00:05:26.200]  可以是天各一方
