
[00:00:00.000 --> 00:00:04.280]  每一個人可能曾經都有過偶像
[00:00:04.280 --> 00:00:08.600]  有一個你所認為的一個成功的榜樣
[00:00:08.600 --> 00:00:09.880]  在我自己來講
[00:00:09.880 --> 00:00:12.720]  我以前最喜歡的一個人
[00:00:12.720 --> 00:00:17.280]  就是希臘的著名哲學家蘇格拉底
[00:00:17.280 --> 00:00:21.240]  但是當我去喜歡這個人的時候
[00:00:21.240 --> 00:00:28.400]  我說我要怎麼樣才能成為像他這樣類似的人
[00:00:28.400 --> 00:00:30.040]  所以我在研究生的時候
[00:00:30.040 --> 00:00:32.040]  我讀的就是哲學
[00:00:32.040 --> 00:00:34.800]  但是我在研究生上課的第一天
[00:00:34.800 --> 00:00:39.120]  我的教授給我們講的是西方哲學史
[00:00:39.120 --> 00:00:41.240]  他問我們第一個問題說
[00:00:41.240 --> 00:00:43.840]  你們這幾個過來讀的話
[00:00:43.840 --> 00:00:46.560]  你是不是以後也想成為哲學家
[00:00:46.560 --> 00:00:47.640]  大家肯定說是
[00:00:47.640 --> 00:00:49.240]  因為去哲學院
[00:00:49.240 --> 00:00:50.520]  你在那裡學習的時候
[00:00:50.520 --> 00:00:55.040]  希望自己在那個方面會有所借書
[00:00:55.040 --> 00:00:56.560]  那個教授就問我們一個問題說
[00:00:56.560 --> 00:01:02.840]  你知道哲學家是怎麼煉成的嗎
[00:01:02.840 --> 00:01:05.480]  我們大家就眾說紛紜
[00:01:05.480 --> 00:01:08.320]  每個人可能有每個人不同的想法
[00:01:08.320 --> 00:01:10.400]  有人說哲學家是這樣出來的
[00:01:10.400 --> 00:01:12.920]  有人說哲學家是這麼出來的
[00:01:12.920 --> 00:01:15.920]  結果他給我們講一個故事
[00:01:15.920 --> 00:01:22.040]  他說希臘著名的哲學家蘇格拉底
[00:01:22.040 --> 00:01:23.640]  他有一個老婆
[00:01:23.640 --> 00:01:28.320]  他的老婆是一個非常潑辣的女人
[00:01:28.320 --> 00:01:32.480]  動不動就會對蘇格拉底無理地賣罵
[00:01:32.480 --> 00:01:34.880]  他說有一天蘇格拉底一進家門
[00:01:34.880 --> 00:01:36.280]  莫名其妙的
[00:01:36.280 --> 00:01:38.680]  他妻子對他破口大罵
[00:01:38.680 --> 00:01:42.440]  並且那些言語還不開錄目
[00:01:42.440 --> 00:01:43.440]  那個時候我覺得
[00:01:43.440 --> 00:01:45.720]  其實蘇格拉底可能習慣了這一切
[00:01:45.720 --> 00:01:47.320]  他一句話也不講
[00:01:47.320 --> 00:01:50.400]  就坐在旁邊吸著他的耶誕
[00:01:50.400 --> 00:01:53.120]  那個時候他的老婆越來越不高興
[00:01:53.120 --> 00:01:54.960]  越罵他他越毀化
[00:01:54.960 --> 00:01:57.400]  他就火冒三丈
[00:01:57.400 --> 00:01:59.640]  結果他發現旁邊有一桶水
[00:01:59.640 --> 00:02:02.400]  他拿過去直接澆在他的身上
[00:02:02.400 --> 00:02:06.040]  蘇格拉底的全身都濕透了
[00:02:06.040 --> 00:02:08.120]  他旁邊的鄰居看見了
[00:02:08.120 --> 00:02:10.800]  他的鄰居過來問蘇格拉底說
[00:02:10.800 --> 00:02:12.000]  真奇怪
[00:02:12.000 --> 00:02:14.160]  你老婆這麼罵你
[00:02:14.160 --> 00:02:15.680]  你一聲都不吭
[00:02:15.680 --> 00:02:18.440]  甚至把這一桶的水倒在你的身上
[00:02:18.440 --> 00:02:20.640]  你都一聲不吭
[00:02:20.640 --> 00:02:22.760]  你知道蘇格拉底怎麼回答嗎
[00:02:22.760 --> 00:02:25.080]  蘇格拉底不緊不慢地說
[00:02:25.080 --> 00:02:27.960]  我知道在一層淚跌之後
[00:02:27.960 --> 00:02:32.280]  必定會傾盤大雨
[00:02:32.280 --> 00:02:33.960]  那個老師說
[00:02:33.960 --> 00:02:37.760]  好 哲學家就是這樣獵成的
[00:02:37.760 --> 00:02:39.080]  他說當一個男人
[00:02:39.080 --> 00:02:41.920]  跟一個有神經病的女人在一起的時候
[00:02:41.920 --> 00:02:44.440]  他就是一個哲學家
[00:02:44.440 --> 00:02:46.360]  到後來我娶了一個老婆
[00:02:46.360 --> 00:02:48.440]  她既善良又溫柔
[00:02:48.440 --> 00:02:51.000]  所以我就決定我不做哲學家了
[00:02:51.000 --> 00:02:53.120]  我說這一輩子沒希望了
[00:02:53.120 --> 00:02:57.960]  所以改行決定要做牧師
[00:02:57.960 --> 00:03:00.200]  所以各位你知道
[00:03:00.200 --> 00:03:04.040]  我相信這個故事
[00:03:04.040 --> 00:03:07.360]  是老師跟我們講的一個笑話
[00:03:07.360 --> 00:03:10.000]  但是有一點是肯定的
[00:03:10.000 --> 00:03:11.960]  這個世界上面
[00:03:11.960 --> 00:03:14.120]  沒有一個人的成功
