
[00:00:00.000 --> 00:00:01.400]  覺得已經戰敗平安
[00:00:01.400 --> 00:00:03.760]  說追溯的人生
[00:00:03.760 --> 00:00:05.080]  這個有問號的
[00:00:05.080 --> 00:00:06.400]  當然不是說是的
[00:00:06.400 --> 00:00:09.640]  但是要先說清楚
[00:00:09.640 --> 00:00:12.380]  不然等一下你當我是要追溯而已
[00:00:12.380 --> 00:00:14.320]  這個追溯的人生
[00:00:14.320 --> 00:00:16.780]  其實在這段經文的時候
[00:00:16.780 --> 00:00:18.800]  有些頂尖姐妹會有一個感受
[00:00:18.800 --> 00:00:21.960]  覺得是不是天國的價值跟世人的價值都一樣呢?
[00:00:21.960 --> 00:00:23.620]  追溯的數多又好呢?
[00:00:23.620 --> 00:00:24.420]  就是五千兩
[00:00:24.420 --> 00:00:25.340]  銀子賺五千兩
[00:00:25.340 --> 00:00:26.640]  於是誇獎
[00:00:26.640 --> 00:00:27.740]  二千兩賺二千兩
[00:00:27.740 --> 00:00:28.540]  又誇獎
[00:00:28.540 --> 00:00:29.840]  那一千兩沒得賺的
[00:00:29.840 --> 00:00:31.180]  所以就責備
[00:00:31.180 --> 00:00:32.880]  有時候好像追溯一樣
[00:00:32.880 --> 00:00:35.180]  這個跟我有切膚的感受
[00:00:35.180 --> 00:00:37.700]  因為其實我還沒做牧師傳道之前
[00:00:37.700 --> 00:00:38.960]  我是做銷售的
[00:00:38.960 --> 00:00:39.940]  做銷售市場的
[00:00:39.940 --> 00:00:41.840]  所以說追溯的人生
[00:00:41.840 --> 00:00:43.840]  上上在我上半生裡面
[00:00:43.840 --> 00:00:45.200]  糾纏了下去
[00:00:45.200 --> 00:00:46.880]  想想怎麼追預算呢?
[00:00:46.880 --> 00:00:48.120]  那條數怎麼來的呢?
[00:00:48.120 --> 00:00:49.180]  怎麼追得到呢?
[00:00:49.180 --> 00:00:51.120]  有一次有個同事跟我說
[00:00:51.120 --> 00:00:54.920]  為什麼我們好像追溯完之後
[00:00:54.920 --> 00:00:56.060]  下個月眨一下眼
[00:00:56.060 --> 00:00:56.820]  追溯完
