
[00:00:00.000 --> 00:00:04.000]  各位弟子女平安
[00:00:04.000 --> 00:00:10.000]  邀請大家再一次低頭祈禱
[00:00:10.000 --> 00:00:13.000]  親主我們感謝祢
[00:00:13.000 --> 00:00:19.000]  讓每一次能夠回到祢的殿裡敬拜並不必然
[00:00:19.000 --> 00:00:23.000]  讓祢幫助我們有一份學想來到祢的面前
[00:00:23.000 --> 00:00:25.000]  願聖靈與我們同在
[00:00:25.000 --> 00:00:28.000]  讓我們能夠明白祢話語中的奧秘
[00:00:28.000 --> 00:00:31.000]  願聽的和說的都同夢祢的月亮
[00:00:31.000 --> 00:00:33.000]  祈禱奉主耶穌基督的名
[00:00:33.000 --> 00:00:35.000]  阿們
[00:00:35.000 --> 00:00:37.000]  明天是父親節
[00:00:37.000 --> 00:00:43.000]  所以今天跟大家說關於孝敬父母
[00:00:43.000 --> 00:00:46.000]  看看大家會不會
[00:00:46.000 --> 00:00:48.000]  其實大家已經很孝順
[00:00:48.000 --> 00:00:49.000]  都不一定了
[00:00:49.000 --> 00:00:50.000]  看著我兒子
[00:00:50.000 --> 00:00:53.000]  他依然不在
[00:00:53.000 --> 00:00:56.000]  我這篇講座不是特別為他而設
[00:00:56.000 --> 00:00:59.000]  不知道他今晚會不會彈結他
[00:00:59.000 --> 00:01:01.000]  不知道大家有沒有留意
[00:01:01.000 --> 00:01:04.000]  網上最近有個截圖
[00:01:04.000 --> 00:01:06.000]  Facebook
[00:01:06.000 --> 00:01:08.000]  講一個小朋友
[00:01:08.000 --> 00:01:12.000]  他站在那裡
[00:01:12.000 --> 00:01:16.000]  然後用手捧著媽媽的頭
[00:01:16.000 --> 00:01:19.000]  讓媽媽靠在地鐵旁邊睡覺
[00:01:19.000 --> 00:01:21.000]  有沒有看過這個圖
[00:01:21.000 --> 00:01:26.000]  聽說這個小朋友不是很大
[00:01:26.000 --> 00:01:28.000]  他首先坐在那裡
[00:01:28.000 --> 00:01:32.000]  讓一個座位給一個帶著嬰兒的媽媽
[00:01:32.000 --> 00:01:35.000]  他看到自己的媽媽很累
[00:01:35.000 --> 00:01:37.000]  於是幫媽媽揹著
[00:01:37.000 --> 00:01:38.000]  他已經有一袋
[00:01:38.000 --> 00:01:40.000]  揹著媽媽的手袋
[00:01:40.000 --> 00:01:42.000]  看到媽媽睡著
[00:01:42.000 --> 00:01:44.000]  大家坐地鐵都知道
[00:01:44.000 --> 00:01:47.000]  最近玻璃那邊可以靠在那裡
[00:01:47.000 --> 00:01:50.000]  他把手放在玻璃和媽媽
[00:01:50.000 --> 00:01:51.000]  頭的中間
[00:01:51.000 --> 00:01:54.000]  讓媽媽靠得舒服一點
[00:01:54.000 --> 00:01:59.000]  網上當然有很多稱讚
[00:01:59.000 --> 00:02:03.000]  因為他很細心
[00:02:03.000 --> 00:02:06.000]  如果這個小朋友出自真誠和自願
[00:02:06.000 --> 00:02:08.000]  非常好
[00:02:08.000 --> 00:02:13.000]  特別是出於一份以愛還愛
[00:02:13.000 --> 00:02:16.000]  感受到媽媽對自己的關心
[00:02:16.000 --> 00:02:22.000]  也以愛心的體貼去回應媽媽的需要
[00:02:22.000 --> 00:02:25.000]  那份是出自赤子之心
[00:02:25.000 --> 00:02:26.000]  聖經十誡裡面
[00:02:26.000 --> 00:02:28.000]  第六誡
[00:02:28.000 --> 00:02:29.000]  很短
[00:02:29.000 --> 00:02:30.000]  我們都記得
[00:02:30.000 --> 00:02:32.000]  就是當孝敬父母
[00:02:32.000 --> 00:02:35.000]  是上帝給人的命令
[00:02:35.000 --> 00:02:36.000]  當然我們知道
[00:02:36.000 --> 00:02:37.000]  聖經說
[00:02:37.000 --> 00:02:40.000]  忍心比萬物都詭詐
[00:02:40.000 --> 00:02:42.000]  對於不想守律法
[00:02:42.000 --> 00:02:44.000]  我們總是會有理由
[00:02:44.000 --> 00:02:47.000]  有藉口去開脫
[00:02:47.000 --> 00:02:48.000]  今天的經文
[00:02:48.000 --> 00:02:50.000]  都是講孝敬父母
[00:02:50.000 --> 00:02:55.000]  我們先讀讀這段經文
[00:02:55.000 --> 00:02:57.000]  是《馬太福音》十五章一至九節
[00:02:57.000 --> 00:02:58.000]  預備
[00:02:58.000 --> 00:03:02.000]  那時有法利塞人和文士
[00:03:02.000 --> 00:03:05.000]  從耶路撒冷來見耶穌說
[00:03:05.000 --> 00:03:10.000]  你的門徒為什麼違反古人的傳統
[00:03:10.000 --> 00:03:13.000]  因為他們吃飯的時候不洗手
[00:03:13.000 --> 00:03:15.000]  耶穌回答他們
[00:03:15.000 --> 00:03:18.000]  你們為什麼因你們的傳統
[00:03:18.000 --> 00:03:22.000]  而違反上帝的誡命呢
[00:03:22.000 --> 00:03:23.000]  上帝說
[00:03:23.000 --> 00:03:25.000]  當孝敬父母
[00:03:25.000 --> 00:03:26.000]  又說
[00:03:26.000 --> 00:03:28.000]  咒罵父母的
[00:03:28.000 --> 00:03:30.000]  必須處死
[00:03:30.000 --> 00:03:31.000]  你們倒說
[00:03:31.000 --> 00:03:33.000]  無論誰對父母說
[00:03:33.000 --> 00:03:36.000]  我所當供奉你的
[00:03:36.000 --> 00:03:38.000]  已經作了奉獻
[00:03:38.000 --> 00:03:42.000]  就可以不孝敬他的父親
[00:03:42.000 --> 00:03:45.000]  這就是你們藉著傳統
[00:03:45.000 --> 00:03:48.000]  廢了上帝的話
[00:03:48.000 --> 00:03:50.000]  假冒為善的人啊
[00:03:50.000 --> 00:03:54.000]  以賽亞指著你們所預言的說得好
[00:03:54.000 --> 00:03:58.000]  這百姓用嘴唇尊敬我
[00:03:58.000 --> 00:04:01.000]  他們的心卻遠離我
[00:04:01.000 --> 00:04:03.000]  他們把人的規條
[00:04:03.000 --> 00:04:06.000]  當作教義教導人
[00:04:06.000 --> 00:04:10.000]  他們拜我也是枉然
[00:04:10.000 --> 00:04:11.000]  經文一開始描述
[00:04:11.000 --> 00:04:14.000]  從耶路撒冷來的法利昌文士
[00:04:14.000 --> 00:04:16.000]  責問耶穌
[00:04:16.000 --> 00:04:17.000]  你們的門徒
[00:04:17.000 --> 00:04:20.000]  為什麼違反古人的傳統
[00:04:20.000 --> 00:04:23.000]  吃飯的時候不洗手
[00:04:23.000 --> 00:04:25.000]  可能我們在座
[00:04:25.000 --> 00:04:28.000]  也有人吃飯不洗手
[00:04:28.000 --> 00:04:29.000]  耶穌當時
[00:04:29.000 --> 00:04:31.000]  其實在加里里海邊的一個小城
[00:04:31.000 --> 00:04:32.000]  叫格尼撒勒
[00:04:32.000 --> 00:04:34.000]  一帶傳道
[00:04:34.000 --> 00:04:37.000]  或者耶穌和他們門徒的言行
[00:04:37.000 --> 00:04:39.000]  和猶太人皇上的習慣有些不太一樣
[00:04:39.000 --> 00:04:40.000]  引來非議
[00:04:40.000 --> 00:04:43.000]  於是這些也引來批評
[00:04:43.000 --> 00:04:45.000]  這些批評的聲音
[00:04:45.000 --> 00:04:49.000]  落到宗教領袖和學者的耳中
[00:04:49.000 --> 00:04:52.000]  於是就派人來責問耶穌
[00:04:52.000 --> 00:04:55.000]  為什麼你們的門徒用軸手
[00:04:55.000 --> 00:04:58.000]  這個聖經的翻譯就是不洗手
[00:04:58.000 --> 00:05:00.000]  其實馬科音同時間
[00:05:00.000 --> 00:05:03.000]  記載了這一段經文
[00:05:03.000 --> 00:05:04.000]  用軸手吃飯
[00:05:04.000 --> 00:05:06.000]  即是未洗過的手
[00:05:06.000 --> 00:05:08.000]  這裡說古人的傳統
[00:05:08.000 --> 00:05:13.000]  指的是為了解釋摩西的律法
[00:05:13.000 --> 00:05:15.000]  應用到當時的處境
[00:05:15.000 --> 00:05:17.000]  而逐漸形成一種
[00:05:17.000 --> 00:05:20.000]  法律的哲學或口頭的傳統
[00:05:20.000 --> 00:05:23.000]  法律草人和文士提到
[00:05:23.000 --> 00:05:25.000]  在一些有關飲食之前
[00:05:25.000 --> 00:05:28.000]  應該要沐浴靜身
[00:05:28.000 --> 00:05:32.000]  以避免在禮儀上有所污穢
[00:05:32.000 --> 00:05:35.000]  讓自己變成一個不聖潔的人
[00:05:35.000 --> 00:05:38.000]  的這個規矩
[00:05:38.000 --> 00:05:39.000]  所以這裡說的洗手
[00:05:39.000 --> 00:05:41.000]  是一種宗教的禮儀
[00:05:41.000 --> 00:05:43.000]  不是為了餵生客
[00:05:43.000 --> 00:05:44.000]  我們吃飯前洗手
[00:05:44.000 --> 00:05:45.000]  為了餵生客
