
[00:00:00.000 --> 00:00:02.000]  導演姊妹早晨
[00:00:02.000 --> 00:00:04.900]  在網上的導演姊妹早晨
[00:00:04.900 --> 00:00:09.040]  今天繼續我今年度會用雜誌
[00:00:09.040 --> 00:00:15.480]  這個名字來講全年成崇拜的講道
[00:00:15.480 --> 00:00:19.280]  不知道大家記不記得上一次是集甚麼
[00:00:19.280 --> 00:00:21.280]  上次是一個集會
[00:00:21.280 --> 00:00:23.280]  今次是一個雜訊
[00:00:23.280 --> 00:00:25.280]  你發覺每次都不知道講甚麼
[00:00:25.280 --> 00:00:27.280]  所以要聽下去
[00:00:27.280 --> 00:00:30.920]  我們一齊去寧靜上大白以前有討誥
[00:00:30.920 --> 00:00:34.920]  親愛的主人主佑來保守帶領我們
[00:00:34.920 --> 00:00:38.920]  讓我們來到聖殿的面前
[00:00:38.920 --> 00:00:43.920]  縱然我們只可以在網上朝見你
[00:00:43.920 --> 00:00:48.920]  但我們知道我們的心與主你已經有所結連
[00:00:48.920 --> 00:00:50.920]  我們可以去到哪裏
[00:00:50.920 --> 00:00:55.920]  都能夠崇拜你的時候敬拜你的時間
[00:00:55.920 --> 00:00:57.920]  那就是我們的聖殿
[00:00:57.920 --> 00:01:00.920]  主安求你親自來保守我們
[00:01:00.920 --> 00:01:02.920]  讓我們開我們的耳朵
[00:01:02.920 --> 00:01:04.920]  好好聆聽你的話
[00:01:04.920 --> 00:01:07.920]  讓我們感受詩篇裏面
[00:01:07.920 --> 00:01:09.920]  詩人裏面的情懷
[00:01:09.920 --> 00:01:11.920]  讓我們懂得怎樣去跟隨你
[00:01:11.920 --> 00:01:13.920]  主安求你親自來保守帶領我們
[00:01:13.920 --> 00:01:16.920]  以上的禱告奉我至耶穌的聖名耶穌
[00:01:16.920 --> 00:01:18.920]  阿們
[00:01:18.920 --> 00:01:21.920]  聖經由很多卷
[00:01:21.920 --> 00:01:23.920]  不同的書卷去組成
[00:01:23.920 --> 00:01:26.920]  如果你去看過
[00:01:26.920 --> 00:01:29.920]  揭開聖經的目錄去看一看
[00:01:29.920 --> 00:01:33.920]  我們最大可以分辨新約和舊約
