
[00:00:00.000 --> 00:00:04.620]  英雄姐妹早安
[00:00:04.620 --> 00:00:07.800]  今早我們的主席有點緊張 我也很緊張
[00:00:07.800 --> 00:00:11.880]  今天早上我們的主席有點緊張 我也蠻緊張的
[00:00:11.880 --> 00:00:16.520]  以往當我們提到宣教的時候
[00:00:16.520 --> 00:00:19.420]  我們立刻就會想起
[00:00:19.420 --> 00:00:23.160]  是那些白人的宣教士
[00:00:23.160 --> 00:00:25.380]  飄洋過海
[00:00:25.380 --> 00:00:28.240]  去到蠻荒的地方
[00:00:28.240 --> 00:00:32.080]  另一般信徒以為宣教一定到海外侍奉
[00:00:32.080 --> 00:00:35.720]  另一般信徒以為宣教一定到海外去侍奉
[00:00:35.720 --> 00:00:39.720]  每年不同的教會都有推行宣教的工作
[00:00:39.720 --> 00:00:42.800]  每年不同的教會也有推行宣教的工作
[00:00:42.800 --> 00:00:45.480]  但有多少人會想什麼是宣教呢?
[00:00:45.480 --> 00:00:49.220]  但是有多少人會去想什麼是宣教呢?
[00:00:49.220 --> 00:00:52.540]  是不是一定要到海外呢?
[00:00:52.540 --> 00:00:54.480]  其實宣教其中一個意思
[00:00:54.480 --> 00:00:58.800]  其實宣教其中一個意思是我們要去到未得之地
[00:00:58.800 --> 00:01:00.960]  是我們要到未得之地
[00:01:00.960 --> 00:01:03.260]  耶穌基督未被傳開的地方
[00:01:03.260 --> 00:01:05.640]  耶穌基督沒有給傳開的地方
[00:01:05.640 --> 00:01:09.580]  有時候可能指遠方的島嶼
[00:01:09.580 --> 00:01:13.140]  有時候是指一些遠方的島嶼
[00:01:13.140 --> 00:01:16.380]  森林 落後的民族
[00:01:16.380 --> 00:01:20.460]  但有時候也是指我們身邊周圍的城市
[00:01:20.460 --> 00:01:24.280]  但是有時候也是指我們身邊旁邊的城市
[00:01:24.280 --> 00:01:27.080]  所以宣教是一個很廣闊的意思
[00:01:27.080 --> 00:01:29.540]  所以宣教是一個很廣闊的意思
[00:01:29.540 --> 00:01:30.760]  保羅也是一樣
[00:01:30.760 --> 00:01:31.580]  保羅也是一樣
[00:01:31.580 --> 00:01:33.600]  有時候他去了很遙遠的地方
[00:01:33.600 --> 00:01:35.480]  有時候他去到很遙遠的地方
[00:01:35.480 --> 00:01:37.400]  斯圖蘭選保羅說
[00:01:37.400 --> 00:01:38.640]  斯圖蘭選保羅說
[00:01:38.640 --> 00:01:42.160]  我定義去到未得之地 西班牙
[00:01:42.160 --> 00:01:45.360]  他說我定義去到未得之地 西班牙
[00:01:45.360 --> 00:01:49.680]  但保羅有時候可能去到附近的城市做傳方工作
[00:01:49.680 --> 00:01:52.440]  但是有時候他也去到附近一些城市去做
[00:01:52.440 --> 00:01:54.600]  要和大家一起思想
[00:01:54.600 --> 00:01:56.040]  今天早上跟大家一起去思想
