
[00:00:00.000 --> 00:00:02.500]  今天我要跟各位分享的信息是
[00:00:02.500 --> 00:00:07.000]  神的帳幕在人間
[00:00:07.000 --> 00:00:08.740]  各位知道嗎
[00:00:08.740 --> 00:00:12.700]  神的帳幕真的是在人間
[00:00:12.700 --> 00:00:15.340]  因為我們從許許多多的例子
[00:00:15.340 --> 00:00:17.240]  還有許多的經文
[00:00:17.240 --> 00:00:19.380]  我們也可以看到
[00:00:19.380 --> 00:00:21.340]  英文是說
[00:00:21.340 --> 00:00:26.220]  God dwelling in us, among us
[00:00:26.220 --> 00:00:29.160]  從遠古一直到現在
[00:00:29.160 --> 00:00:32.100]  甚至於我們這麼小一個心
[00:00:32.100 --> 00:00:35.500]  神都願意住在我們裡面
[00:00:35.500 --> 00:00:40.240]  雖然耶和華神說
[00:00:40.240 --> 00:00:41.900]  天是我的座位
[00:00:41.900 --> 00:00:44.080]  地是我的腳凳
[00:00:44.080 --> 00:00:47.400]  你們要為我造何等的殿
[00:00:47.400 --> 00:00:51.020]  哪裡才是我安歇的地方呢
[00:00:51.020 --> 00:00:53.520]  哪裡才是我的腳凳呢
[00:00:53.520 --> 00:00:54.720]  我不是說嗎
[00:00:54.720 --> 00:00:56.880]  興亡愛求神來
[00:00:56.880 --> 00:00:58.780]  作為祂的安歇的地方
[00:00:58.780 --> 00:01:01.960]  成為祂的腳凳
[00:01:01.960 --> 00:01:05.500]  主耶穌降生馬槽
[00:01:05.500 --> 00:01:08.420]  因為客棧沒有房間
[00:01:08.420 --> 00:01:10.400]  但是我要說
[00:01:10.400 --> 00:01:11.900]  耶穌啊
[00:01:11.900 --> 00:01:15.100]  我們這裡為你預備了帳幕
[00:01:15.100 --> 00:01:17.100]  為你預備了聖索
[00:01:17.100 --> 00:01:19.340]  為你預備了搖籃
[00:01:19.340 --> 00:01:23.920]  求耶穌在我們中間來降生
[00:01:23.920 --> 00:01:27.440]  挪亞方舟的時候放出去的鴿子
[00:01:27.440 --> 00:01:28.980]  又飛回來
[00:01:28.980 --> 00:01:32.680]  因為鴿子沒有落腳的地方
[00:01:32.680 --> 00:01:36.720]  我們求聖靈在我們中間落腳
[00:01:36.720 --> 00:01:39.060]  感謝神降生
[00:01:39.060 --> 00:01:42.700]  神的帳幕在人間
[00:01:42.700 --> 00:01:45.200]  哇 太棒了
[00:01:45.200 --> 00:01:47.460]  祂就在我們裡面
[00:01:47.460 --> 00:01:51.100]  我們就在祂的裡面
[00:01:51.100 --> 00:01:54.200]  那麼這個今天最主要講的是
[00:01:54.200 --> 00:01:57.740]  先要講一下這兩天發生的事情
[00:01:57.740 --> 00:02:00.380]  各位知道最近這幾天是在
[00:02:00.380 --> 00:02:05.220]  猶太的什麼中間呢
[00:02:05.220 --> 00:02:06.920]  祝碰節沒有錯
[00:02:06.920 --> 00:02:10.520]  但是仍然是在猶太的新年
[00:02:10.520 --> 00:02:12.760]  Russia Shana
[00:02:12.760 --> 00:02:15.420]  Russia Shana 猶太的新年
[00:02:15.420 --> 00:02:17.260]  他們定為怎麼樣
[00:02:17.260 --> 00:02:20.400]  聖經上說七月初一
[00:02:20.400 --> 00:02:23.540]  你要定為吹腳節
[00:02:23.540 --> 00:02:28.440]  所以我仍然要來吹個腳
[00:02:28.440 --> 00:02:33.280]  The Festival of Shofar
[00:02:33.280 --> 00:02:36.280]  所以是吹腳節
[00:02:36.280 --> 00:02:42.120]  (吹腳節)
[00:02:42.120 --> 00:02:47.020]  嘿 吹腳節
[00:02:47.020 --> 00:02:52.000]  七月初一就開始了這新的一年
[00:02:52.000 --> 00:02:56.600]  今天我們進入5784年
[00:02:56.600 --> 00:03:00.300]  然後初十是什麼
[00:03:00.300 --> 00:03:01.900]  贖罪日
[00:03:01.900 --> 00:03:03.480]  Yom Kippur
[00:03:03.480 --> 00:03:06.480]  贖罪日就是說
[00:03:06.480 --> 00:03:09.540]  這個讓我們有一個機會
[00:03:09.540 --> 00:03:12.080]  來向我們的神來認罪
[00:03:12.080 --> 00:03:13.380]  這一天呢
[00:03:13.380 --> 00:03:16.620]  我們以前傳統都要
[00:03:16.620 --> 00:03:18.020]  吹腳節新年的時候
[00:03:18.020 --> 00:03:20.720]  吃魚頭 吃辮子 麵包
[00:03:20.720 --> 00:03:22.960]  吃蘋果 喝蜂蜜
[00:03:22.960 --> 00:03:26.660]  還有喝葡萄汁
[00:03:26.660 --> 00:03:28.300]  或者是酒
[00:03:28.300 --> 00:03:29.600]  那麼我們來慶祝
[00:03:29.600 --> 00:03:30.440]  然後呢
[00:03:30.440 --> 00:03:33.700]  每個人要發紙條
[00:03:33.700 --> 00:03:35.940]  不夠的可以多發兩個紙條
[00:03:35.940 --> 00:03:38.900]  把你的罪狀寫下來
[00:03:38.900 --> 00:03:41.740]  然後我們把它折起來
[00:03:41.740 --> 00:03:44.120]  丟到水桶裡面
[00:03:44.120 --> 00:03:46.220]  然後最後我們會拿
[00:03:46.220 --> 00:03:48.620]  拿這個水桶出去外面倒掉
[00:03:48.620 --> 00:03:51.060]  也就是說我的罪寫下來
[00:03:51.060 --> 00:03:52.920]  隨波逐流
[00:03:52.920 --> 00:03:55.760]  我的罪不再有了
[00:03:55.760 --> 00:03:59.200]  然後再來是初十五
[00:03:59.200 --> 00:04:00.100]  就是今天
[00:04:00.100 --> 00:04:03.300]  昨天就是祝朋節
[00:04:03.300 --> 00:04:05.840]  The Feast of Tabernacle
[00:04:05.840 --> 00:04:07.840]  就是祝朋節
[00:04:07.840 --> 00:04:11.080]  而當我們講到這些的時候
[00:04:11.080 --> 00:04:14.820]  你知道一年有幾個新年嗎
[00:04:14.820 --> 00:04:18.420]  當我說Russia Shana是猶太人的新年
[00:04:18.420 --> 00:04:21.260]  所以一年有幾個新年
[00:04:21.260 --> 00:04:23.220]  那麼《立位記》二十三章
[00:04:23.220 --> 00:04:25.520]  四十一到四十四節
[00:04:25.520 --> 00:04:26.960]  它就是講說
[00:04:26.960 --> 00:04:30.460]  神規定七月初一
[00:04:30.460 --> 00:04:32.760]  吹角節是新年
[00:04:32.760 --> 00:04:34.660]  然後怎麼樣怎麼樣
[00:04:34.660 --> 00:04:37.740]  然後跟著我跟各位來啟示一下
[00:04:37.740 --> 00:04:38.740]  講一下
[00:04:38.740 --> 00:04:41.440]  耶和華有三個節氣
[00:04:41.440 --> 00:04:43.040]  大的節氣
[00:04:43.040 --> 00:04:46.040]  然後祝朋節就是其中一個
[00:04:46.040 --> 00:04:48.780]  它有一個重大的意義
[00:04:48.780 --> 00:04:50.880]  那麼在聖經裡面也講
[00:04:50.880 --> 00:04:54.720]  祝朋節發生過好幾件大事情
[00:04:54.720 --> 00:04:56.520]  最後我們就講
