
[00:00:00.000 --> 00:00:05.400]  在前三個星期,我們一同思想瑪利亞的尊主頌
[00:00:05.400 --> 00:00:13.200]  尊主頌是貧窮人、卑賤人所唱出的信心的詩歌
[00:00:13.200 --> 00:00:16.500]  瑪利亞是蒙福的,他以神為樂
[00:00:16.500 --> 00:00:19.700]  因為他經歷到神的同在
[00:00:19.700 --> 00:00:22.700]  他經歷到神的同在
[00:00:22.700 --> 00:00:25.700]  因為他相信神
[00:00:25.700 --> 00:00:33.700]  相信神的人會在神的面前降服,會信服神
[00:00:33.700 --> 00:00:40.200]  在今午,我和你們一同思想另一首我喜歡的詩篇
[00:00:40.200 --> 00:00:44.200]  詩篇131篇是我喜歡的詩篇
[00:00:44.200 --> 00:00:47.200]  它是我成長的詩篇
[00:00:47.200 --> 00:00:50.700]  是我經歷神的詩篇
[00:00:50.700 --> 00:00:57.200]  還記得在十年前,在我人生當中一個大危機的開始
[00:00:57.200 --> 00:01:02.200]  這首詩篇成為了我重新得力的重要經文
[00:01:02.200 --> 00:01:07.700]  在今天的下午,我們在領受主餐以先
[00:01:07.700 --> 00:01:12.200]  我們一起去領受這個詩篇的訊息
[00:01:12.200 --> 00:01:17.200]  我希望這個詩篇能夠成為你生命的詩篇
[00:01:17.200 --> 00:01:19.700]  成為你們生命的詩篇
[00:01:19.700 --> 00:01:23.200]  成為你們朝聖的詩歌
[00:01:23.200 --> 00:01:26.700]  成為你們經歷神的詩歌
[00:01:26.700 --> 00:01:28.700]  我們一起禱告
[00:01:28.700 --> 00:01:34.200]  親愛的主,能夠在你們的聖所當中能夠去朝見你們
[00:01:34.200 --> 00:01:36.200]  是何等的美好
[00:01:36.200 --> 00:01:40.200]  主,求祢開我們弟兄姊妹的眼睛
[00:01:40.200 --> 00:01:44.200]  讓我們見到祢是我們的神
[00:01:44.200 --> 00:01:47.200]  祢是我們的主人
[00:01:47.200 --> 00:01:50.200]  祢是我們的救贖主
[00:01:50.200 --> 00:01:55.200]  主啊,我們現在要去領受祢給我們的話語
[00:01:55.200 --> 00:01:57.700]  給我們天上的馬拿
[00:01:57.700 --> 00:01:59.700]  主啊,求祢幫助我們
[00:01:59.700 --> 00:02:02.700]  讓我們領受,我們相信
[00:02:02.700 --> 00:02:06.700]  以致我們有生命的力量繼續前進
[00:02:06.700 --> 00:02:11.200]  主啊,求祢幫助我們,憐憫我們
[00:02:11.200 --> 00:02:15.200]  我們這樣的禱告,是奉主耶穌基督的名字
[00:02:15.200 --> 00:02:17.200]  阿們
[00:02:17.200 --> 00:02:22.200]  詩篇131篇是一篇上行的詩篇
[00:02:22.200 --> 00:02:26.200]  這首詩篇是以色列人去朝聖的時候
[00:02:26.200 --> 00:02:30.200]  去到耶路撒冷,參加慶典和節期的時候
[00:02:30.200 --> 00:02:32.200]  他們所唱的歌
[00:02:32.200 --> 00:02:35.200]  他們唱這首歌就是說要在神的面前宣佈
[00:02:35.200 --> 00:02:40.200]  他們是要放棄他們的驕傲
[00:02:40.200 --> 00:02:44.200]  而你能夠得到生命的滿足
[00:02:44.200 --> 00:02:48.200]  這首詩篇是一首很短的詩篇
[00:02:48.200 --> 00:02:53.200]  但是它是一個很豐富,屬靈異詩的詩篇
[00:02:53.200 --> 00:02:56.200]  施暴僧說這首詩篇真的很短
[00:02:56.200 --> 00:03:02.200]  但是這篇詩篇是要用一生人去學習的詩篇
[00:03:02.200 --> 00:03:06.200]  這首詩篇好像一道短梯一樣
[00:03:06.200 --> 00:03:09.200]  是能夠叫人登上高樓
[00:03:09.200 --> 00:03:11.200]  能夠去到神那裡
[00:03:11.200 --> 00:03:13.200]  能夠經歷神
